 JDAY =    18377.9999002341     
QIN(JB):,220.519379,10.639970,49.489861,77.489783,.000000,
QTR:,.000000,.000000,.000000,.000000,
QDT(JB):,.000000,.000000,.000000,.000000,.000000,
QWD:,
QSUM(JB):,214.400000,.000000,.000000,.000000,.000000,
QGT:,
QPI:,
QPU:,
QSP:,

SEG,BRANCH,ACTIVE,KT,WSE,SZ,Z,Q,QC,QERR,H2KT,H1KT,BHR1,BHR2,T1,T2,SUKT,UKT,AVHR,SELWS
1,1,I,7,309.000000,.176863,.176858,220.519379,220.519379,.000000,1.323137,1.323142,195.428073,195.427290,10.289889,10.289889,.150150,.150215,1.323142,309.000000
2,1,A,7,328.383142,.176863,.176858,194.528828,194.644426,-.059424,1.323137,1.323142,238.075165,238.074134,10.160280,10.160280,.097113,.097159,1.325307,328.383137
3,1,A,7,328.388102,.171905,.171898,137.096542,137.111051,-.010583,1.328095,1.328102,369.059653,369.057743,9.699476,9.699476,.026366,.026365,1.334099,328.388095
4,1,A,7,328.398102,.161905,.161898,72.167602,72.166675,.001284,1.338095,1.338102,379.985278,379.983048,12.090859,12.090859,-.057624,-.057626,1.343398,328.398095
5,1,A,7,328.407643,.152365,.152357,22.316311,22.315675,.002851,1.347635,1.347643,378.332211,378.329643,14.512618,14.512618,-.067804,-.067807,1.352334,328.407635
6,1,A,7,328.417074,.142935,.142926,-45.730057,-45.730671,-.001342,1.357065,1.357074,505.930043,505.926157,14.438985,14.438985,-.056794,-.056797,1.360890,328.417065
7,1,A,7,328.424632,.135379,.135368,-154.241260,-154.242080,-.000532,1.364621,1.364632,597.528656,597.523639,14.532273,14.532273,-.058727,-.058730,1.368745,328.424621
8,1,A,7,328.432152,.127860,.127848,-251.502217,-251.504579,-.000939,1.372140,1.372152,750.714177,750.707355,14.543835,14.543835,-.053638,-.053641,1.374942,328.432140
9,1,A,7,328.438197,.121816,.121803,-441.920953,-441.921586,-.000143,1.378184,1.378197,1055.549453,1055.539222,14.489520,14.489520,-.045702,-.045705,1.381344,328.438184
10,1,A,7,328.444295,.115719,.115705,-680.497726,-680.503481,-.000846,1.384281,1.384295,2042.709649,2042.688836,14.433978,14.433978,-.032171,-.032173,1.386784,328.444281
11,1,A,7,328.449880,.110134,.110120,-1501.320073,-1501.329114,-.000602,1.389866,1.389880,2231.100188,2692.176637,14.330413,14.330413,-.022288,-.026684,1.114510,328.449866
12,1,A,7,327.930698,.102620,.629302,-660.416246,-660.468112,-.007853,1.397380,.870698,2298.865913,2723.667179,14.206563,14.206563,-.013276,-.015955,1.141366,328.457380
13,1,A,7,328.460037,.099979,.099963,-1411.711127,-1411.713566,-.000173,1.400021,1.400037,2863.024564,2862.993096,14.200761,14.200761,-.028127,-.028128,1.402304,328.460021
14,1,A,7,328.464285,.095730,.095715,-1955.718808,-1948.991998,.343956,1.404270,1.404285,2171.034833,2165.974165,14.043946,14.043946,-.039463,-.042189,.738488,328.464270
15,1,A,7,327.004055,.087671,1.555945,348.768032,-37728966.444607,10817882.289833,1.412329,-.055945,2041.511556,2035.851332,14.007220,14.007220,-.009922,-480.358946,.662905,328.472329
16,1,A,7,328.471813,.088204,.088187,-346.710765,-37729654.711180,-10882069.969553,1.411796,1.411813,2702.711381,2702.679418,14.194286,14.194286,-.018156,-357.459211,1.412704,328.471796
17,1,A,7,328.473450,.086567,.086550,-1016.839484,-37730323.412478,-3710448.615474,1.413433,1.413450,2104.277045,3113.616457,14.145242,14.145242,-.018891,-284.795691,.994596,328.473433
18,1,A,7,327.525473,.083586,1.034527,2108.650278,-37727199.491701,1789263.422860,1.416414,.465473,2229.692825,3538.105132,14.091998,14.091998,.005233,-229.376419,.878522,328.476414
19,1,A,7,328.258152,.087357,.301848,2039.721777,-37727268.719875,1849728.177212,1.412643,1.198152,4007.000955,4307.769298,14.205649,14.205649,.004249,-174.247239,1.294810,328.472643
20,1,A,7,328.470034,.089984,.089966,603.001171,-37728704.991662,6256921.182259,1.410016,1.410034,3458.687162,3458.644272,14.181200,14.181200,-.006514,-200.701828,1.409582,328.470016
21,1,A,7,328.469345,.090672,.090655,.000000,.000000,.000000,1.409328,1.409345,2596.155090,2596.122706,14.007596,14.007596,.000000,.000000,1.409345,328.469328
22,1,A,7,328.469345,.090672,.090655,.000000,.000000,.000000,1.409328,1.409345,2596.155090,2596.122706,14.007596,14.007596,.000000,.000000,1.409345,328.469328
23,2,I,7,309.000000,.131127,.131115,10.639970,10.639970,.000000,1.368873,1.368885,218.200243,218.198429,10.289889,10.289889,.005096,.005098,1.368885,309.000000
24,2,A,7,328.428885,.131127,.131115,-61.431021,-61.429570,.002362,1.368873,1.368885,522.404947,522.400314,14.469099,14.469099,-.032355,-.032356,1.373031,328.428873
25,2,A,7,328.435185,.124828,.124815,-187.265781,-187.266251,-.000251,1.375172,1.375185,795.441739,795.434390,14.737484,14.737484,-.037430,-.037432,1.377541,328.435172
26,2,A,7,328.439828,.120185,.120172,-358.906570,-358.906867,-.000083,1.379815,1.379828,1234.146300,1234.134262,14.704720,14.704720,-.034248,-.034250,1.382216,328.439815
27,2,A,7,328.444418,.115596,.115582,-640.540134,-640.544511,-.000683,1.384404,1.384418,1776.526708,1776.508606,14.587720,14.587720,-.027579,-.027581,1.386582,328.444404
28,2,A,7,328.449473,.110542,.110527,-1181.637165,-1181.628484,.000735,1.389458,1.389473,2271.225827,2271.203501,14.370015,14.370015,-.031833,-.031835,1.392882,328.449458
29,2,A,7,328.454456,.105557,.105544,-1438.473131,-1438.264332,.014515,1.394443,1.394456,1894.183444,2328.843291,14.279631,14.279631,-.029423,-.035722,1.132577,328.454443
