2015 Shasta Reservoir Bathymetry file for waterbody 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DLX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3301,3301,4260,2844,2280,2304,2260,1872,2184,2048,2548,2256,2156,1884,2248,2342,1960,2476,1916,2284,1200,1200,3973,3973,2064,2004,1848,2468,1140,1140,4705,4705,1920,2268,2364,2268,2184,2572,1824,2100,2504,2504,4249,4249,2316,2256,2268,1080,1800,2116,1824,2040,2296,2080,2336,1252,1252,3037,3037,1800,2096,2268,2268
WSEL (m),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61
Angle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3,1.3,1.3,1.8,0.4,0.4,0.8,1.3,1.6,1.7,2.6,2.1,1.5,1.8,1.7,1.4,1.8,1.4,1.4,0.6,0.7,0.7,1.3,1.3,0.7,0.3,1.6,1.4,1.4,1.4,6.2,6.2,5.7,6.2,0.4,1.1,0.9,0.6,1.1,0.4,0.2,0.2,0.2,0.2,5.5,6.2,0.9,0.4,0.9,0.8,1.2,5.4,5.8,6.2,0.2,6.2,6.2,5.9,5.9,6.2,6,0.1,0.2
Friction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
DZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,6,,,
Width of Segment #1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Width of Segment #2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,215.2,201.2,187.5,174,160.7,147.7,135,122.5,110.2,98.2,86.4,74.9,63.6,52.6,43.7,32.1,20.3,8.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Width of Segment #3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,279.2,267,255.1,243.4,231.9,220.7,209.8,199.1,188.6,178.4,168.4,158.7,149.1,139.9,132.8,124.5,117.4,110.7,104.1,97.5,92.2,85.6,78.5,73,69.6,46.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Width of Segment #4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,372.2,360,348.1,336.4,324.9,313.7,302.8,292.1,281.6,271.4,261.4,251.7,242.1,232.9,225.8,214.8,202.5,190.6,178.8,167.1,156.6,144.9,132.6,122.6,115.9,110.3,105.8,99.6,93.7,78,67.5,27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Width of Segment #5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,323.8,310.2,296.9,283.8,270.9,258.3,246,233.9,222,210.4,199,187.8,176.8,166.1,157.5,149.5,144.3,139.3,134.6,129.9,126.4,121.7,116.4,110,101.9,94.8,88.8,81.1,73.8,56.6,43.1,26.8,10.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Width of Segment #6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,351.8,341.2,330.9,320.8,310.9,301.3,292,282.9,274,265.4,257,249,241.1,233.5,228.1,217.8,205.7,193.9,182.3,170.6,160.3,148.7,136.6,128.2,125.4,123.8,123.2,120.9,119,107.2,103.4,88.6,73.7,58.7,44.9,32,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Width of Segment #7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,502.5,489.6,477,464.6,452.4,440.5,428.9,417.5,406.3,395.4,384.7,374.2,364,354,346.2,333.8,319.7,305.9,292.3,278.7,266.4,252.8,238.8,228.1,222.5,218,214.6,209.5,204.7,190.1,181.4,166.8,152.1,137.2,123.6,110.8,97.4,82,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Width of Segment #8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,483.8,473.2,462.9,452.8,442.9,433.3,424,414.9,406,397.4,389,381,373.1,365.5,360.1,347.7,331.7,315.9,300.4,284.8,270.5,255,238.9,226.8,220.6,215.5,211.5,205.8,200.4,185.2,175.3,160.3,145,129.7,115.5,102.3,88.4,72.5,59,47.4,31.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Width of Segment #9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,757.9,741.2,724.8,708.6,692.6,676.9,661.5,646.3,631.3,616.6,602.1,588,574.1,560.4,548.9,536,524.1,512.5,501.1,489.8,479.7,468.3,456.4,446.2,438.4,431.7,426.1,418.8,411.8,394.9,382.5,369.1,355.5,341.8,329.3,317.7,305.4,291.2,279.3,269.4,254.9,243,232,219.8,61.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Width of Segment #10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,941.1,921.5,902.2,883.1,864.2,845.6,827.3,809.2,791.3,773.7,756.3,739.2,722.3,705.8,691.3,674.1,657,640.1,623.5,606.8,591.4,574.8,557.6,544.1,536,529.1,523.2,515.7,508.4,491.4,473.5,422.4,371.1,319.7,269.5,220.2,171.3,152.8,136.7,122.6,103.8,87.7,72.5,56,48.3,38.7,28.6,0,0,0,0,0,0,0,0,0,0,0,0,,,
Width of Segment #11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2529.9,2473.5,2417.4,2361.5,2305.8,2250.4,2195.3,2140.4,2085.7,2031.3,1977.1,1923.1,1869.3,1815.9,1764.5,1703.1,1635.1,1567.5,1500,1432.6,1366.5,1299,1231.1,1165.5,1103.5,1042.5,982.7,921.2,860,788.9,673.7,593.9,513.9,433.8,354.9,276.9,200.3,183.8,169.5,157.2,140.4,126.1,112.7,98.2,92.3,84.6,76.4,63.1,0,0,0,0,0,0,0,0,0,0,0,,,
Width of Segment #12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1727.6,1711.7,1696.1,1680.7,1665.5,1650.6,1636,1621.6,1607.4,1593.5,1579.8,1566.4,1553.2,1540.3,1529.5,1510.9,1487.6,1464.5,1441.7,1418.9,1397.4,1374.6,1351.3,1324.8,1293.3,1263,1233.8,1202.9,1172.3,1131.9,1071.7,1007.2,942.4,877.6,813.9,751.2,688.7,652.9,619.5,588.1,552,518.6,486,452.3,427.2,400.3,372.9,340.5,287.4,98,0,0,0,0,0,0,0,0,0,,,
Width of Segment #13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
