$bth_SHA.csv                                                         ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Seg#,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
    DLX,3301,3301,4260,2844,2280,2304,2260,1872,2184,2048,2548,2256,2156,1884,2248,2342,1960,2476,1916,2284,1200,1200,3973,3973,2064,2004,1848,2468,1140,1140,4705,4705,1920,2268,2364,2268,2184,2572,1824,2100,2504,2504,4249,4249,2316,2256,2268,1080,1800,2116,1824,2040,2296,2080,2336,1252,1252,3037,3037,1800,2096,2268,2268
   ELWS,297.2,297.2,297.2,297.2,297.2,297.2,297.2,297.2,297.2,297.2,297.2,297.2,297.2,297.2,297.2,297.2,297.2,297.2,297.2,297.2,297.2,297.2,297.2,297.2,297.2,297.2,297.2,297.2,297.2,297.2,297.2,297.2,297.2,297.2,297.2,297.2,297.2,297.2,297.2,297.2,297.2,297.2,297.2,297.2,297.2,297.2,297.2,297.2,297.2,297.2,297.2,297.2,297.2,297.2,297.2,297.2,297.2,297.2,297.2,297.2,297.2,297.2,297.2
   PHI0,1.3,1.3,1.3,1.8,0.4,0.4,0.8,1.3,1.6,1.7,2.6,2.1,1.5,1.8,1.7,1.4,1.8,1.4,1.4,0.6,0.7,0.7,1.3,1.3,0.7,0.3,1.6,1.4,1.4,1.4,6.2,6.2,5.7,6.2,0.4,1.1,0.9,0.6,1.1,0.4,0.2,0.2,0.2,0.2,5.5,6.2,0.9,0.4,0.9,0.8,1.2,5.4,5.8,6.2,0.2,6.2,6.2,5.9,5.9,6.2,6,0.1,0.2
   FRIC,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
 LAYERH,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5,0,215.2,279.2,372.2,323.8,351.8,502.5,483.8,757.9,941.1,2529.9,1727.6,2383.7,1994.9,1226.7,1944.2,2216.5,2530.8,2713.3,3756.7,1974.1,0,0,213.9,617.3,803.9,1375.8,1685.5,1862.6,0,0,302.6,461,436.3,590.8,1290.1,1153.3,1535.1,1431.2,2031.8,1685,0,0,197.8,357.2,430.9,859.3,652.2,577.9,1681.9,1389,976.6,2019.5,2436.9,2487.5,2890.8,0,0,205,309.9,664.4,1211.6,0
1.5,0,201.2,267,360,310.2,341.2,489.6,473.2,741.2,921.5,2473.5,1711.7,2352.5,1970.9,1208.1,1906.9,2180.9,2504.6,2685.9,3728.3,1947.2,0,0,202.5,592.3,774.1,1322,1649.9,1826.8,0,0,286.7,444.1,421.1,575.3,1263.2,1120.7,1490.4,1413.8,1993,1665.6,0,0,184.2,339.2,417.1,826.7,630.8,561.2,1633.7,1348.8,953.3,1994.6,2397.9,2464.5,2859.4,0,0,190.9,298.5,645.9,1193.2,0
1.5,0,187.5,255.1,348.1,296.9,330.9,477,462.9,724.8,902.2,2417.4,1696.1,2321.6,1947.2,1189.8,1869.9,2145.6,2478.7,2658.8,3700.2,1920.6,0,0,191.4,567.6,744.6,1268.5,1614.6,1791.3,0,0,271.1,427.5,406.2,560.1,1236.6,1088.4,1446,1396.7,1954.5,1646.5,0,0,170.9,321.5,403.6,794.4,609.7,544.8,1585.8,1308.9,930.3,1970,2359.2,2441.8,2828.3,0,0,177.1,287.4,627.7,1175.1,0
1.5,0,174,243.4,336.4,283.8,320.8,464.6,452.8,708.6,883.1,2361.5,1680.7,2290.9,1923.7,1171.7,1833.1,2110.5,2453,2631.9,3672.3,1894.2,0,0,180.5,543.1,715.3,1215.2,1579.5,1756,0,0,255.7,411.1,391.5,545.1,1210.2,1056.3,1401.8,1379.8,1916.2,1627.6,0,0,157.8,304,390.3,762.3,588.8,528.6,1538.1,1269.2,907.5,1945.6,2320.7,2419.3,2797.4,0,0,163.5,276.5,609.7,1157.2,0
1.5,0,160.7,231.9,324.9,270.9,310.9,452.4,442.9,692.6,864.2,2305.8,1665.5,2260.4,1900.4,1153.8,1796.5,2075.6,2427.5,2605.2,3644.6,1868,0,0,169.8,518.8,686.2,1162.1,1544.6,1720.9,0,0,240.5,394.9,377,530.3,1184,1024.4,1357.8,1363.1,1878.1,1608.9,0,0,144.9,286.7,377.2,730.4,568.1,512.6,1490.6,1229.7,884.9,1921.4,2282.4,2397,2766.7,0,0,150.1,265.8,591.9,1139.5,0
1.5,0,147.7,220.7,313.7,258.3,301.3,440.5,433.3,676.9,845.6,2250.4,1650.6,2230.2,1877.4,1136.2,1760.2,2041,2402.3,2578.8,3617.2,1842.1,0,0,159.4,494.8,657.4,1109.3,1510,1686.1,0,0,225.6,379,362.8,515.8,1158.1,992.8,1314.1,1346.7,1840.3,1590.5,0,0,132.3,269.7,364.4,698.8,547.7,496.9,1443.4,1190.5,862.6,1897.5,2244.4,2375,2736.3,0,0,137,255.4,574.4,1122.1,0
1.5,0,135,209.8,302.8,246,292,428.9,424,661.5,827.3,2195.3,1636,2200.3,1854.7,1118.9,1724.2,2006.7,2377.4,2552.7,3590.1,1816.5,0,0,149.3,471.1,628.9,1056.8,1475.7,1651.6,0,0,211,363.4,348.9,501.6,1132.5,961.5,1270.7,1330.6,1802.8,1572.4,0,0,120,253,351.9,667.5,527.6,481.5,1396.5,1151.6,840.6,1873.9,2206.7,2353.3,2706.2,0,0,124.2,245.3,557.2,1105,0
1.5,0,122.5,199.1,292.1,233.9,282.9,417.5,414.9,646.3,809.2,2140.4,1621.6,2170.6,1832.2,1101.8,1688.4,1972.6,2352.7,2526.8,3563.2,1791.1,0,0,139.4,447.6,600.6,1004.5,1441.6,1617.3,0,0,196.6,348,335.2,487.6,1107.1,930.4,1227.5,1314.7,1765.5,1554.5,0,0,107.9,236.5,339.6,636.4,507.7,466.3,1349.8,1112.9,818.8,1850.5,2169.2,2331.8,2676.3,0,0,111.6,235.4,540.2,1088.1,0
1.5,0,110.2,188.6,281.6,222,274,406.3,406,631.3,791.3,2085.7,1607.4,2141.1,1809.9,1084.9,1652.8,1938.7,2328.2,2501.1,3536.5,1765.9,0,0,129.7,424.3,572.5,952.4,1407.7,1583.2,0,0,182.4,332.8,321.7,473.8,1081.9,899.5,1184.5,1299,1728.4,1536.8,0,0,96,220.2,327.5,605.5,488,451.3,1303.3,1074.4,797.2,1827.3,2131.9,2310.5,2646.6,0,0,99.2,225.7,523.4,1071.4,0
1.5,0,98.2,178.4,271.4,210.4,265.4,395.4,397.4,616.6,773.7,2031.3,1593.5,2111.9,1787.9,1068.3,1617.5,1905.1,2304,2475.7,3510.1,1741,0,0,120.3,401.3,544.7,900.6,1374.1,1549.4,0,0,168.5,317.9,308.5,460.3,1057,868.9,1141.8,1283.6,1691.6,1519.4,0,0,84.4,204.2,315.7,574.9,468.6,436.6,1257.1,1036.2,775.9,1804.4,2094.9,2289.5,2617.2,0,0,87.1,216.3,506.9,1055,0
1.5,0,86.4,168.4,261.4,199,257,384.7,389,602.1,756.3,1977.1,1579.8,2082.9,1766.1,1051.9,1582.4,1871.7,2280,2450.5,3483.9,1716.3,0,0,111.1,378.5,517.1,849,1340.7,1515.8,0,0,154.8,303.2,295.5,447,1032.3,838.5,1099.3,1268.4,1655,1502.2,0,0,73,188.4,304.1,544.5,449.4,422.1,1211.1,998.2,754.8,1781.7,2058.1,2268.7,2588,0,0,75.2,207.1,490.6,1038.8,0
1.5,0,74.9,158.7,251.7,187.8,249,374.2,381,588,739.2,1923.1,1566.4,2054.3,1744.6,1035.8,1547.6,1838.6,2256.2,2425.5,3457.9,1691.8,0,0,102.1,356,489.7,797.7,1307.6,1482.5,0,0,141.4,288.9,282.9,434,1007.8,808.4,1057.2,1253.6,1618.7,1485.4,0,0,61.8,172.8,292.9,514.4,430.5,408,1165.4,960.6,734,1759.4,2021.6,2248.2,2559.1,0,0,63.5,198.1,474.5,1023,0
1.5,0,63.6,149.1,242.1,176.8,241.1,364,373.1,574.1,722.3,1869.3,1553.2,2025.8,1723.3,1019.9,1513,1805.8,2232.7,2400.8,3432.2,1667.5,0,0,93.3,333.7,462.6,746.7,1274.8,1449.4,0,0,128.2,274.7,270.4,421.2,983.5,778.5,1015.2,1238.9,1582.7,1468.7,0,0,50.8,157.5,281.9,484.5,411.8,394.1,1119.9,923.1,713.4,1737.3,1985.3,2227.8,2530.5,0,0,52,189.3,458.7,1007.3,0
1.5,0,52.6,139.9,232.9,166.1,233.5,354,365.5,560.4,705.8,1815.9,1540.3,1997.7,1702.2,1004.3,1478.7,1773.2,2209.5,2376.3,3406.7,1643.6,0,0,84.9,311.7,435.8,695.9,1242.2,1416.6,0,0,115.3,260.8,258.3,408.7,959.6,748.9,973.5,1224.5,1546.9,1452.4,0,0,40.1,142.5,271.2,454.9,393.4,380.4,1074.7,885.9,693.2,1715.4,1949.2,2207.8,2502.1,0,0,40.8,180.9,443.2,992,0
