$bth_SHA.csv                                                         ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Seg#,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
    DLX,3301,4249,3037,3301,4705,3973,2316,1800,4260,2256,2064,1920,2268,2268,2844,2280,1080,2004,1800,2364,2304,1848,2268,2116,1824,2260,1872,2468,2184,2184,2572,2096,2040,2048,1140,1824,2548,2100,2296,2080,2256,2156,1884,2504,2336,2268,2248,2342,1252,1960,2476,1916,2284,1200,1200
   ELWS,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61,291.61
   PHI0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
   FRIC,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
 LAYERH,1,44,59,2,32,24,45,60,3,46,25,33,47,34,4,5,48,26,49,35,6,27,36,50,51,7,8,28,37,9,38,61,52,10,29,39,11,40,53,54,12,13,14,41,55,62,15,16,56,17,18,19,20,21,22
1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5,0,197.8,205,215.2,302.6,213.9,357.2,309.9,279.2,430.9,617.3,461,859.3,436.3,372.2,323.8,652.2,803.9,577.9,590.8,351.8,1375.8,1290.1,1681.9,1389,502.5,483.8,1685.5,1153.3,757.9,1535.1,664.4,976.6,941.1,1862.6,1431.2,2529.9,2031.8,2019.5,2436.9,1727.6,2383.7,1994.9,1685,2487.5,1211.6,1226.7,1944.2,2890.8,2216.5,2530.8,2713.3,3756.7,1974.1,0
1.5,0,184.2,190.9,201.2,286.7,202.5,339.2,298.5,267,417.1,592.3,444.1,826.7,421.1,360,310.2,630.8,774.1,561.2,575.3,341.2,1322,1263.2,1633.7,1348.8,489.6,473.2,1649.9,1120.7,741.2,1490.4,645.9,953.3,921.5,1826.8,1413.8,2473.5,1993,1994.6,2397.9,1711.7,2352.5,1970.9,1665.6,2464.5,1193.2,1208.1,1906.9,2859.4,2180.9,2504.6,2685.9,3728.3,1947.2,0
1.5,0,170.9,177.1,187.5,271.1,191.4,321.5,287.4,255.1,403.6,567.6,427.5,794.4,406.2,348.1,296.9,609.7,744.6,544.8,560.1,330.9,1268.5,1236.6,1585.8,1308.9,477,462.9,1614.6,1088.4,724.8,1446,627.7,930.3,902.2,1791.3,1396.7,2417.4,1954.5,1970,2359.2,1696.1,2321.6,1947.2,1646.5,2441.8,1175.1,1189.8,1869.9,2828.3,2145.6,2478.7,2658.8,3700.2,1920.6,0
1.5,0,157.8,163.5,174,255.7,180.5,304,276.5,243.4,390.3,543.1,411.1,762.3,391.5,336.4,283.8,588.8,715.3,528.6,545.1,320.8,1215.2,1210.2,1538.1,1269.2,464.6,452.8,1579.5,1056.3,708.6,1401.8,609.7,907.5,883.1,1756,1379.8,2361.5,1916.2,1945.6,2320.7,1680.7,2290.9,1923.7,1627.6,2419.3,1157.2,1171.7,1833.1,2797.4,2110.5,2453,2631.9,3672.3,1894.2,0
1.5,0,144.9,150.1,160.7,240.5,169.8,286.7,265.8,231.9,377.2,518.8,394.9,730.4,377,324.9,270.9,568.1,686.2,512.6,530.3,310.9,1162.1,1184,1490.6,1229.7,452.4,442.9,1544.6,1024.4,692.6,1357.8,591.9,884.9,864.2,1720.9,1363.1,2305.8,1878.1,1921.4,2282.4,1665.5,2260.4,1900.4,1608.9,2397,1139.5,1153.8,1796.5,2766.7,2075.6,2427.5,2605.2,3644.6,1868,0
1.5,0,132.3,137,147.7,225.6,159.4,269.7,255.4,220.7,364.4,494.8,379,698.8,362.8,313.7,258.3,547.7,657.4,496.9,515.8,301.3,1109.3,1158.1,1443.4,1190.5,440.5,433.3,1510,992.8,676.9,1314.1,574.4,862.6,845.6,1686.1,1346.7,2250.4,1840.3,1897.5,2244.4,1650.6,2230.2,1877.4,1590.5,2375,1122.1,1136.2,1760.2,2736.3,2041,2402.3,2578.8,3617.2,1842.1,0
