STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
SHA,D,23,OUTFLOW,19870105 0000,19870105 0100,1334,,CFS
SHA,D,23,OUTFLOW,19870106 0000,19870106 0100,1603,,CFS
SHA,D,23,OUTFLOW,19870107 0000,19870107 0100,2166,,CFS
SHA,D,23,OUTFLOW,19870426 0000,19870426 0000,8411,,CFS
SHA,D,23,OUTFLOW,19870427 0000,19870426 0100,8411,,CFS
SHA,D,23,OUTFLOW,19870429 0000,19870429 0000,10007,,CFS
SHA,D,23,OUTFLOW,19870430 0000,19870429 0100,10007,,CFS
SHA,D,23,OUTFLOW,19870502 0000,19870502 0000,1821,,CFS
SHA,D,23,OUTFLOW,19870503 0000,19870502 0100,1821,,CFS
SHA,D,23,OUTFLOW,19870505 0000,19870505 0000,1155,,CFS
SHA,D,23,OUTFLOW,19870506 0000,19870505 0100,1155,,CFS
SHA,D,23,OUTFLOW,19870524 0000,19870524 0000,8350,,CFS
SHA,D,23,OUTFLOW,19870525 0000,19870524 0100,8350,,CFS
SHA,D,23,OUTFLOW,19870615 0000,19870615 0000,13005,,CFS
SHA,D,23,OUTFLOW,19870616 0000,19870615 0100,13005,,CFS
SHA,D,23,OUTFLOW,19870617 0000,19870616 0100,11694,,CFS
SHA,D,23,OUTFLOW,19870618 0000,19870617 0100,12836,,CFS
SHA,D,23,OUTFLOW,19870619 0000,19870618 0100,12836,,CFS
SHA,D,23,OUTFLOW,19870620 0000,19870620 0000,12746,,CFS
SHA,D,23,OUTFLOW,19870621 0000,19870620 0100,12746,,CFS
SHA,D,23,OUTFLOW,19870622 0000,19870621 0100,12116,,CFS
SHA,D,23,OUTFLOW,19870623 0000,19870622 0100,10931,,CFS
SHA,D,23,OUTFLOW,19870624 0000,19870623 0100,11138,,CFS
SHA,D,23,OUTFLOW,19870625 0000,19870624 0100,11640,,CFS
SHA,D,23,OUTFLOW,19870627 0000,19870627 0000,13732,,CFS
SHA,D,23,OUTFLOW,19870628 0000,19870627 0100,13732,,CFS
SHA,D,23,OUTFLOW,19870629 0000,19870628 0100,13617,,CFS
SHA,D,23,OUTFLOW,19870630 0000,19870629 0100,13988,,CFS
SHA,D,23,OUTFLOW,19870701 0000,19870630 0100,10638,,CFS
SHA,D,23,OUTFLOW,19870702 0000,19870701 0100,11589,,CFS
SHA,D,23,OUTFLOW,19870704 0000,19870704 0000,11970,,CFS
SHA,D,23,OUTFLOW,19870705 0000,19870704 0100,11970,,CFS
SHA,D,23,OUTFLOW,19870706 0000,19870705 0100,12482,,CFS
SHA,D,23,OUTFLOW,19870707 0000,19870706 0100,11967,,CFS
SHA,D,23,OUTFLOW,19870708 0000,19870707 0100,12357,,CFS
SHA,D,23,OUTFLOW,19870709 0000,19870708 0100,11194,,CFS
SHA,D,23,OUTFLOW,19870710 0000,19870709 0100,11194,,CFS
SHA,D,23,OUTFLOW,19870711 0000,19870711 0000,12486,,CFS
SHA,D,23,OUTFLOW,19870712 0000,19870711 0100,12486,,CFS
SHA,D,23,OUTFLOW,19870713 0000,19870712 0100,12212,,CFS
SHA,D,23,OUTFLOW,19870714 0000,19870713 0100,2915,,CFS
SHA,D,23,OUTFLOW,19870715 0000,19870714 0100,12123,,CFS
SHA,D,23,OUTFLOW,19870716 0000,19870715 0100,11985,,CFS
SHA,D,23,OUTFLOW,19870718 0000,19870718 0000,12189,,CFS
SHA,D,23,OUTFLOW,19870719 0000,19870718 0100,12189,,CFS
SHA,D,23,OUTFLOW,19870720 0000,19870719 0100,12423,,CFS
SHA,D,23,OUTFLOW,19870721 0000,19870720 0100,12571,,CFS
SHA,D,23,OUTFLOW,19870722 0000,19870721 0100,12240,,CFS
SHA,D,23,OUTFLOW,19870723 0000,19870722 0100,11809,,CFS
SHA,D,23,OUTFLOW,19870725 0000,19870725 0000,12708,,CFS
SHA,D,23,OUTFLOW,19870726 0000,19870725 0100,12708,,CFS
SHA,D,23,OUTFLOW,19870727 0000,19870726 0100,11507,,CFS
SHA,D,23,OUTFLOW,19870728 0000,19870727 0100,11642,,CFS
SHA,D,23,OUTFLOW,19870729 0000,19870728 0100,12427,,CFS
SHA,D,23,OUTFLOW,19870730 0000,19870729 0100,12107,,CFS
SHA,D,23,OUTFLOW,19870801 0000,19870801 0000,12285,,CFS
SHA,D,23,OUTFLOW,19870802 0000,19870801 0100,12285,,CFS
SHA,D,23,OUTFLOW,19870803 0000,19870802 0100,12219,,CFS
SHA,D,23,OUTFLOW,19870804 0000,19870803 0100,11771,,CFS
SHA,D,23,OUTFLOW,19870805 0000,19870804 0100,12285,,CFS
SHA,D,23,OUTFLOW,19870806 0000,19870805 0100,11142,,CFS
SHA,D,23,OUTFLOW,19870808 0000,19870808 0000,11951,,CFS
SHA,D,23,OUTFLOW,19870809 0000,19870808 0100,11951,,CFS
SHA,D,23,OUTFLOW,19870810 0000,19870809 0100,12243,,CFS
SHA,D,23,OUTFLOW,19870811 0000,19870810 0100,11637,,CFS
SHA,D,23,OUTFLOW,19870812 0000,19870811 0100,11326,,CFS
SHA,D,23,OUTFLOW,19870813 0000,19870812 0100,10922,,CFS
SHA,D,23,OUTFLOW,19870815 0000,19870815 0000,11754,,CFS
SHA,D,23,OUTFLOW,19870816 0000,19870815 0100,11754,,CFS
SHA,D,23,OUTFLOW,19870817 0000,19870816 0100,11574,,CFS
SHA,D,23,OUTFLOW,19870818 0000,19870817 0100,10610,,CFS
SHA,D,23,OUTFLOW,19870819 0000,19870818 0100,11511,,CFS
SHA,D,23,OUTFLOW,19870820 0000,19870819 0100,11235,,CFS
SHA,D,23,OUTFLOW,19870822 0000,19870822 0000,11074,,CFS
SHA,D,23,OUTFLOW,19870823 0000,19870822 0100,11074,,CFS
SHA,D,23,OUTFLOW,19870824 0000,19870823 0100,10997,,CFS
SHA,D,23,OUTFLOW,19870825 0000,19870824 0100,11894,,CFS
SHA,D,23,OUTFLOW,19870826 0000,19870825 0100,8190,,CFS
SHA,D,23,OUTFLOW,19870827 0000,19870826 0100,8987,,CFS
SHA,D,23,OUTFLOW,19870829 0000,19870829 0000,6057,,CFS
SHA,D,23,OUTFLOW,19870830 0000,19870829 0100,6057,,CFS
SHA,D,23,OUTFLOW,19870831 0000,19870830 0100,8500,,CFS
SHA,D,23,OUTFLOW,19870901 0000,19870831 0100,6019,,CFS
SHA,D,23,OUTFLOW,19870902 0000,19870901 0100,5867,,CFS
SHA,D,23,OUTFLOW,19870903 0000,19870902 0100,4737,,CFS
SHA,D,23,OUTFLOW,19870906 0000,19870906 0000,4735,,CFS
SHA,D,23,OUTFLOW,19870907 0000,19870906 0100,4735,,CFS
SHA,D,23,OUTFLOW,19870908 0000,19870907 0100,3636,,CFS
SHA,D,23,OUTFLOW,19870909 0000,19870908 0100,3434,,CFS
SHA,D,23,OUTFLOW,19870910 0000,19870909 0100,3434,,CFS
SHA,D,23,OUTFLOW,19870912 0000,19870912 0000,2931,,CFS
SHA,D,23,OUTFLOW,19870913 0000,19870912 0100,2931,,CFS
SHA,D,23,OUTFLOW,19870914 0000,19870913 0100,2915,,CFS
SHA,D,23,OUTFLOW,19870915 0000,19870914 0100,2732,,CFS
SHA,D,23,OUTFLOW,19870916 0000,19870915 0100,2544,,CFS
SHA,D,23,OUTFLOW,19870917 0000,19870916 0100,1908,,CFS
SHA,D,23,OUTFLOW,19870919 0000,19870919 0000,2560,,CFS
SHA,D,23,OUTFLOW,19870920 0000,19870919 0100,2560,,CFS
SHA,D,23,OUTFLOW,19870921 0000,19870920 0100,2358,,CFS
SHA,D,23,OUTFLOW,19870922 0000,19870921 0100,2662,,CFS
SHA,D,23,OUTFLOW,19870923 0000,19870922 0100,2120,,CFS
SHA,D,23,OUTFLOW,19870924 0000,19870923 0100,2988,,CFS
SHA,D,23,OUTFLOW,19870926 0000,19870926 0000,3069,,CFS
SHA,D,23,OUTFLOW,19870927 0000,19870926 0100,3069,,CFS
SHA,D,23,OUTFLOW,19870928 0000,19870927 0100,2971,,CFS
SHA,D,23,OUTFLOW,19870929 0000,19870928 0100,2666,,CFS
SHA,D,23,OUTFLOW,19870930 0000,19870929 0100,2800,,CFS
SHA,D,23,OUTFLOW,19871001 0000,19870930 0100,2730,,CFS
SHA,D,23,OUTFLOW,19871003 0000,19871003 0000,2771,,CFS
SHA,D,23,OUTFLOW,19871004 0000,19871003 0100,2771,,CFS
SHA,D,23,OUTFLOW,19871005 0000,19871004 0100,2917,,CFS
SHA,D,23,OUTFLOW,19871006 0000,19871005 0100,2216,,CFS
SHA,D,23,OUTFLOW,19871007 0000,19871006 0100,1870,,CFS
SHA,D,23,OUTFLOW,19871008 0000,19871007 0100,1865,,CFS
SHA,D,23,OUTFLOW,19871011 0000,19871011 0000,1346,,CFS
SHA,D,23,OUTFLOW,19871012 0000,19871011 0100,1346,,CFS
SHA,D,23,OUTFLOW,19871013 0000,19871012 0100,1417,,CFS
SHA,D,23,OUTFLOW,19871014 0000,19871014 0000,371,,CFS
SHA,D,23,OUTFLOW,19871015 0000,19871014 0100,371,,CFS
SHA,D,23,OUTFLOW,19871016 0000,19871016 0000,541,,CFS
SHA,D,23,OUTFLOW,19871017 0000,19871016 0100,541,,CFS
SHA,D,23,OUTFLOW,19871018 0000,19871017 0100,616,,CFS
SHA,D,23,OUTFLOW,19871019 0000,19871018 0100,563,,CFS
SHA,D,23,OUTFLOW,19871020 0000,19871019 0100,803,,CFS
SHA,D,23,OUTFLOW,19871021 0000,19871020 0100,753,,CFS
SHA,D,23,OUTFLOW,19871022 0000,19871021 0100,1071,,CFS
SHA,D,23,OUTFLOW,19871024 0000,19871024 0000,653,,CFS
SHA,D,23,OUTFLOW,19871025 0000,19871025 0100,684,,CFS
SHA,D,23,OUTFLOW,19871026 0000,19871026 0100,763,,CFS
SHA,D,23,OUTFLOW,19871027 0000,19871027 0100,853,,CFS
SHA,D,23,OUTFLOW,19871028 0000,19871028 0100,817,,CFS
SHA,D,23,OUTFLOW,19871031 0000,19871031 0100,1309,,CFS
SHA,D,23,OUTFLOW,19871101 0000,19871101 0100,1246,,CFS
SHA,D,23,OUTFLOW,19871102 0000,19871102 0100,1294,,CFS
SHA,D,23,OUTFLOW,19871103 0000,19871103 0100,1378,,CFS
SHA,D,23,OUTFLOW,19871104 0000,19871104 0100,2480,,CFS
SHA,D,23,OUTFLOW,19871107 0000,19871107 0100,1421,,CFS
SHA,D,23,OUTFLOW,19871108 0000,19871108 0100,1575,,CFS
SHA,D,23,OUTFLOW,19871110 0000,19871110 0100,1555,,CFS
SHA,D,23,OUTFLOW,19871111 0000,19871111 0100,1465,,CFS
SHA,D,23,OUTFLOW,19871114 0000,19871114 0100,1694,,CFS
SHA,D,23,OUTFLOW,19871115 0000,19871115 0100,1649,,CFS
SHA,D,23,OUTFLOW,19871116 0000,19871116 0100,2545,,CFS
SHA,D,23,OUTFLOW,19871117 0000,19871117 0100,1861,,CFS
SHA,D,23,OUTFLOW,19871118 0000,19871118 0100,1808,,CFS
SHA,D,23,OUTFLOW,19871121 0000,19871121 0100,2336,,CFS
SHA,D,23,OUTFLOW,19871122 0000,19871122 0100,2364,,CFS
SHA,D,23,OUTFLOW,19871123 0000,19871123 0100,2011,,CFS
SHA,D,23,OUTFLOW,19871128 0000,19871128 0100,2811,,CFS
SHA,D,23,OUTFLOW,19871129 0000,19871129 0100,2693,,CFS
SHA,D,23,OUTFLOW,19871130 0000,19871130 0100,2571,,CFS
SHA,D,23,OUTFLOW,19871201 0000,19871201 0100,2502,,CFS
SHA,D,23,OUTFLOW,19871202 0000,19871202 0100,2028,,CFS
SHA,D,23,OUTFLOW,19871204 0000,19871204 0100,1425,,CFS
SHA,D,23,OUTFLOW,19871205 0000,19871205 0100,1183,,CFS
SHA,D,23,OUTFLOW,19871206 0000,19871206 0100,227,,CFS
SHA,D,23,OUTFLOW,19871207 0000,19871207 0100,1789,,CFS
SHA,D,23,OUTFLOW,19871208 0000,19871208 0100,1385,,CFS
SHA,D,23,OUTFLOW,19871209 0000,19871209 0100,825,,CFS
SHA,D,23,OUTFLOW,19871212 0000,19871212 0100,2344,,CFS
SHA,D,23,OUTFLOW,19871213 0000,19871213 0100,3029,,CFS
SHA,D,23,OUTFLOW,19871214 0000,19871214 0100,1819,,CFS
SHA,D,23,OUTFLOW,19871215 0000,19871215 0100,1818,,CFS
SHA,D,23,OUTFLOW,19871216 0000,19871216 0100,952,,CFS
SHA,D,23,OUTFLOW,19871219 0000,19871219 0100,1970,,CFS
SHA,D,23,OUTFLOW,19871220 0000,19871220 0100,1460,,CFS
SHA,D,23,OUTFLOW,19871221 0000,19871221 0100,1513,,CFS
SHA,D,23,OUTFLOW,19871222 0000,19871222 0100,1526,,CFS
SHA,D,23,OUTFLOW,19871227 0000,19871227 0100,1265,,CFS
SHA,D,23,OUTFLOW,19871228 0000,19871228 0100,1290,,CFS
SHA,D,23,OUTFLOW,19871229 0000,19871229 0100,1852,,CFS
SHA,D,23,OUTFLOW,19871230 0000,19871230 0100,1433,,CFS
SHA,D,23,OUTFLOW,19880103 0000,19880103 0100,2607,,CFS
SHA,D,23,OUTFLOW,19880104 0000,19880104 0100,1628,,CFS
SHA,D,23,OUTFLOW,19880107 0000,19880107 0100,2166,,CFS
SHA,D,23,OUTFLOW,19880108 0000,19880108 0100,2340,,CFS
SHA,D,23,OUTFLOW,19880109 0000,19880109 0100,2358,,CFS
SHA,D,23,OUTFLOW,19880110 0000,19880110 0100,1773,,CFS
SHA,D,23,OUTFLOW,19880111 0000,19880111 0100,1251,,CFS
SHA,D,23,OUTFLOW,19880112 0000,19880112 0100,1118,,CFS
SHA,D,23,OUTFLOW,19880113 0000,19880113 0100,973,,CFS
SHA,D,23,OUTFLOW,19880114 0000,19880114 0100,1258,,CFS
SHA,D,23,OUTFLOW,19880115 0000,19880115 0100,1674,,CFS
SHA,D,23,OUTFLOW,19880117 0000,19880117 0100,1489,,CFS
SHA,D,23,OUTFLOW,19880118 0000,19880118 0100,1690,,CFS
SHA,D,23,OUTFLOW,19880119 0000,19880119 0100,1760,,CFS
SHA,D,23,OUTFLOW,19880120 0000,19880120 0100,2751,,CFS
SHA,D,23,OUTFLOW,19880121 0000,19880121 0100,1856,,CFS
SHA,D,23,OUTFLOW,19880122 0000,19880122 0100,1458,,CFS
SHA,D,23,OUTFLOW,19880123 0000,19880123 0100,1684,,CFS
SHA,D,23,OUTFLOW,19880124 0000,19880124 0100,2311,,CFS
SHA,D,23,OUTFLOW,19880125 0000,19880125 0100,2334,,CFS
SHA,D,23,OUTFLOW,19880126 0000,19880126 0100,1937,,CFS
SHA,D,23,OUTFLOW,19880127 0000,19880127 0100,1998,,CFS
SHA,D,23,OUTFLOW,19880128 0000,19880128 0100,1569,,CFS
SHA,D,23,OUTFLOW,19880131 0000,19880131 0100,2293,,CFS
SHA,D,23,OUTFLOW,19880201 0000,19880201 0100,2428,,CFS
SHA,D,23,OUTFLOW,19880202 0000,19880202 0100,2305,,CFS
SHA,D,23,OUTFLOW,19880203 0000,19880203 0100,2662,,CFS
SHA,D,23,OUTFLOW,19880204 0000,19880204 0100,2785,,CFS
SHA,D,23,OUTFLOW,19880205 0000,19880205 0100,3057,,CFS
SHA,D,23,OUTFLOW,19880206 0000,19880206 0100,2830,,CFS
SHA,D,23,OUTFLOW,19880207 0000,19880207 0100,2737,,CFS
SHA,D,23,OUTFLOW,19880208 0000,19880208 0100,2683,,CFS
SHA,D,23,OUTFLOW,19880209 0000,19880209 0100,2617,,CFS
SHA,D,23,OUTFLOW,19880210 0000,19880210 0100,2736,,CFS
SHA,D,23,OUTFLOW,19880211 0000,19880211 0100,3033,,CFS
SHA,D,23,OUTFLOW,19880212 0000,19880212 0100,2990,,CFS
SHA,D,23,OUTFLOW,19880213 0000,19880213 0100,2986,,CFS
SHA,D,23,OUTFLOW,19880215 0000,19880215 0100,2965,,CFS
