STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
SHD,H,25,TEMP W,19900901 0100,19900901 0100,---,,DEG F
SHD,H,25,TEMP W,19900901 0200,19900901 0200,79.8,,DEG F
SHD,H,25,TEMP W,19900901 0300,19900901 0300,2.0,,DEG F
SHD,H,25,TEMP W,19900901 0400,19900901 0400,0.0,,DEG F
SHD,H,25,TEMP W,19900901 0500,19900901 0500,---,,DEG F
SHD,H,25,TEMP W,19900901 0600,19900901 0600,77.3,,DEG F
SHD,H,25,TEMP W,19900901 0700,19900901 0700,2.0,,DEG F
SHD,H,25,TEMP W,19900901 0800,19900901 0800,0.0,,DEG F
SHD,H,25,TEMP W,19900901 0900,19900901 0900,---,,DEG F
SHD,H,25,TEMP W,19900901 1000,19900901 1000,---,,DEG F
SHD,H,25,TEMP W,19900901 1100,19900901 1100,---,,DEG F
SHD,H,25,TEMP W,19900901 1200,19900901 1200,---,,DEG F
SHD,H,25,TEMP W,19900901 1300,19900901 1300,---,,DEG F
SHD,H,25,TEMP W,19900901 1400,19900901 1400,86.5,,DEG F
SHD,H,25,TEMP W,19900901 1500,19900901 1500,2.0,,DEG F
SHD,H,25,TEMP W,19900901 1600,19900901 1600,0.0,,DEG F
SHD,H,25,TEMP W,19900901 1700,19900901 1700,---,,DEG F
SHD,H,25,TEMP W,19900901 1800,19900901 1800,88.9,,DEG F
SHD,H,25,TEMP W,19900901 1900,19900901 1900,2.0,,DEG F
SHD,H,25,TEMP W,19900901 2000,19900901 2000,0.0,,DEG F
SHD,H,25,TEMP W,19900901 2100,19900901 2100,---,,DEG F
SHD,H,25,TEMP W,19900901 2200,19900901 2200,82.6,,DEG F
SHD,H,25,TEMP W,19900901 2300,19900901 2300,2.0,,DEG F
SHD,H,25,TEMP W,19900902 0000,19900902 0000,0.0,,DEG F
SHD,H,25,TEMP W,19900902 0100,19900902 0100,---,,DEG F
SHD,H,25,TEMP W,19900902 0200,19900902 0200,78.4,,DEG F
SHD,H,25,TEMP W,19900902 0300,19900902 0300,2.0,,DEG F
SHD,H,25,TEMP W,19900902 0400,19900902 0400,0.0,,DEG F
SHD,H,25,TEMP W,19900902 0500,19900902 0500,---,,DEG F
SHD,H,25,TEMP W,19900902 0600,19900902 0600,76.3,,DEG F
SHD,H,25,TEMP W,19900902 0700,19900902 0700,2.0,,DEG F
SHD,H,25,TEMP W,19900902 0800,19900902 0800,0.0,,DEG F
SHD,H,25,TEMP W,19900902 0900,19900902 0900,---,,DEG F
SHD,H,25,TEMP W,19900902 1000,19900902 1000,---,,DEG F
SHD,H,25,TEMP W,19900902 1100,19900902 1100,---,,DEG F
SHD,H,25,TEMP W,19900902 1200,19900902 1200,---,,DEG F
SHD,H,25,TEMP W,19900902 1300,19900902 1300,---,,DEG F
SHD,H,25,TEMP W,19900902 1400,19900902 1400,85.1,,DEG F
SHD,H,25,TEMP W,19900902 1500,19900902 1500,2.0,,DEG F
SHD,H,25,TEMP W,19900902 1600,19900902 1600,0.0,,DEG F
SHD,H,25,TEMP W,19900902 1700,19900902 1700,---,,DEG F
SHD,H,25,TEMP W,19900902 1800,19900902 1800,88.9,,DEG F
SHD,H,25,TEMP W,19900902 1900,19900902 1900,2.0,,DEG F
SHD,H,25,TEMP W,19900902 2000,19900902 2000,0.0,,DEG F
SHD,H,25,TEMP W,19900902 2100,19900902 2100,---,,DEG F
SHD,H,25,TEMP W,19900902 2200,19900902 2200,---,,DEG F
SHD,H,25,TEMP W,19900902 2300,19900902 2300,---,,DEG F
SHD,H,25,TEMP W,19900903 0000,19900903 0000,---,,DEG F
SHD,H,25,TEMP W,19900903 0100,19900903 0100,---,,DEG F
SHD,H,25,TEMP W,19900903 0200,19900903 0200,79.4,,DEG F
SHD,H,25,TEMP W,19900903 0300,19900903 0300,2.0,,DEG F
SHD,H,25,TEMP W,19900903 0400,19900903 0400,0.0,,DEG F
SHD,H,25,TEMP W,19900903 0500,19900903 0500,---,,DEG F
SHD,H,25,TEMP W,19900903 0600,19900903 0600,77.0,,DEG F
SHD,H,25,TEMP W,19900903 0700,19900903 0700,2.0,,DEG F
SHD,H,25,TEMP W,19900903 0800,19900903 0800,0.0,,DEG F
SHD,H,25,TEMP W,19900903 0900,19900903 0900,---,,DEG F
SHD,H,25,TEMP W,19900903 1000,19900903 1000,---,,DEG F
SHD,H,25,TEMP W,19900903 1100,19900903 1100,---,,DEG F
SHD,H,25,TEMP W,19900903 1200,19900903 1200,---,,DEG F
SHD,H,25,TEMP W,19900903 1300,19900903 1300,---,,DEG F
SHD,H,25,TEMP W,19900903 1400,19900903 1400,85.8,,DEG F
SHD,H,25,TEMP W,19900903 1500,19900903 1500,2.0,,DEG F
SHD,H,25,TEMP W,19900903 1600,19900903 1600,0.0,,DEG F
SHD,H,25,TEMP W,19900903 1700,19900903 1700,---,,DEG F
SHD,H,25,TEMP W,19900903 1800,19900903 1800,87.9,,DEG F
SHD,H,25,TEMP W,19900903 1900,19900903 1900,2.0,,DEG F
SHD,H,25,TEMP W,19900903 2000,19900903 2000,0.0,,DEG F
SHD,H,25,TEMP W,19900903 2100,19900903 2100,---,,DEG F
SHD,H,25,TEMP W,19900903 2200,19900903 2200,---,,DEG F
SHD,H,25,TEMP W,19900903 2300,19900903 2300,---,,DEG F
SHD,H,25,TEMP W,19900904 0000,19900904 0000,---,,DEG F
SHD,H,25,TEMP W,19900904 0100,19900904 0100,---,,DEG F
SHD,H,25,TEMP W,19900904 0200,19900904 0200,78.0,,DEG F
SHD,H,25,TEMP W,19900904 0300,19900904 0300,2.0,,DEG F
SHD,H,25,TEMP W,19900904 0400,19900904 0400,0.0,,DEG F
SHD,H,25,TEMP W,19900904 0500,19900904 0500,---,,DEG F
SHD,H,25,TEMP W,19900904 0600,19900904 0600,---,,DEG F
SHD,H,25,TEMP W,19900904 0700,19900904 0700,---,,DEG F
SHD,H,25,TEMP W,19900904 0800,19900904 0800,---,,DEG F
SHD,H,25,TEMP W,19900904 0900,19900904 0900,---,,DEG F
SHD,H,25,TEMP W,19900904 1000,19900904 1000,---,,DEG F
SHD,H,25,TEMP W,19900904 1100,19900904 1100,---,,DEG F
SHD,H,25,TEMP W,19900904 1200,19900904 1200,---,,DEG F
SHD,H,25,TEMP W,19900904 1300,19900904 1300,---,,DEG F
SHD,H,25,TEMP W,19900904 1400,19900904 1400,---,,DEG F
SHD,H,25,TEMP W,19900904 1500,19900904 1500,---,,DEG F
SHD,H,25,TEMP W,19900904 1600,19900904 1600,---,,DEG F
SHD,H,25,TEMP W,19900904 1700,19900904 1700,---,,DEG F
SHD,H,25,TEMP W,19900904 1800,19900904 1800,---,,DEG F
SHD,H,25,TEMP W,19900904 1900,19900904 1900,---,,DEG F
