JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,ICETH(m),Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),ReaerationCoeff(day-1),     MAC,
 16710.000,  3600.000,   309.000,     4.000,     0.000,     0.000,     0.000,     0.250,   133.440,  1553.500,     1.000,     0.000,     4.000,    73.662,     0.000,   327.897,   325.096,     7.517,   -78.378,     0.000,         0.000,
 16711.000,  1357.924,   309.067,     5.204,     0.000,     0.000,     0.000,     0.250,   133.507,  1569.300,     1.000,     0.000,     4.266,    57.134,     0.000,   332.856,   330.792,    35.733,   -90.803,     0.000,         0.000,
 16712.000,  2680.725,   309.039,     5.851,     0.000,     0.000,     0.000,     0.250,   133.479,  1553.500,     1.000,     0.000,     4.567,    62.419,     0.000,   339.604,   333.893,    15.258,   -71.967,     0.000,         0.000,
 16713.000,  1273.768,   309.015,     6.429,     0.000,     0.000,     0.000,     0.250,   133.455,  1553.500,     1.000,     0.000,     4.586,    -8.529,     0.000,   305.146,   336.726,    37.227,   -60.278,     0.000,         0.000,
 16714.000,  1360.705,   309.003,     5.656,     0.000,     0.000,     0.000,     0.250,   133.443,  1553.500,     1.000,     0.000,     4.668,    13.433,     0.000,   330.790,   332.960,    53.489,   -69.093,     0.000,         0.000,
 16715.000,   981.413,   309.025,     5.657,     0.000,     0.000,     0.000,     0.250,   133.465,  1553.500,     1.000,     0.000,     4.754,    -3.209,     0.000,   317.957,   332.946,    37.403,   -49.184,     0.000,         0.000,
 16716.000,  2413.533,   309.011,     6.572,     0.000,     0.000,     0.000,     0.250,   133.451,  1553.500,     1.000,     0.000,     4.979,   -12.964,     0.000,   308.938,   337.385,    29.952,   -45.435,     0.000,         0.000,
 16717.000,  1915.707,   308.977,     7.539,     0.000,     0.000,     0.000,     0.250,   133.417,  1553.500,     1.000,     0.000,     5.059,   -23.743,     0.000,   310.937,   342.030,    33.974,   -41.324,     0.000,         0.000,
 16718.000,  1177.279,   308.972,     8.423,     0.000,     0.000,     0.000,     0.250,   133.412,  1553.500,     1.000,     0.000,     4.937,   -33.260,     0.000,   313.523,   346.427,    36.583,   -36.226,     0.000,         0.000,
 16719.000,   848.835,   308.968,     8.437,     0.000,     0.000,     0.000,     0.250,   133.408,  1553.500,     1.000,     0.000,     4.788,   -13.974,     0.000,   317.559,   346.464,    29.263,   -44.195,     0.000,         0.000,
 16720.000,   811.696,   308.965,     7.707,     0.000,     0.000,     0.000,     0.250,   133.405,  1553.500,     1.000,     0.000,     4.583,    22.272,     0.000,   328.554,   342.890,    22.978,   -59.586,     0.000,         0.000,
 16721.000,   710.163,   308.976,     6.544,     0.000,     0.000,     0.000,     0.250,   133.416,  1553.500,     1.000,     0.000,     4.483,   -30.581,     0.000,   289.432,   337.177,    13.602,   -30.767,     0.000,         0.000,
 16722.000,  1435.374,   308.990,     7.080,     0.000,     0.000,     0.000,     0.250,   133.430,  1553.500,     1.000,     0.000,     4.959,   -38.378,     0.000,   301.916,   339.806,    59.714,   -59.227,     0.000,         0.000,
 16723.000,  1243.316,   308.998,     7.996,     0.000,     0.000,     0.000,     0.250,   133.438,  1553.500,     1.000,     0.000,     5.258,   -17.195,     0.000,   321.397,   344.237,    51.518,   -57.162,     0.000,         0.000,
 16724.000,   684.237,   308.991,     9.117,     0.000,     0.000,     0.000,     0.250,   133.431,  1553.500,     1.000,     0.000,     5.193,   -24.742,     0.000,   324.490,   349.777,    44.871,   -45.417,     0.000,         0.000,
 16725.000,   638.877,   308.983,     9.560,     0.000,     0.000,     0.000,     0.250,   133.423,  1553.500,     1.000,     0.000,     5.181,    11.221,     0.000,   339.691,   351.986,    17.957,   -41.473,     0.000,         0.000,
 16726.000,  1184.627,   308.995,     9.233,     0.000,     0.000,     0.000,     0.250,   133.435,  1553.500,     1.000,     0.000,     4.905,   -37.466,     0.000,   310.837,   350.368,    34.938,   -37.004,     0.000,         0.000,
 16727.000,  1280.949,   309.001,     9.729,     0.000,     0.000,     0.000,     0.250,   133.441,  1553.500,     1.000,     0.000,     5.130,   -21.497,     0.000,   322.183,   352.835,    33.271,   -42.425,     0.000,         0.000,
 16728.000,  1742.320,   308.986,    10.193,     0.000,     0.000,     0.000,     0.250,   133.426,  1553.500,     1.000,     0.000,     5.389,   -62.251,     0.000,   320.292,   355.201,    75.465,   -48.122,     0.000,         0.000,
 16729.000,  1334.080,   308.987,    10.253,     0.000,     0.000,     0.000,     0.250,   133.427,  1553.500,     1.000,     0.000,     5.512,   -28.916,     0.000,   341.796,   355.463,    47.523,   -32.274,     0.000,         0.000,
 16730.000,  1607.644,   309.009,    10.593,     0.000,     0.000,     0.000,     0.250,   133.449,  1553.500,     1.000,     0.000,     5.320,   -61.815,     0.000,   309.562,   357.173,    43.849,   -29.644,     0.000,         0.000,
 16731.000,  1195.766,   309.011,    10.597,     0.000,     0.000,     0.000,     0.250,   133.451,  1553.500,     1.000,     0.000,     5.499,  -167.268,     0.000,   274.211,   357.189,    90.142,    -5.852,     0.000,         0.000,
 16732.000,  1250.279,   309.002,    10.401,     0.000,     0.000,     0.000,     0.250,   133.442,  1553.500,     1.000,     0.000,     5.501,  -116.756,     0.000,   304.196,   356.192,    76.626,   -11.866,     0.000,         0.000,
 16733.000,   633.561,   309.003,    10.286,     0.000,     0.000,     0.000,     0.250,   133.443,  1553.500,     1.000,     0.000,     5.436,  -130.350,     0.000,   281.872,   355.612,    65.339,    -8.729,     0.000,         0.000,
 16734.000,  1676.963,   308.970,    10.102,     0.000,     0.000,     0.000,     0.250,   133.410,  1553.500,     1.000,     0.000,     5.322,  -117.815,     0.000,   283.844,   354.762,    57.673,   -10.777,     0.000,         0.000,
 16735.000,  1853.760,   308.944,    10.047,     0.000,     0.000,     0.000,     0.250,   133.384,  1553.500,     1.000,     0.000,     5.491,   -68.109,     0.000,   307.039,   354.447,    42.060,   -21.359,     0.000,         0.000,
 16736.000,  1836.280,   308.915,    10.343,     0.000,     0.000,     0.000,     0.250,   133.355,  1553.500,     1.000,     0.000,     5.560,   -50.203,     0.000,   309.183,   355.907,    32.536,   -29.058,     0.000,         0.000,
 16737.000,  1096.832,   308.913,    10.639,     0.000,     0.000,     0.000,     0.250,   133.353,  1553.500,     1.000,     0.000,     5.726,    -2.928,     0.000,   371.158,   357.392,    56.572,   -39.878,     0.000,         0.000,
 16738.000,  1564.801,   308.908,    10.793,     0.000,     0.000,     0.000,     0.250,   133.348,  1553.500,     1.000,     0.000,     5.599,   -39.512,     0.000,   333.108,   358.173,    45.500,   -31.053,     0.000,         0.000,
 16739.000,  1808.221,   308.893,    11.019,     0.000,     0.000,     0.000,     0.250,   133.333,  1553.500,     1.000,     0.000,     5.472,   -55.379,     0.000,   319.407,   359.333,    42.368,   -26.914,     0.000,         0.000,
 16740.000,  1964.498,   308.870,    10.951,     0.000,     0.000,     0.000,     0.250,   133.310,  1553.500,     1.000,     0.000,     5.438,   -14.388,     0.000,   350.638,   358.992,    28.455,   -22.421,     0.000,         0.000,
 16741.000,  1498.328,   308.848,    10.912,     0.000,     0.000,     0.000,     0.250,   133.288,  1553.500,     1.000,     0.000,     5.563,   -95.835,     0.000,   282.451,   358.751,    27.419,    -7.884,     0.000,         0.000,
 16742.000,  1860.936,   308.838,    11.077,     0.000,     0.000,     0.000,     0.250,   133.278,  1553.500,     1.000,     0.000,     5.795,  -108.162,     0.000,   296.534,   359.624,    50.412,    -5.339,     0.000,         0.000,
 16743.000,  1955.461,   308.845,    11.000,     0.000,     0.000,     0.000,     0.250,   133.285,  1553.500,     1.000,     0.000,     5.846,  -150.741,     0.000,   284.973,   359.234,    80.487,    -4.007,     0.000,         0.000,
 16744.000,  1295.453,   308.807,    10.849,     0.000,     0.000,     0.000,     0.250,   133.247,  1553.500,     1.000,     0.000,     5.815,  -145.405,     0.000,   290.702,   358.445,    83.518,    -5.857,     0.000,         0.000,
 16745.000,  1925.289,   308.779,    10.701,     0.000,     0.000,     0.000,     0.250,   133.219,  1553.500,     1.000,     0.000,     5.626,  -101.337,     0.000,   319.851,   357.711,    69.367,    -5.890,     0.000,         0.000,
 16746.000,  2266.970,   308.758,    10.423,     0.000,     0.000,     0.000,     0.250,   133.198,  1553.500,     1.000,     0.000,     5.484,  -108.679,     0.000,   293.569,   356.352,    48.014,    -2.118,     0.000,         0.000,
 16747.000,  1330.435,   308.725,    10.342,     0.000,     0.000,     0.000,     0.250,   133.165,  1553.500,     1.000,     0.000,     5.616,   -59.637,     0.000,   325.998,   355.895,    42.424,   -12.684,     0.000,         0.000,
 16748.000,  2134.340,   308.694,    10.326,     0.000,     0.000,     0.000,     0.250,   133.134,  1553.500,     1.000,     0.000,     5.620,   -59.377,     0.000,   304.516,   355.829,    26.835,   -18.772,     0.000,         0.000,
 16749.000,  1983.140,   308.634,    10.304,     0.000,     0.000,     0.000,     0.250,   133.074,  1553.500,     1.000,     0.000,     5.507,   -18.888,     0.000,   324.037,   355.735,    10.842,   -23.653,     0.000,         0.000,
 16750.000,  1463.277,   308.575,     9.933,     0.000,     0.000,     0.000,     0.250,   133.015,  1553.500,     1.000,     0.000,     5.621,   -72.573,     0.000,   305.447,   353.861,    31.212,    -7.053,     0.000,         0.000,
 16751.000,  1701.695,   308.547,    10.077,     0.000,     0.000,     0.000,     0.250,   132.987,  1553.500,     1.000,     0.000,     5.819,   -89.917,     0.000,   292.022,   354.581,    32.668,    -5.310,     0.000,         0.000,
 16752.000,   845.704,   308.507,    10.031,     0.000,     0.000,     0.000,     0.250,   132.947,  1553.500,     1.000,     0.000,     5.552,   -37.587,     0.000,   324.620,   354.337,    26.498,   -18.627,     0.000,         0.000,
 16753.000,  1654.377,   308.475,    10.244,     0.000,     0.000,     0.000,     0.250,   132.915,  1553.500,     1.000,     0.000,     5.786,   -42.397,     0.000,   308.816,   355.405,    16.440,   -20.632,     0.000,         0.000,
 16754.000,   257.900,   308.440,    10.620,     0.000,     0.000,     0.000,     0.250,   132.880,  1553.500,     1.000,     0.000,     5.994,   -41.556,     0.000,   308.586,   357.289,    22.223,   -29.371,     0.000,         0.000,
 16755.000,  1917.768,   308.432,    10.859,     0.000,     0.000,     0.000,     0.250,   132.872,  1553.500,     1.000,     0.000,     5.831,   -49.554,     0.000,   315.732,   358.499,    24.879,   -18.092,     0.000,         0.000,
 16756.000,  1684.990,   308.414,    10.901,     0.000,     0.000,     0.000,     0.250,   132.854,  1553.500,     1.000,     0.000,     5.781,   -57.673,     0.000,   307.094,   358.758,    18.211,   -12.202,     0.000,         0.000,
 16757.000,  2084.266,   308.395,    10.876,     0.000,     0.000,     0.000,     0.250,   132.835,  1553.500,     1.000,     0.000,     5.866,   -70.808,     0.000,   301.930,   358.633,    21.222,    -7.118,     0.000,         0.000,
 16758.000,  1925.821,   308.357,    10.881,     0.000,     0.000,     0.000,     0.250,   132.797,  1553.500,     1.000,     0.000,     5.881,   -33.324,     0.000,   317.864,   358.619,     6.599,   -14.030,     0.000,         0.000,
