JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,ICETH(m),Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),ReaerationCoeff(day-1),     MAC,
 16710.000,  3600.000,   309.000,     4.000,     0.000,     0.000,     0.000,     0.250,   133.440,  1553.500,     1.000,     0.000,     4.000,    73.662,     0.000,   327.897,   325.096,     7.517,   -78.378,     0.000,         0.000,
 16711.000,  1119.966,   309.064,     4.000,     0.000,     0.000,     0.000,     0.250,   133.504,  1569.300,     1.000,     0.000,     4.266,    57.101,     0.000,   332.855,   330.801,    35.743,   -90.790,     0.000,         0.000,
 16712.000,  2065.960,   309.035,     4.200,     0.002,     0.000,     0.000,     0.250,   133.475,  1553.500,     1.000,     0.000,     4.545,    63.424,     0.000,   339.714,   333.664,    14.708,   -72.082,     0.000,         0.000,
 16713.000,  2470.823,   309.005,     4.058,     0.002,     0.000,     0.000,     0.250,   133.445,  1553.500,     1.000,     0.000,     4.710,    -8.964,     0.000,   305.646,   337.143,    37.368,   -59.901,     0.000,         0.000,
 16714.000,   641.287,   308.992,     4.052,     0.002,     0.000,     0.000,     0.250,   133.432,  1553.500,     1.000,     0.000,     4.715,    10.373,     0.000,   331.171,   333.926,    54.820,   -67.947,     0.000,         0.000,
 16715.000,    87.632,   309.009,     4.065,     0.002,     0.000,     0.000,     0.250,   133.449,  1553.500,     1.000,     0.000,     4.775,    -4.667,     0.000,   317.910,   333.445,    37.844,   -48.712,     0.000,         0.000,
 16716.000,  2408.957,   308.992,     4.074,     0.002,     0.000,     0.000,     0.250,   133.432,  1553.500,     1.000,     0.000,     4.924,   -12.092,     0.000,   308.963,   337.075,    29.698,   -45.718,     0.000,         0.000,
 16717.000,  1257.976,   308.957,     4.086,     0.002,     0.000,     0.000,     0.250,   133.397,  1553.500,     1.000,     0.000,     4.884,   -19.756,     0.000,   310.964,   340.662,    32.611,   -42.554,     0.000,         0.000,
 16718.000,  1116.237,   308.948,     4.102,     0.002,     0.000,     0.000,     0.250,   133.388,  1553.500,     1.000,     0.000,     4.830,   -27.315,     0.000,   313.561,   344.409,    34.459,   -37.993,     0.000,         0.000,
 16719.000,   989.800,   308.940,     4.087,     0.002,     0.000,     0.000,     0.250,   133.380,  1553.500,     1.000,     0.000,     4.672,    -8.410,     0.000,   317.540,   344.555,    27.271,   -45.876,     0.000,         0.000,
 16720.000,  1659.353,   308.934,     4.078,     0.002,     0.000,     0.000,     0.250,   133.374,  1553.500,     1.000,     0.000,     4.544,    25.671,     0.000,   328.395,   341.705,    21.624,   -60.604,     0.000,         0.000,
 16721.000,  1589.056,   308.941,     4.075,     0.002,     0.000,     0.000,     0.250,   133.381,  1553.500,     1.000,     0.000,     4.497,   -30.432,     0.000,   289.957,   337.446,    13.958,   -31.014,     0.000,         0.000,
 16722.000,  1305.459,   308.954,     4.076,     0.002,     0.000,     0.000,     0.250,   133.394,  1553.500,     1.000,     0.000,     5.019,   -41.297,     0.000,   302.096,   340.603,    61.247,   -58.456,     0.000,         0.000,
 16723.000,   644.316,   308.959,     4.071,     0.001,     0.000,     0.000,     0.250,   133.399,  1553.500,     1.000,     0.000,     5.205,   -21.330,     0.000,   321.526,   345.573,    53.075,   -55.792,     0.000,         0.000,
 16724.000,  2139.421,   308.947,     4.075,     0.002,     0.000,     0.000,     0.250,   133.387,  1553.500,     1.000,     0.000,     5.264,   -24.613,     0.000,   324.422,   349.664,    44.887,   -45.516,     0.000,         0.000,
 16725.000,   729.139,   308.937,     4.085,     0.002,     0.000,     0.000,     0.250,   133.377,  1553.500,     1.000,     0.000,     5.167,     9.622,     0.000,   339.644,   352.468,    18.584,   -41.031,     0.000,         0.000,
 16726.000,  1907.458,   308.946,     4.080,     0.002,     0.000,     0.000,     0.250,   133.386,  1553.500,     1.000,     0.000,     4.918,   -36.278,     0.000,   310.910,   350.046,    34.473,   -37.331,     0.000,         0.000,
 16727.000,  1444.920,   308.949,     4.071,     0.002,     0.000,     0.000,     0.250,   133.389,  1553.500,     1.000,     0.000,     5.192,   -21.235,     0.000,   322.127,   352.711,    33.151,   -42.499,     0.000,         0.000,
 16728.000,  1651.886,   308.931,     4.068,     0.002,     0.000,     0.000,     0.250,   133.371,  1553.500,     1.000,     0.000,     5.438,   -63.157,     0.000,   320.293,   355.460,    75.826,   -47.836,     0.000,         0.000,
 16729.000,  1152.806,   308.930,     4.068,     0.002,     0.000,     0.000,     0.250,   133.370,  1553.500,     1.000,     0.000,     5.494,   -29.463,     0.000,   342.156,   355.788,    47.780,   -31.949,     0.000,         0.000,
 16730.000,  1726.390,   308.948,     4.066,     0.002,     0.000,     0.000,     0.250,   133.388,  1553.500,     1.000,     0.000,     5.283,   -63.207,     0.000,   309.568,   357.622,    44.397,   -29.244,     0.000,         0.000,
 16731.000,  1773.184,   308.946,     4.065,     0.002,     0.000,     0.000,     0.250,   133.386,  1553.500,     1.000,     0.000,     5.463,  -167.907,     0.000,   274.654,   357.785,    90.325,    -5.549,     0.000,         0.000,
 16732.000,  1346.520,   308.935,     4.062,     0.002,     0.000,     0.000,     0.250,   133.375,  1553.500,     1.000,     0.000,     5.473,  -119.742,     0.000,   304.178,   357.085,    77.819,   -10.984,     0.000,         0.000,
 16733.000,  1852.885,   308.934,     4.062,     0.002,     0.000,     0.000,     0.250,   133.374,  1553.500,     1.000,     0.000,     5.452,  -134.145,     0.000,   281.956,   356.894,    66.845,    -7.638,     0.000,         0.000,
 16734.000,  1672.753,   308.897,     4.062,     0.002,     0.000,     0.000,     0.250,   133.337,  1553.500,     1.000,     0.000,     5.342,  -121.200,     0.000,   283.847,   355.889,    58.960,    -9.802,     0.000,         0.000,
 16735.000,  1943.055,   308.869,     4.067,     0.002,     0.000,     0.000,     0.250,   133.309,  1553.500,     1.000,     0.000,     5.497,   -70.445,     0.000,   307.144,   355.294,    42.960,   -20.665,     0.000,         0.000,
 16736.000,  1845.985,   308.835,     4.070,     0.002,     0.000,     0.000,     0.250,   133.275,  1553.500,     1.000,     0.000,     5.562,   -53.121,     0.000,   309.159,   356.728,    33.714,   -28.162,     0.000,         0.000,
 16737.000,  1149.467,   308.831,     4.069,     0.002,     0.000,     0.000,     0.250,   133.271,  1553.500,     1.000,     0.000,     5.713,    -5.095,     0.000,   371.279,   358.089,    57.512,   -39.227,     0.000,         0.000,
