$2/1/1990-8/29/2024 Pit River (proportional estimate),
,
JDAY,QIN
14642,90.68
14643,72.36
14644,107.72
14645,100.08
14646,93.73
14647,91.55
14648,81.06
14649,83.69
14650,92.27
14651,71.31
14652,81.88
14653,82.0
14654,83.03
14655,77.81
14656,81.65
14657,99.35
14658,94.2
14659,77.55
14660,73.0
14661,77.34
14662,84.77
14663,82.36
14664,100.06
14665,97.66
14666,93.19
14667,112.34
14668,111.74
14669,110.7
14670,112.39
14671,157.84
14672,241.5
14673,243.38
14674,220.47
14675,190.05
14676,163.88
14677,159.66
14678,136.1
14679,167.57
14680,145.48
14681,137.98
14682,124.23
14683,124.47
14684,122.71
14685,124.14
14686,114.41
14687,120.01
14688,124.19
14689,111.52
14690,112.51
14691,102.19
14692,118.56
14693,102.83
14694,104.66
14695,84.77
14696,96.98
14697,83.74
14698,121.23
14699,96.84
14700,89.55
14701,89.44
14702,92.01
14703,74.97
14704,86.6
14705,89.93
14706,81.42
14707,86.57
14708,89.11
14709,83.59
14710,81.28
14711,80.31
14712,78.65
14713,78.76
14714,77.52
14715,78.39
14716,82.77
14717,79.63
14718,68.77
14719,71.71
14720,73.21
14721,76.14
14722,82.16
14723,91.19
14724,78.27
14725,73.72
14726,74.8
14727,68.61
14728,72.51
14729,65.44
14730,67.32
14731,64.39
14732,67.81
14733,61.86
14734,64.41
14735,58.11
14736,75.01
14737,33.25
14738,58.9
14739,43.1
14740,66.2
14741,57.01
14742,58.11
14743,57.99
14744,53.35
14745,73.19
14746,67.37
14747,45.56
14748,56.42
14749,66.01
14750,96.52
14751,99.66
14752,261.46
14753,309.44
14754,164.99
14755,130.73
14756,162.29
14757,548.99
14758,513.58
14759,287.41
14760,293.63
14761,303.39
14762,260.94
14763,227.93
14764,190.38
14765,162.55
14766,166.33
14767,131.31
14768,135.8
14769,120.01
14770,107.96
14771,109.32
14772,92.58
14773,94.57
14774,89.98
14775,94.95
14776,83.67
14777,84.61
14778,54.92
14779,99.96
14780,89.86
14781,82.85
14782,66.78
14783,72.95
14784,72.18
14785,65.14
14786,62.24
14787,75.3
14788,64.82
14789,66.67
14790,62.98
14791,67.37
14792,54.4
14793,70.33
14794,55.76
14795,65.14
14796,60.43
14797,61.58
14798,64.72
14799,66.95
14800,60.61
14801,56.0
14802,60.59
14803,56.6
14804,61.88
14805,62.09
14806,61.22
14807,55.85
14808,52.92
14809,56.96
14810,66.69
14811,48.1
14812,61.55
14813,54.42
14814,51.54
14815,51.19
14816,47.79
14817,53.27
14818,58.55
14819,53.13
14820,54.94
14821,48.17
14822,49.99
14823,55.72
14824,54.59
14825,54.73
14826,55.18
14827,54.29
14828,51.05
14829,46.76
14830,58.98
14831,51.61
14832,60.85
14833,50.93
14834,53.67
14835,50.07
14836,50.61
14837,53.07
14838,51.03
14839,50.82
14840,63.19
14841,50.68
14842,56.72
14843,58.74
14844,53.3
14845,52.74
14846,53.96
14847,51.82
14848,53.32
14849,53.65
14850,57.36
14851,43.17
14852,54.03
14853,50.41
14854,53.28
14855,47.86
14856,50.2
14857,52.78
14858,49.17
14859,50.3
14860,48.75
14861,52.59
14862,49.2
14863,51.97
14864,63.45
14865,51.57
14866,52.41
14867,49.85
14868,52.11
14869,62.33
14870,52.22
14871,58.15
14872,53.63
14873,55.72
14874,47.74
14875,65.19
14876,38.76
14877,56.05
14878,62.4
14879,51.0
14880,54.82
14881,57.48
14882,57.92
14883,54.83
14884,44.11
14885,59.47
14886,49.78
14887,56.72
14888,53.27
14889,57.59
14890,55.72
14891,44.63
14892,49.74
14893,57.48
14894,48.0
14895,55.88
14896,49.03
14897,54.12
14898,47.2
14899,58.58
14900,41.34
14901,62.92
14902,51.77
14903,54.43
14904,61.02
14905,45.23
14906,64.34
14907,50.79
14908,68.45
14909,54.19
14910,49.85
14911,36.96
14912,68.63
14913,54.42
14914,82.07
14915,52.11
14916,63.15
14917,65.47
14918,36.81
14919,58.37
14920,63.71
14921,59.09
14922,53.67
14923,52.31
14924,58.98
14925,62.58
14926,61.13
14927,33.07
14928,74.54
14929,57.0
14930,55.36
14931,55.5
14932,58.91
14933,48.51
14934,61.01
14935,53.74
14936,59.73
14937,63.29
14938,64.37
14939,72.91
14940,41.5
14941,56.18
14942,55.03
14943,48.05
14944,59.59
14945,57.38
14946,49.46
14947,54.35
14948,53.61
14949,52.03
14950,43.31
14951,80.9
14952,44.79
14953,56.67
14954,87.33
14955,34.16
14956,68.19
14957,63.01
14958,36.58
14959,67.14
14960,53.06
14961,68.43
14962,48.96
14963,65.89
14964,62.65
14965,65.23
14966,28.75
14967,26.43
14968,40.4
14969,69.81
14970,63.29
14971,59.82
14972,47.98
14973,24.43
14974,61.69
14975,58.95
14976,65.64
14977,76.92
14978,41.27
14979,40.61
14980,65.87
14981,43.43
14982,62.85
14983,68.96
14984,47.77
14985,52.32
14986,58.98
14987,86.86
14988,49.01
14989,61.18
14990,52.46
14991,62.3
14992,60.01
14993,73.51
14994,49.88
14995,88.62
14996,16.86
14997,59.07
14998,69.83
14999,49.29
15000,59.73
15001,46.62
15002,69.24
15003,44.84
15004,47.09
15005,55.04
15006,52.46
15007,44.83
15008,126.63
15009,82.52
15010,73.98
15011,79.38
15012,80.01
15013,65.4
15014,74.24
15015,60.92
15016,51.38
15017,67.65
15018,59.18
15019,59.59
15020,49.95
15021,73.37
15022,78.32
15023,70.35
15024,86.31
15025,1.48
15026,44.27
15027,61.55
15028,59.77
15029,53.37
15030,59.65
15031,62.66
15032,28.49
15033,85.99
15034,62.84
15035,110.78
15036,150.43
15037,423.35
15038,505.12
15039,332.53
15040,223.92
15041,137.67
15042,111.43
15043,119.83
15044,114.53
15045,96.3
15046,126.41
15047,124.61
15048,104.58
15049,119.82
15050,89.22
15051,141.96
15052,95.46
15053,128.48
15054,170.01
15055,112.49
15056,131.57
15057,277.07
15058,241.29
