$2/1/1990-8/29/2024 McCloud River (proportional estimate),
,
JDAY,QIN
14642,20.35
14643,16.24
14644,24.18
14645,22.46
14646,21.04
14647,20.55
14648,18.19
14649,18.78
14650,20.71
14651,16.01
14652,18.38
14653,18.4
14654,18.63
14655,17.46
14656,18.33
14657,22.3
14658,21.14
14659,17.41
14660,16.38
14661,17.36
14662,19.03
14663,18.49
14664,22.46
14665,21.92
14666,20.92
14667,25.21
14668,25.08
14669,24.85
14670,25.22
14671,35.43
14672,54.2
14673,54.63
14674,49.48
14675,42.65
14676,36.78
14677,35.83
14678,30.55
14679,37.61
14680,32.65
14681,30.97
14682,27.88
14683,27.94
14684,27.54
14685,27.86
14686,25.68
14687,26.93
14688,27.87
14689,25.03
14690,25.25
14691,22.94
14692,26.61
14693,23.08
14694,23.49
14695,19.03
14696,21.77
14697,18.8
14698,27.21
14699,21.73
14700,20.1
14701,20.07
14702,20.65
14703,16.83
14704,19.44
14705,20.18
14706,18.27
14707,19.43
14708,20.0
14709,18.76
14710,18.24
14711,18.02
14712,17.65
14713,17.68
14714,17.4
14715,17.59
14716,18.58
14717,17.87
14718,15.43
14719,16.1
14720,16.43
14721,17.09
14722,18.44
14723,20.47
14724,17.57
14725,16.55
14726,16.79
14727,15.4
14728,16.28
14729,14.69
14730,15.11
14731,14.45
14732,15.22
14733,13.88
14734,14.46
14735,13.04
14736,16.83
14737,7.46
14738,13.22
14739,9.67
14740,14.86
14741,12.8
14742,13.04
14743,13.02
14744,11.97
14745,16.43
14746,15.12
14747,10.23
14748,12.66
14749,14.82
14750,21.66
14751,22.37
14752,58.68
14753,69.45
14754,37.03
14755,29.34
14756,36.42
14757,123.22
14758,115.27
14759,64.51
14760,65.9
14761,68.09
14762,58.57
14763,51.16
14764,42.73
14765,36.48
14766,37.33
14767,29.47
14768,30.48
14769,26.93
14770,24.23
14771,24.54
14772,20.78
14773,21.23
14774,20.2
14775,21.31
14776,18.78
14777,18.99
14778,12.33
14779,22.43
14780,20.17
14781,18.6
14782,14.99
14783,16.37
14784,16.2
14785,14.62
14786,13.97
14787,16.9
14788,14.55
14789,14.96
14790,14.13
14791,15.12
14792,12.21
14793,15.79
14794,12.51
14795,14.62
14796,13.56
14797,13.82
14798,14.53
14799,15.03
14800,13.6
14801,12.57
14802,13.6
14803,12.7
14804,13.89
14805,13.94
14806,13.74
14807,12.53
14808,11.88
14809,12.78
14810,14.97
14811,10.8
14812,13.81
14813,12.21
14814,11.57
14815,11.49
14816,10.73
14817,11.95
14818,13.14
14819,11.92
14820,12.33
14821,10.81
14822,11.22
14823,12.51
14824,12.25
14825,12.28
14826,12.39
14827,12.19
14828,11.46
14829,10.5
14830,13.24
14831,11.58
14832,13.66
14833,11.43
14834,12.04
14835,11.24
14836,11.36
14837,11.91
14838,11.45
14839,11.41
14840,14.18
14841,11.38
14842,12.73
14843,13.18
14844,11.96
14845,11.84
14846,12.11
14847,11.63
14848,11.97
14849,12.04
14850,12.87
14851,9.69
14852,12.13
14853,11.31
14854,11.96
14855,10.74
14856,11.27
14857,11.85
14858,11.04
14859,11.29
14860,10.94
14861,11.8
14862,11.04
14863,11.67
14864,14.24
14865,11.58
14866,11.76
14867,11.19
14868,11.7
14869,13.99
14870,11.72
14871,13.05
14872,12.04
14873,12.51
14874,10.71
14875,14.63
14876,8.7
14877,12.58
14878,14.01
14879,11.45
14880,12.3
14881,12.9
14882,13.0
14883,12.31
14884,9.9
14885,13.35
14886,11.17
14887,12.73
14888,11.95
14889,12.93
14890,12.51
14891,10.02
14892,11.16
14893,12.9
14894,10.77
14895,12.54
14896,11.0
14897,12.15
14898,10.59
14899,13.15
14900,9.28
14901,14.12
14902,11.62
14903,12.22
14904,13.7
14905,10.15
14906,14.44
14907,11.4
14908,15.36
14909,12.16
14910,11.19
14911,8.3
14912,15.4
14913,12.21
14914,18.42
14915,11.7
14916,14.17
14917,14.69
14918,8.26
14919,13.1
14920,14.3
14921,13.26
14922,12.04
14923,11.74
14924,13.24
14925,14.04
14926,13.72
14927,7.42
14928,16.73
14929,12.79
14930,12.42
14931,12.46
14932,13.22
14933,10.89
14934,13.69
14935,12.06
14936,13.41
14937,14.21
14938,14.45
14939,16.37
14940,9.31
14941,12.61
14942,12.35
14943,10.78
14944,13.38
14945,12.88
14946,11.1
14947,12.2
14948,12.03
14949,11.68
14950,9.72
14951,18.16
14952,10.05
14953,12.72
14954,19.6
14955,7.67
14956,15.3
14957,14.14
14958,8.21
14959,15.07
14960,11.91
14961,15.36
14962,10.99
14963,14.79
14964,14.06
14965,14.64
14966,6.45
14967,5.93
14968,9.07
14969,15.67
14970,14.21
14971,13.43
14972,10.77
14973,5.48
14974,13.85
14975,13.23
14976,14.73
14977,17.27
14978,9.26
14979,9.11
14980,14.78
14981,9.75
14982,14.11
14983,15.48
14984,10.72
14985,11.74
14986,13.24
14987,19.5
14988,11.0
14989,13.73
14990,11.77
14991,13.98
14992,13.47
14993,16.5
14994,11.2
14995,19.89
14996,3.78
14997,13.26
14998,15.67
14999,11.06
15000,13.41
15001,10.46
15002,15.54
15003,10.06
15004,10.57
15005,12.35
15006,11.77
15007,10.06
15008,28.42
15009,18.52
15010,16.6
15011,17.82
15012,17.96
15013,14.68
15014,16.66
15015,13.67
15016,11.53
15017,15.18
15018,13.28
15019,13.38
15020,11.21
15021,16.47
15022,17.58
15023,15.79
15024,19.37
15025,0.33
15026,9.94
15027,13.81
15028,13.41
15029,11.98
15030,13.39
15031,14.06
15032,6.39
15033,19.3
15034,14.1
15035,24.86
15036,33.76
15037,95.02
15038,113.37
15039,74.63
15040,50.26
15041,30.9
15042,25.01
15043,26.9
15044,25.71
15045,21.61
15046,28.37
15047,27.97
15048,23.47
15049,26.89
15050,20.02
15051,31.86
15052,21.43
15053,28.84
15054,38.16
15055,25.25
15056,29.53
15057,62.19
15058,54.16
