$2/1/1990-8/29/2024 Sacramento River (proportional estimate),
,
JDAY,QIN
14642,31.87
14643,25.43
14644,37.85
14645,35.17
14646,32.94
14647,32.17
14648,28.48
14649,29.41
14650,32.42
14651,25.06
14652,28.77
14653,28.82
14654,29.18
14655,27.34
14656,28.69
14657,34.91
14658,33.1
14659,27.25
14660,25.65
14661,27.18
14662,29.79
14663,28.94
14664,35.16
14665,34.32
14666,32.75
14667,39.48
14668,39.27
14669,38.9
14670,39.49
14671,55.47
14672,84.87
14673,85.53
14674,77.48
14675,66.78
14676,57.59
14677,56.11
14678,47.83
14679,58.89
14680,51.12
14681,48.49
14682,43.66
14683,43.74
14684,43.12
14685,43.62
14686,40.21
14687,42.17
14688,43.64
14689,39.19
14690,39.54
14691,35.91
14692,41.66
14693,36.14
14694,36.78
14695,29.79
14696,34.08
14697,29.43
14698,42.6
14699,34.03
14700,31.47
14701,31.43
14702,32.33
14703,26.35
14704,30.43
14705,31.6
14706,28.61
14707,30.42
14708,31.32
14709,29.37
14710,28.56
14711,28.22
14712,27.64
14713,27.68
14714,27.24
14715,27.55
14716,29.09
14717,27.98
14718,24.17
14719,25.2
14720,25.73
14721,26.76
14722,28.87
14723,32.04
14724,27.5
14725,25.91
14726,26.28
14727,24.11
14728,25.48
14729,22.99
14730,23.66
14731,22.63
14732,23.83
14733,21.74
14734,22.63
14735,20.42
14736,26.36
14737,11.68
14738,20.7
14739,15.15
14740,23.26
14741,20.04
14742,20.42
14743,20.38
14744,18.75
14745,25.72
14746,23.67
14747,16.01
14748,19.83
14749,23.2
14750,33.92
14751,35.02
14752,91.88
14753,108.74
14754,57.98
14755,45.94
14756,57.03
14757,192.92
14758,180.48
14759,101.0
14760,103.19
14761,106.62
14762,91.7
14763,80.1
14764,66.9
14765,57.12
14766,58.45
14767,46.14
14768,47.72
14769,42.17
14770,37.94
14771,38.42
14772,32.53
14773,33.23
14774,31.62
14775,33.37
14776,29.4
14777,29.73
14778,19.3
14779,35.13
14780,31.58
14781,29.12
14782,23.47
14783,25.64
14784,25.37
14785,22.89
14786,21.87
14787,26.46
14788,22.78
14789,23.43
14790,22.13
14791,23.67
14792,19.12
14793,24.72
14794,19.59
14795,22.89
14796,21.24
14797,21.64
14798,22.74
14799,23.53
14800,21.3
14801,19.68
14802,21.29
14803,19.89
14804,21.74
14805,21.82
14806,21.51
14807,19.62
14808,18.6
14809,20.02
14810,23.44
14811,16.9
14812,21.63
14813,19.12
14814,18.11
14815,17.99
14816,16.79
14817,18.72
14818,20.57
14819,18.67
14820,19.31
14821,16.93
14822,17.57
14823,19.58
14824,19.18
14825,19.23
14826,19.39
14827,19.08
14828,17.94
14829,16.43
14830,20.73
14831,18.14
14832,21.38
14833,17.9
14834,18.86
14835,17.6
14836,17.79
14837,18.65
14838,17.93
14839,17.86
14840,22.2
14841,17.81
14842,19.93
14843,20.64
14844,18.73
14845,18.53
14846,18.96
14847,18.21
14848,18.74
14849,18.85
14850,20.16
14851,15.17
14852,18.99
14853,17.71
14854,18.72
14855,16.82
14856,17.64
14857,18.55
14858,17.28
14859,17.68
14860,17.13
14861,18.48
14862,17.29
14863,18.26
14864,22.3
14865,18.12
14866,18.42
14867,17.52
14868,18.31
14869,21.9
14870,18.35
14871,20.43
14872,18.85
14873,19.58
14874,16.78
14875,22.91
14876,13.62
14877,19.7
14878,21.93
14879,17.92
14880,19.26
14881,20.2
14882,20.35
14883,19.27
14884,15.5
14885,20.9
14886,17.49
14887,19.93
14888,18.72
14889,20.24
14890,19.58
14891,15.69
14892,17.48
14893,20.2
14894,16.87
14895,19.64
14896,17.23
14897,19.02
14898,16.59
14899,20.59
14900,14.53
14901,22.11
14902,18.19
14903,19.13
14904,21.44
14905,15.89
14906,22.61
14907,17.85
14908,24.05
14909,19.04
14910,17.52
14911,12.99
14912,24.12
14913,19.12
14914,28.84
14915,18.31
14916,22.19
14917,23.01
14918,12.93
14919,20.51
14920,22.39
14921,20.76
14922,18.86
14923,18.38
14924,20.73
14925,21.99
14926,21.48
14927,11.62
14928,26.19
14929,20.03
14930,19.45
14931,19.5
14932,20.7
14933,17.05
14934,21.44
14935,18.88
14936,20.99
14937,22.24
14938,22.62
14939,25.62
14940,14.58
14941,19.74
14942,19.34
14943,16.89
14944,20.94
14945,20.16
14946,17.38
14947,19.1
14948,18.84
14949,18.28
14950,15.22
14951,28.43
14952,15.74
14953,19.91
14954,30.69
14955,12.0
14956,23.96
14957,22.14
14958,12.85
14959,23.6
14960,18.64
14961,24.05
14962,17.2
14963,23.15
14964,22.01
14965,22.92
14966,10.1
14967,9.29
14968,14.2
14969,24.53
14970,22.24
14971,21.02
14972,16.86
14973,8.58
14974,21.68
14975,20.72
14976,23.07
14977,27.03
14978,14.5
14979,14.27
14980,23.15
14981,15.26
14982,22.09
14983,24.23
14984,16.79
14985,18.39
14986,20.73
14987,30.52
14988,17.22
14989,21.5
14990,18.44
14991,21.89
14992,21.09
14993,25.83
14994,17.53
14995,31.14
14996,5.92
14997,20.76
14998,24.54
14999,17.32
15000,20.99
15001,16.38
15002,24.33
15003,15.76
15004,16.55
15005,19.34
15006,18.44
15007,15.75
15008,44.5
15009,29.0
15010,26.0
15011,27.9
15012,28.12
15013,22.98
15014,26.09
15015,21.41
15016,18.06
15017,23.77
15018,20.8
15019,20.94
15020,17.55
15021,25.78
15022,27.52
15023,24.72
15024,30.33
15025,0.52
15026,15.56
15027,21.63
15028,21.0
15029,18.75
15030,20.96
15031,22.02
15032,10.01
15033,30.22
15034,22.08
15035,38.93
15036,52.86
15037,148.77
15038,177.51
15039,116.85
15040,78.69
15041,48.38
15042,39.16
15043,42.11
15044,40.25
15045,33.84
15046,44.42
15047,43.79
15048,36.75
15049,42.1
15050,31.35
15051,49.89
15052,33.55
15053,45.15
15054,59.74
15055,39.53
15056,46.23
15057,97.36
15058,84.79
