$10/1/1950-8/29/2024 Pit River (proportional estimate),
,
JDAY,QIN
1,49.15
2,64.6
3,55.86
4,49.48
5,67.27
6,57.36
7,44.48
8,60.19
9,61.88
10,54.01
11,52.2
12,53.11
13,62.14
14,53.91
15,45.44
16,84.2
17,144.63
18,68.43
19,53.46
20,62.05
21,48.59
22,58.15
23,63.87
24,72.81
25,133.42
26,175.03
27,234.68
28,726.74
29,903.21
30,696.95
31,282.12
32,204.52
33,160.28
34,141.45
35,124.07
36,105.76
37,119.33
38,98.58
39,102.64
40,79.14
41,86.32
42,92.7
43,67.88
44,104.05
45,80.73
46,143.7
47,475.76
48,408.2
49,402.39
50,290.16
51,262.66
52,240.78
53,216.37
54,174.88
55,172.26
56,160.75
57,138.44
58,167.55
59,124.72
60,137.09
61,144.24
62,133.87
63,171.2
64,265.52
65,284.46
66,242.7
67,265.54
68,335.98
69,452.62
70,486.62
71,384.8
72,357.95
73,312.09
74,281.58
75,479.65
76,654.7
77,464.48
78,355.86
79,301.46
80,262.05
81,222.13
82,201.9
83,185.69
84,167.03
85,155.18
86,154.13
87,157.44
88,141.58
89,133.73
90,136.0
91,128.17
92,119.28
93,121.21
94,130.66
95,118.46
96,136.43
97,130.61
98,115.6
99,98.41
100,141.33
101,119.38
102,182.67
103,284.04
104,208.25
105,158.59
106,141.58
107,187.69
108,208.65
109,406.82
110,454.63
111,315.58
112,241.55
113,272.71
114,216.79
115,221.5
116,255.93
117,254.96
118,256.65
119,247.06
120,230.67
121,204.87
122,184.41
123,168.23
124,152.7
125,157.6
126,175.8
127,513.51
128,585.15
129,411.49
130,369.98
131,378.17
132,337.03
133,395.78
134,749.37
135,597.16
136,447.04
137,378.7
138,322.38
139,283.85
140,261.71
141,228.23
142,223.7
143,241.13
144,205.04
145,186.38
146,194.06
147,170.54
148,171.86
149,177.54
150,153.68
151,162.36
152,152.3
153,150.22
154,138.25
155,171.22
156,163.53
157,262.04
158,231.07
159,243.31
160,308.47
161,246.47
162,202.67
163,198.73
164,186.87
165,190.9
166,188.48
167,196.55
168,193.04
169,175.99
170,198.59
171,186.21
172,188.3
173,186.91
174,175.23
175,172.61
176,162.15
177,172.09
178,161.68
179,158.85
180,156.2
181,157.77
182,148.58
183,147.02
184,156.05
185,145.11
186,150.8
187,155.24
188,153.19
189,155.56
190,139.66
191,174.51
192,166.19
193,161.99
194,149.75
195,161.0
196,166.77
197,162.22
198,136.62
199,151.95
200,143.07
201,142.31
202,146.6
203,135.26
204,119.36
205,146.72
206,128.2
207,116.82
208,120.81
209,152.63
210,182.81
211,133.62
212,138.35
213,121.87
214,143.21
215,182.83
216,233.08
217,211.6
218,176.27
219,177.67
220,169.38
221,155.72
222,177.2
223,162.55
224,165.65
225,148.38
226,152.49
227,141.84
228,147.1
229,141.09
230,139.17
231,138.47
232,128.5
233,131.78
234,132.33
235,122.47
236,115.75
237,112.32
238,106.08
239,82.57
240,112.01
241,99.26
242,84.81
243,97.06
244,93.63
245,86.57
246,79.92
247,96.1
248,87.4
249,80.15
250,86.2
251,74.36
252,78.6
253,80.67
254,88.43
255,74.76
256,80.17
257,74.76
258,74.92
259,60.27
260,71.28
261,72.41
262,88.28
263,65.8
264,66.53
265,70.89
266,54.0
267,81.13
268,78.37
269,54.92
270,75.29
271,70.33
272,66.08
273,67.42
274,55.62
275,80.97
276,66.57
277,51.78
278,72.65
279,65.21
280,45.99
281,62.56
282,81.62
283,59.8
284,60.9
285,62.75
286,66.73
287,35.9
288,57.59
289,83.24
290,67.54
291,55.62
292,54.68
293,51.8
294,47.65
295,57.96
296,78.41
297,56.7
298,57.85
299,56.86
300,57.17
301,44.44
302,53.75
303,74.9
304,51.57
305,63.05
306,46.94
307,57.64
308,38.25
309,56.16
310,79.35
311,48.85
312,53.89
313,54.66
314,50.6
315,45.56
316,56.19
317,81.04
318,62.52
319,40.96
320,64.28
321,54.9
322,28.16
323,63.64
324,72.36
325,54.68
326,55.55
327,58.46
328,52.13
329,41.15
330,63.78
331,62.45
332,70.67
333,43.97
334,51.0
335,60.52
336,36.56
337,41.36
338,69.76
339,70.19
340,57.45
341,55.43
342,58.57
343,26.01
344,65.61
345,73.32
346,54.54
347,60.41
348,61.16
349,48.75
350,28.58
351,68.56
352,74.34
353,58.25
354,55.01
355,50.61
356,63.46
357,28.63
358,61.83
359,76.84
360,53.58
361,51.7
362,52.08
363,58.58
364,34.19
365,74.9
366,124.94
367,80.48
368,66.12
369,57.69
370,65.84
371,54.61
372,47.13
373,77.24
374,61.11
375,57.8
376,64.72
377,62.19
378,50.21
379,54.14
380,81.98
381,54.56
382,53.89
383,63.78
384,58.2
385,53.33
386,54.82
387,72.97
388,70.53
389,83.48
390,74.73
391,71.59
392,52.93
393,55.72
394,74.43
395,70.09
396,57.68
397,60.29
398,65.1
399,60.38
400,38.95
401,85.99
402,62.19
403,60.8
404,61.56
405,61.42
406,84.98
407,97.06
408,121.75
409,75.25
410,73.32
411,67.65
412,71.38
413,37.82
414,49.6
415,155.68
416,193.13
417,131.97
418,89.37
419,89.09
420,58.44
421,94.97
422,139.97
423,125.24
424,244.29
425,231.16
426,597.62
427,1081.34
428,515.74
429,426.05
430,496.89
431,338.12
432,266.92
433,196.64
434,149.4
435,73.04
436,184.59
437,128.45
438,117.43
439,111.9
440,105.34
441,98.91
442,83.11
443,121.42
444,139.27
445,109.55
446,103.06
447,99.0
448,98.2
449,87.32
450,111.39
451,103.85
452,495.48
453,1345.73
454,776.64
455,550.44
456,467.44
457,383.58
458,277.4
459,223.7
460,208.88
461,184.52
462,177.44
463,187.74
464,171.22
465,138.96
466,137.91
467,167.34
468,218.12
469,186.84
470,159.74
471,303.32
472,211.04
473,177.09
474,147.57
475,138.35
476,154.13
477,233.2
478,184.22
479,164.36
480,157.46
481,300.17
482,287.96
483,343.3
484,266.97
485,259.18
486,211.98
