$10/1/1950-8/29/2024 McCloud River (proportional estimate),
,
JDAY,QIN
1,11.03
2,14.5
3,12.54
4,11.11
5,15.1
6,12.87
7,9.98
8,13.51
9,13.89
10,12.12
11,11.72
12,11.92
13,13.95
14,12.1
15,10.2
16,18.9
17,32.46
18,15.36
19,12.0
20,13.93
21,10.91
22,13.05
23,14.33
24,16.34
25,29.94
26,39.29
27,52.67
28,163.11
29,202.72
30,156.42
31,63.32
32,45.9
33,35.97
34,31.75
35,27.85
36,23.74
37,26.78
38,22.13
39,23.04
40,17.76
41,19.37
42,20.81
43,15.23
44,23.35
45,18.12
46,32.25
47,106.78
48,91.62
49,90.31
50,65.12
51,58.95
52,54.04
53,48.56
54,39.25
55,38.66
56,36.08
57,31.07
58,37.61
59,27.99
60,30.77
61,32.37
62,30.05
63,38.42
64,59.59
65,63.84
66,54.47
67,59.6
68,75.41
69,101.59
70,109.22
71,86.37
72,80.34
73,70.05
74,63.2
75,107.65
76,146.94
77,104.25
78,79.87
79,67.66
80,58.82
81,49.85
82,45.32
83,41.68
84,37.49
85,34.83
86,34.59
87,35.34
88,31.78
89,30.01
90,30.52
91,28.77
92,26.77
93,27.2
94,29.33
95,26.59
96,30.62
97,29.31
98,25.94
99,22.09
100,31.72
101,26.79
102,41.0
103,63.75
104,46.74
105,35.59
106,31.78
107,42.13
108,46.83
109,91.31
110,102.04
111,70.83
112,54.21
113,61.21
114,48.66
115,49.71
116,57.44
117,57.22
118,57.6
119,55.45
120,51.77
121,45.98
122,41.39
123,37.76
124,34.27
125,35.37
126,39.46
127,115.25
128,131.33
129,92.36
130,83.04
131,84.88
132,75.64
133,88.83
134,168.19
135,134.03
136,100.34
137,85.0
138,72.36
139,63.71
140,58.74
141,51.22
142,50.21
143,54.12
144,46.02
145,41.83
146,43.55
147,38.28
148,38.57
149,39.85
150,34.49
151,36.44
152,34.18
153,33.72
154,31.03
155,38.43
156,36.7
157,58.81
158,51.86
159,54.61
160,69.23
161,55.32
162,45.49
163,44.6
164,41.94
165,42.85
166,42.3
167,44.11
168,43.33
169,39.5
170,44.57
171,41.79
172,42.26
173,41.95
174,39.33
175,38.74
176,36.39
177,38.62
178,36.29
179,35.65
180,35.06
181,35.41
182,33.35
183,33.0
184,35.02
185,32.57
186,33.85
187,34.84
188,34.38
189,34.91
190,31.35
191,39.17
192,37.3
193,36.36
194,33.61
195,36.13
196,37.43
197,36.41
198,30.66
199,34.1
200,32.11
201,31.94
202,32.9
203,30.36
204,26.79
205,32.93
206,28.77
207,26.22
208,27.11
209,34.26
210,41.03
211,29.99
212,31.05
213,27.35
214,32.14
215,41.03
216,52.31
217,47.49
218,39.56
219,39.88
220,38.02
221,34.95
222,39.77
223,36.48
224,37.18
225,33.3
226,34.23
227,31.83
228,33.02
229,31.67
230,31.24
231,31.08
232,28.84
233,29.58
234,29.7
235,27.49
236,25.98
237,25.21
238,23.81
239,18.53
240,25.14
241,22.28
242,19.03
243,21.79
244,21.01
245,19.43
246,17.94
247,21.57
248,19.62
249,17.99
250,19.35
251,16.69
252,17.64
253,18.11
254,19.85
255,16.78
256,17.99
257,16.78
258,16.82
259,13.53
260,16.0
261,16.25
262,19.81
263,14.77
264,14.93
265,15.91
266,12.12
267,18.21
268,17.59
269,12.33
270,16.9
271,15.79
272,14.83
273,15.13
274,12.48
275,18.17
276,14.94
277,11.62
278,16.31
279,14.64
280,10.32
281,14.04
282,18.32
283,13.42
284,13.67
285,14.08
286,14.98
287,8.06
288,12.93
289,18.68
290,15.16
291,12.48
292,12.27
293,11.63
294,10.69
295,13.01
296,17.6
297,12.73
298,12.98
299,12.76
300,12.83
301,9.97
302,12.06
303,16.81
304,11.58
305,14.15
306,10.53
307,12.94
308,8.59
309,12.6
310,17.81
311,10.96
312,12.1
313,12.27
314,11.36
315,10.23
316,12.61
317,18.19
318,14.03
319,9.19
320,14.43
321,12.32
322,6.32
323,14.28
324,16.24
325,12.27
326,12.47
327,13.12
328,11.7
329,9.24
330,14.31
331,14.02
332,15.86
333,9.87
334,11.45
335,13.58
336,8.21
337,9.28
338,15.66
339,15.75
340,12.89
341,12.44
342,13.14
343,5.84
344,14.73
345,16.46
346,12.24
347,13.56
348,13.73
349,10.94
350,6.41
351,15.39
352,16.69
353,13.07
354,12.35
355,11.36
356,14.24
357,6.43
358,13.88
359,17.25
360,12.03
361,11.6
362,11.69
363,13.15
364,7.67
365,16.81
366,28.04
367,18.06
368,14.84
369,12.95
370,14.78
371,12.26
372,10.58
373,17.34
374,13.72
375,12.97
376,14.53
377,13.96
378,11.27
379,12.15
380,18.4
381,12.24
382,12.1
383,14.31
384,13.06
385,11.97
386,12.3
387,16.38
388,15.83
389,18.74
390,16.77
391,16.07
392,11.88
393,12.51
394,16.71
395,15.73
396,12.95
397,13.53
398,14.61
399,13.55
400,8.74
401,19.3
402,13.96
403,13.65
404,13.82
405,13.79
406,19.07
407,21.79
408,27.33
409,16.89
410,16.46
411,15.18
412,16.02
413,8.49
414,11.13
415,34.94
416,43.35
417,29.62
418,20.06
419,20.0
420,13.12
421,21.32
422,31.42
423,28.11
424,54.83
425,51.88
426,134.13
427,242.7
428,115.75
429,95.62
430,111.52
431,75.89
432,59.91
433,44.13
434,33.53
435,16.39
436,41.43
437,28.83
438,26.36
439,25.12
440,23.64
441,22.2
442,18.65
443,27.25
444,31.26
445,24.59
446,23.13
447,22.22
448,22.04
449,19.6
450,25.0
451,23.31
452,111.21
453,302.04
454,174.31
455,123.54
456,104.91
457,86.09
458,62.26
459,50.21
460,46.88
461,41.41
462,39.83
463,42.14
464,38.43
465,31.19
466,30.95
467,37.56
468,48.95
469,41.93
470,35.85
471,68.08
472,47.37
473,39.75
474,33.12
475,31.05
476,34.59
477,52.34
478,41.35
479,36.89
480,35.34
481,67.37
482,64.63
483,77.05
484,59.92
485,58.17
486,47.58
