$10/1/1950-8/29/2024 Sacramento River (proportional estimate),
,
JDAY,QIN
1,17.27
2,22.7
3,19.63
4,17.39
5,23.64
6,20.16
7,15.63
8,21.15
9,21.74
10,18.98
11,18.34
12,18.66
13,21.84
14,18.94
15,15.97
16,29.59
17,50.82
18,24.05
19,18.79
20,21.81
21,17.08
22,20.43
23,22.44
24,25.59
25,46.88
26,61.51
27,82.47
28,255.39
29,317.4
30,244.92
31,99.14
32,71.87
33,56.33
34,49.71
35,43.6
36,37.17
37,41.93
38,34.64
39,36.07
40,27.81
41,30.33
42,32.58
43,23.85
44,36.57
45,28.37
46,50.5
47,167.19
48,143.45
49,141.41
50,101.97
51,92.3
52,84.61
53,76.04
54,61.45
55,60.54
56,56.49
57,48.65
58,58.88
59,43.83
60,48.18
61,50.69
62,47.04
63,60.16
64,93.31
65,99.96
66,85.29
67,93.31
68,118.07
69,159.06
70,171.01
71,135.22
72,125.79
73,109.67
74,98.95
75,168.55
76,230.07
77,163.22
78,125.05
79,105.94
80,92.09
81,78.06
82,70.95
83,65.25
84,58.7
85,54.53
86,54.16
87,55.33
88,49.75
89,46.99
90,47.79
91,45.04
92,41.92
93,42.6
94,45.92
95,41.63
96,47.94
97,45.9
98,40.62
99,34.58
100,49.67
101,41.95
102,64.19
103,99.82
104,73.18
105,55.73
106,49.75
107,65.96
108,73.32
109,142.96
110,159.76
111,110.9
112,84.88
113,95.83
114,76.18
115,77.84
116,89.94
117,89.6
118,90.19
119,86.82
120,81.06
121,71.99
122,64.81
123,59.12
124,53.66
125,55.38
126,61.78
127,180.45
128,205.63
129,144.6
130,130.02
131,132.9
132,118.44
133,139.08
134,263.34
135,209.85
136,157.1
137,133.08
138,113.29
139,99.75
140,91.97
141,80.2
142,78.61
143,84.74
144,72.05
145,65.5
146,68.19
147,59.93
148,60.39
149,62.39
150,54.0
151,57.05
152,53.52
153,52.79
154,48.58
155,60.17
156,57.47
157,92.08
158,81.2
159,85.5
160,108.4
161,86.61
162,71.22
163,69.84
164,65.67
165,67.08
166,66.23
167,69.07
168,67.84
169,61.85
170,69.79
171,65.44
172,66.17
173,65.68
174,61.58
175,60.66
176,56.98
177,60.47
178,56.82
179,55.82
180,54.89
181,55.44
182,52.21
183,51.66
184,54.84
185,51.0
186,52.99
187,54.56
188,53.83
189,54.67
190,49.08
191,61.33
192,58.4
193,56.93
194,52.63
195,56.58
196,58.61
197,57.01
198,48.01
199,53.4
200,50.28
201,50.01
202,51.52
203,47.53
204,41.95
205,51.56
206,45.05
207,41.05
208,42.45
209,53.64
210,64.24
211,46.96
212,48.62
213,42.83
214,50.33
215,64.25
216,81.91
217,74.36
218,61.94
219,62.43
220,59.52
221,54.72
222,62.27
223,57.12
224,58.21
225,52.14
226,53.59
227,49.84
228,51.69
229,49.58
230,48.91
231,48.66
232,45.16
233,46.31
234,46.5
235,43.04
236,40.68
237,39.47
238,37.28
239,29.02
240,39.36
241,34.88
242,29.8
243,34.11
244,32.9
245,30.42
246,28.09
247,33.77
248,30.71
249,28.17
250,30.29
251,26.13
252,27.62
253,28.35
254,31.08
255,26.27
256,28.17
257,26.27
258,26.33
259,21.18
260,25.05
261,25.45
262,31.02
263,23.12
264,23.38
265,24.91
266,18.98
267,28.51
268,27.54
269,19.3
270,26.46
271,24.72
272,23.22
273,23.69
274,19.55
275,28.45
276,23.39
277,18.2
278,25.53
279,22.92
280,16.16
281,21.98
282,28.68
283,21.02
284,21.4
285,22.05
286,23.45
287,12.62
288,20.24
289,29.25
290,23.74
291,19.55
292,19.21
293,18.2
294,16.75
295,20.37
296,27.55
297,19.93
298,20.33
299,19.98
300,20.09
301,15.62
302,18.89
303,26.32
304,18.12
305,22.16
306,16.49
307,20.26
308,13.44
309,19.74
310,27.88
311,17.17
312,18.94
313,19.21
314,17.78
315,16.01
316,19.75
317,28.48
318,21.97
319,14.39
320,22.59
321,19.29
322,9.9
323,22.36
324,25.43
325,19.21
326,19.52
327,20.54
328,18.32
329,14.46
330,22.41
331,21.95
332,24.83
333,15.45
334,17.92
335,21.27
336,12.85
337,14.53
338,24.51
339,24.67
340,20.19
341,19.48
342,20.58
343,9.14
344,23.06
345,25.76
346,19.17
347,21.23
348,21.49
349,17.13
350,10.04
351,24.09
352,26.13
353,20.47
354,19.33
355,17.79
356,22.3
357,10.06
358,21.73
359,27.0
360,18.83
361,18.17
362,18.3
363,20.59
364,12.02
365,26.32
366,43.91
367,28.28
368,23.23
369,20.27
370,23.14
371,19.19
372,16.56
373,27.14
374,21.48
375,20.31
376,22.74
377,21.86
378,17.65
379,19.02
380,28.81
381,19.17
382,18.94
383,22.41
384,20.45
385,18.74
386,19.26
387,25.64
388,24.78
389,29.34
390,26.26
391,25.16
392,18.6
393,19.58
394,26.16
395,24.63
396,20.27
397,21.19
398,22.88
399,21.22
400,13.69
401,30.22
402,21.86
403,21.36
404,21.63
405,21.59
406,29.86
407,34.11
408,42.79
409,26.44
410,25.76
411,23.77
412,25.08
413,13.29
414,17.43
415,54.71
416,67.87
417,46.38
418,31.41
419,31.31
420,20.54
421,33.37
422,49.19
423,44.01
424,85.85
425,81.23
426,210.01
427,380.0
428,181.24
429,149.72
430,174.61
431,118.82
432,93.8
433,69.1
434,52.5
435,25.67
436,64.87
437,45.14
438,41.27
439,39.32
440,37.02
441,34.76
442,29.21
443,42.67
444,48.94
445,38.5
446,36.22
447,34.79
448,34.51
449,30.68
450,39.15
451,36.49
452,174.12
453,472.91
454,272.92
455,193.43
456,164.27
457,134.79
458,97.48
459,78.61
460,73.4
461,64.84
462,62.35
463,65.98
464,60.17
465,48.83
466,48.46
467,58.81
468,76.65
469,65.66
470,56.14
471,106.59
472,74.16
473,62.23
474,51.86
475,48.62
476,54.16
477,81.95
478,64.74
479,57.76
480,55.33
481,105.48
482,101.19
483,120.64
484,93.82
485,91.08
486,74.49
