$10/1/1995-12/31/2016 Pit River (proportional estimate),
,
JDAY,QIN
16710,0.0
16711,91.36
16712,66.25
16713,60.24
16714,74.01
16715,77.9
16716,45.92
16717,56.02
16718,90.96
16719,61.93
16720,84.49
16721,84.67
16722,72.48
16723,62.16
16724,61.32
16725,66.71
16726,84.53
16727,67.77
16728,60.34
16729,74.52
16730,70.42
16731,65.82
16732,77.6
16733,62.99
16734,74.14
16735,72.86
16736,67.04
16737,98.27
16738,67.14
16739,90.19
16740,66.86
16741,81.3
16742,70.98
16743,73.84
16744,54.99
16745,48.26
16746,67.63
16747,73.61
16748,75.01
16749,0.0
16750,77.43
16751,71.4
16752,59.98
16753,59.73
16754,67.44
16755,70.77
16756,62.72
16757,69.53
16758,61.88
16759,56.72
16760,77.08
16761,64.25
16762,79.44
16763,44.62
16764,76.26
16765,57.31
16766,47.16
16767,66.39
16768,62.12
16769,45.38
16770,60.83
16771,80.81
16772,65.1
16773,76.89
16774,85.17
16775,81.67
16776,94.99
16777,76.21
16778,80.05
16779,92.44
16780,119.64
16781,223.71
16782,505.78
16783,247.22
16784,241.9
16785,449.99
16786,251.07
16787,180.32
16788,146.96
16789,96.61
16790,116.08
16791,129.58
16792,94.73
16793,103.78
16794,100.62
16795,84.32
16796,84.93
16797,83.86
16798,69.79
16799,124.65
16800,108.52
16801,105.26
16802,113.82
16803,119.97
16804,101.32
16805,86.74
16806,99.66
16807,72.3
16808,94.53
16809,82.38
16810,106.22
16811,117.6
16812,89.51
16813,134.9
16814,112.25
16815,94.8
16816,112.58
16817,244.74
16818,257.14
16819,234.38
16820,147.47
16821,256.27
16822,250.6
16823,185.18
16824,170.8
16825,232.08
16826,243.99
16827,191.79
16828,224.71
16829,206.98
16830,195.14
16831,161.7
16832,137.84
16833,186.54
16834,160.39
16835,196.64
16836,444.88
16837,812.33
16838,560.36
16839,531.81
16840,448.8
16841,398.15
16842,374.41
16843,327.35
16844,297.4
16845,275.95
16846,240.1
16847,227.25
16848,253.96
16849,687.22
16850,907.76
16851,995.61
16852,1073.01
16853,1200.99
16854,765.34
16855,604.14
16856,508.83
16857,397.68
16858,371.16
16859,329.63
16860,357.3
16861,424.95
16862,351.74
16863,326.88
16864,329.79
16865,557.11
16866,543.62
16867,447.11
16868,399.15
16869,340.23
16870,342.12
16871,344.05
16872,431.19
16873,402.5
16874,361.38
16875,342.69
16876,299.17
16877,0.0
16878,268.21
16879,239.95
16880,248.11
16881,239.65
16882,209.8
16883,198.62
16884,221.92
16885,215.12
16886,188.69
16887,166.65
16888,211.16
16889,179.22
16890,171.98
16891,179.01
16892,181.21
16893,263.75
16894,235.41
16895,219.7
16896,217.73
16897,211.51
16898,209.97
16899,180.11
16900,192.05
16901,202.01
16902,181.26
16903,168.86
16904,181.76
16905,170.99
16906,194.84
16907,205.16
16908,215.41
16909,203.44
16910,189.71
16911,209.02
16912,200.35
16913,192.42
16914,191.27
16915,181.75
16916,256.06
16917,210.58
16918,209.4
16919,180.65
16920,198.48
16921,175.57
16922,185.93
16923,174.58
16924,156.8
16925,169.19
16926,162.2
16927,151.32
16928,139.68
16929,145.36
16930,144.73
16931,137.76
16932,141.56
16933,133.05
16934,133.03
16935,132.54
16936,124.04
16937,135.7
16938,292.37
16939,607.1
16940,674.65
16941,426.7
16942,311.07
16943,344.73
16944,297.27
16945,262.12
16946,251.56
16947,255.95
16948,215.95
16949,210.04
16950,213.51
16951,207.8
16952,177.2
16953,0.0
16954,171.7
16955,155.09
16956,154.55
16957,153.73
16958,134.88
16959,191.7
16960,140.74
16961,103.51
16962,85.59
16963,96.94
16964,134.3
16965,130.16
16966,106.79
16967,118.09
16968,142.39
16969,103.24
16970,101.93
16971,86.24
16972,80.24
16973,86.86
16974,126.86
16975,59.04
16976,94.38
16977,79.19
16978,95.04
16979,100.2
16980,104.3
16981,86.2
16982,83.03
16983,61.2
16984,54.9
16985,108.83
16986,86.97
16987,96.73
16988,84.11
16989,78.48
16990,75.11
16991,73.12
16992,95.58
16993,99.82
16994,88.89
16995,62.82
16996,78.53
16997,40.19
16998,60.19
16999,76.35
17000,86.64
17001,98.23
17002,55.62
17003,84.96
17004,47.28
17005,62.82
17006,85.8
17007,85.89
17008,59.72
17009,89.22
17010,43.41
17011,41.48
17012,79.33
17013,78.77
17014,74.62
17015,79.26
17016,73.4
17017,46.29
17018,61.58
17019,77.76
17020,86.57
17021,75.41
17022,95.2
17023,97.9
17024,86.93
17025,26.43
17026,74.62
17027,80.13
17028,75.84
17029,66.88
17030,66.31
17031,52.93
17032,47.41
17033,94.1
17034,73.23
17035,109.83
17036,74.97
17037,91.31
17038,44.53
17039,57.5
17040,77.54
17041,85.43
17042,71.69
17043,80.36
17044,84.18
17045,54.35
17046,44.44
17047,59.09
17048,81.18
17049,78.56
17050,78.69
17051,79.73
17052,57.03
17053,58.58
17054,62.47
17055,66.53
17056,68.83
17057,65.26
17058,95.81
17059,94.76
17060,46.85
17061,72.44
17062,64.27
17063,65.92
17064,76.56
17065,85.52
17066,59.59
17067,49.76
17068,88.22
17069,75.74
17070,78.81
17071,76.31
17072,73.72
17073,47.95
17074,41.64
17075,65.24
17076,86.43
17077,81.65
17078,78.84
17079,93.68
17080,60.4
17081,78.27
17082,75.43
17083,72.08
17084,64.25
17085,83.17
17086,84.56
17087,70.13
17088,50.28
17089,60.43
17090,70.54
17091,77.38
17092,74.07
17093,70.65
17094,74.26
17095,56.82
17096,48.42
17097,79.71
17098,73.63
17099,72.81
17100,47.2
17101,62.72
17102,77.08
17103,62.63
17104,121.05
17105,64.08
17106,62.47
17107,76.96
17108,72.04
17109,66.17
17110,65.7
17111,77.4
17112,66.36
17113,74.83
17114,0.0
17115,74.38
17116,61.53
17117,67.11
17118,62.19
17119,77.22
17120,76.44
17121,80.19
17122,80.99
17123,95.11
17124,268.56
17125,355.11
17126,248.82
