$10/1/1995-12/31/2016 Squaw Creek (proportional estimate),
,
JDAY,QIN
16710,0.0
16711,4.41
16712,3.2
16713,2.91
16714,3.57
16715,3.76
16716,2.22
16717,2.7
16718,4.39
16719,2.99
16720,4.08
16721,4.08
16722,3.5
16723,3.0
16724,2.96
16725,3.22
16726,4.08
16727,3.27
16728,2.91
16729,3.6
16730,3.4
16731,3.18
16732,3.74
16733,3.04
16734,3.58
16735,3.52
16736,3.23
16737,4.74
16738,3.24
16739,4.35
16740,3.23
16741,3.92
16742,3.42
16743,3.56
16744,2.65
16745,2.33
16746,3.26
16747,3.55
16748,3.62
16749,0.0
16750,3.74
16751,3.44
16752,2.89
16753,2.88
16754,3.25
16755,3.41
16756,3.03
16757,3.35
16758,2.99
16759,2.74
16760,3.72
16761,3.1
16762,3.83
16763,2.15
16764,3.68
16765,2.76
16766,2.28
16767,3.2
16768,3.0
16769,2.19
16770,2.93
16771,3.9
16772,3.14
16773,3.71
16774,4.11
16775,3.94
16776,4.58
16777,3.68
16778,3.86
16779,4.46
16780,5.77
16781,10.79
16782,24.4
16783,11.93
16784,11.67
16785,21.71
16786,12.11
16787,8.7
16788,7.09
16789,4.66
16790,5.6
16791,6.25
16792,4.57
16793,5.01
16794,4.85
16795,4.07
16796,4.1
16797,4.05
16798,3.37
16799,6.01
16800,5.24
16801,5.08
16802,5.49
16803,5.79
16804,4.89
16805,4.18
16806,4.81
16807,3.49
16808,4.56
16809,3.97
16810,5.12
16811,5.67
16812,4.32
16813,6.51
16814,5.42
16815,4.57
16816,5.43
16817,11.81
16818,12.41
16819,11.31
16820,7.11
16821,12.36
16822,12.09
16823,8.93
16824,8.24
16825,11.2
16826,11.77
16827,9.25
16828,10.84
16829,9.99
16830,9.41
16831,7.8
16832,6.65
16833,9.0
16834,7.74
16835,9.49
16836,21.46
16837,39.19
16838,27.03
16839,25.66
16840,21.65
16841,19.21
16842,18.06
16843,15.79
16844,14.35
16845,13.31
16846,11.58
16847,10.96
16848,12.25
16849,33.15
16850,43.79
16851,48.03
16852,51.77
16853,57.94
16854,36.92
16855,29.15
16856,24.55
16857,19.19
16858,17.91
16859,15.9
16860,17.24
16861,20.5
16862,16.97
16863,15.77
16864,15.91
16865,26.88
16866,26.23
16867,21.57
16868,19.26
16869,16.41
16870,16.51
16871,16.6
16872,20.8
16873,19.42
16874,17.43
16875,16.53
16876,14.43
16877,0.0
16878,12.94
16879,11.58
16880,11.97
16881,11.56
16882,10.12
16883,9.58
16884,10.71
16885,10.38
16886,9.1
16887,8.04
16888,10.19
16889,8.65
16890,8.3
16891,8.64
16892,8.74
16893,12.72
16894,11.36
16895,10.6
16896,10.5
16897,10.2
16898,10.13
16899,8.69
16900,9.27
16901,9.75
16902,8.74
16903,8.15
16904,8.77
16905,8.25
16906,9.4
16907,9.9
16908,10.39
16909,9.81
16910,9.15
16911,10.08
16912,9.67
16913,9.28
16914,9.23
16915,8.77
16916,12.35
16917,10.16
16918,10.1
16919,8.72
16920,9.58
16921,8.47
16922,8.97
16923,8.42
16924,7.56
16925,8.16
16926,7.83
16927,7.3
16928,6.74
16929,7.01
16930,6.98
16931,6.65
16932,6.83
16933,6.42
16934,6.42
16935,6.39
16936,5.98
16937,6.55
16938,14.11
16939,29.29
16940,32.55
16941,20.59
16942,15.01
16943,16.63
16944,14.34
16945,12.65
16946,12.14
16947,12.35
16948,10.42
16949,10.13
16950,10.3
16951,10.02
16952,8.55
16953,0.0
16954,8.28
16955,7.48
16956,7.46
16957,7.42
16958,6.51
16959,9.25
16960,6.79
16961,4.99
16962,4.13
16963,4.68
16964,6.48
16965,6.28
16966,5.15
16967,5.7
16968,6.87
16969,4.98
16970,4.92
16971,4.16
16972,3.87
16973,4.19
16974,6.12
16975,2.85
16976,4.55
16977,3.82
16978,4.59
16979,4.83
16980,5.03
16981,4.16
16982,4.01
16983,2.95
16984,2.65
16985,5.25
16986,4.2
16987,4.67
16988,4.06
16989,3.79
16990,3.62
16991,3.53
16992,4.61
16993,4.82
16994,4.29
16995,3.03
16996,3.79
16997,1.94
16998,2.9
16999,3.68
17000,4.18
17001,4.74
17002,2.68
17003,4.1
17004,2.28
17005,3.03
17006,4.14
17007,4.14
17008,2.88
17009,4.3
17010,2.09
17011,2.0
17012,3.83
17013,3.8
17014,3.6
17015,3.82
17016,3.54
17017,2.23
17018,2.97
17019,3.75
17020,4.18
17021,3.64
17022,4.59
17023,4.72
17024,4.19
17025,1.28
17026,3.6
17027,3.87
17028,3.66
17029,3.23
17030,3.2
17031,2.55
17032,2.29
17033,4.54
17034,3.53
17035,5.3
17036,3.62
17037,4.41
17038,2.15
17039,2.77
17040,3.74
17041,4.12
17042,3.46
17043,3.88
17044,4.06
17045,2.62
17046,2.14
17047,2.85
17048,3.92
17049,3.79
17050,3.8
17051,3.85
17052,2.75
17053,2.83
17054,3.01
17055,3.21
17056,3.32
17057,3.15
17058,4.62
17059,4.57
17060,2.26
17061,3.5
17062,3.1
17063,3.18
17064,3.69
17065,4.13
17066,2.88
17067,2.4
17068,4.26
17069,3.65
17070,3.8
17071,3.68
17072,3.56
17073,2.31
17074,2.01
17075,3.15
17076,4.17
17077,3.94
17078,3.8
17079,4.52
17080,2.91
17081,3.78
17082,3.64
17083,3.48
17084,3.1
17085,4.01
17086,4.08
17087,3.38
17088,2.43
17089,2.92
17090,3.4
17091,3.73
17092,3.57
17093,3.41
17094,3.58
17095,2.74
17096,2.34
17097,3.85
17098,3.55
17099,3.51
17100,2.28
17101,3.03
17102,3.72
17103,3.02
17104,5.84
17105,3.09
17106,3.01
17107,3.71
17108,3.48
17109,3.19
17110,3.17
17111,3.73
17112,3.2
17113,3.61
17114,0.0
17115,3.59
17116,2.97
17117,3.24
17118,3.0
17119,3.73
17120,3.69
17121,3.87
17122,3.91
17123,4.59
17124,12.96
17125,17.13
17126,12.0
