$10/1/1995-12/31/2016 McCloud River (proportional estimate),
,
JDAY,QIN
16710,0.0
16711,20.51
16712,14.87
16713,13.52
16714,16.61
16715,17.48
16716,10.31
16717,12.57
16718,20.42
16719,13.9
16720,18.96
16721,19.0
16722,16.27
16723,13.95
16724,13.76
16725,14.97
16726,18.97
16727,15.21
16728,13.54
16729,16.73
16730,15.81
16731,14.77
16732,17.42
16733,14.14
16734,16.64
16735,16.35
16736,15.05
16737,22.06
16738,15.07
16739,20.24
16740,15.01
16741,18.25
16742,15.93
16743,16.57
16744,12.34
16745,10.83
16746,15.18
16747,16.52
16748,16.83
16749,0.0
16750,17.38
16751,16.02
16752,13.46
16753,13.41
16754,15.14
16755,15.88
16756,14.08
16757,15.61
16758,13.89
16759,12.73
16760,17.3
16761,14.42
16762,17.83
16763,10.01
16764,17.12
16765,12.86
16766,10.59
16767,14.9
16768,13.94
16769,10.19
16770,13.65
16771,18.14
16772,14.61
16773,17.26
16774,19.12
16775,18.33
16776,21.32
16777,17.1
16778,17.97
16779,20.75
16780,26.85
16781,50.21
16782,113.52
16783,55.49
16784,54.29
16785,101.0
16786,56.35
16787,40.47
16788,32.98
16789,21.68
16790,26.05
16791,29.08
16792,21.26
16793,23.29
16794,22.58
16795,18.92
16796,19.06
16797,18.82
16798,15.66
16799,27.98
16800,24.36
16801,23.62
16802,25.55
16803,26.93
16804,22.74
16805,19.47
16806,22.37
16807,16.23
16808,21.22
16809,18.49
16810,23.84
16811,26.39
16812,20.09
16813,30.28
16814,25.19
16815,21.28
16816,25.27
16817,54.93
16818,57.71
16819,52.61
16820,33.1
16821,57.52
16822,56.25
16823,41.56
16824,38.33
16825,52.09
16826,54.76
16827,43.05
16828,50.43
16829,46.45
16830,43.8
16831,36.29
16832,30.94
16833,41.87
16834,36.0
16835,44.13
16836,99.85
16837,182.32
16838,125.77
16839,119.36
16840,100.73
16841,89.36
16842,84.03
16843,73.47
16844,66.75
16845,61.94
16846,53.89
16847,51.01
16848,57.0
16849,154.24
16850,203.74
16851,223.46
16852,240.83
16853,269.55
16854,171.78
16855,135.59
16856,114.2
16857,89.26
16858,83.31
16859,73.98
16860,80.19
16861,95.38
16862,78.95
16863,73.37
16864,74.02
16865,125.04
16866,122.01
16867,100.35
16868,89.59
16869,76.36
16870,76.79
16871,77.22
16872,96.78
16873,90.34
16874,81.11
16875,76.91
16876,67.15
16877,0.0
16878,60.2
16879,53.85
16880,55.69
16881,53.79
16882,47.09
16883,44.58
16884,49.81
16885,48.28
16886,42.35
16887,37.4
16888,47.39
16889,40.22
16890,38.6
16891,40.18
16892,40.67
16893,59.2
16894,52.84
16895,49.31
16896,48.87
16897,47.47
16898,47.13
16899,40.42
16900,43.1
16901,45.34
16902,40.68
16903,37.9
16904,40.8
16905,38.38
16906,43.73
16907,46.05
16908,48.35
16909,45.66
16910,42.58
16911,46.91
16912,44.97
16913,43.19
16914,42.93
16915,40.79
16916,57.47
16917,47.26
16918,47.0
16919,40.55
16920,44.55
16921,39.41
16922,41.73
16923,39.18
16924,35.19
16925,37.97
16926,36.4
16927,33.96
16928,31.35
16929,32.62
16930,32.48
16931,30.92
16932,31.77
16933,29.86
16934,29.86
16935,29.75
16936,27.84
16937,30.46
16938,65.62
16939,136.26
16940,151.42
16941,95.77
16942,69.82
16943,77.37
16944,66.72
16945,58.83
16946,56.46
16947,57.45
16948,48.47
16949,47.14
16950,47.92
16951,46.64
16952,39.77
16953,0.0
16954,38.54
16955,34.81
16956,34.69
16957,34.5
16958,30.27
16959,43.03
16960,31.59
16961,23.23
16962,19.21
16963,21.76
16964,30.14
16965,29.21
16966,23.97
16967,26.5
16968,31.96
16969,23.17
16970,22.88
16971,19.35
16972,18.01
16973,19.5
16974,28.47
16975,13.25
16976,21.18
16977,17.77
16978,21.33
16979,22.49
16980,23.41
16981,19.35
16982,18.63
16983,13.74
16984,12.32
16985,24.43
16986,19.52
16987,21.71
16988,18.88
16989,17.61
16990,16.86
16991,16.41
16992,21.45
16993,22.4
16994,19.95
16995,14.1
16996,17.63
16997,9.02
16998,13.51
16999,17.14
17000,19.44
17001,22.05
17002,12.48
17003,19.07
17004,10.61
17005,14.1
17006,19.26
17007,19.28
17008,13.4
17009,20.02
17010,9.74
17011,9.31
17012,17.81
17013,17.68
17014,16.75
17015,17.79
17016,16.47
17017,10.39
17018,13.82
17019,17.45
17020,19.43
17021,16.92
17022,21.37
17023,21.97
17024,19.51
17025,5.93
17026,16.75
17027,17.99
17028,17.02
17029,15.01
17030,14.88
17031,11.88
17032,10.64
17033,21.12
17034,16.44
17035,24.65
17036,16.83
17037,20.49
17038,9.99
17039,12.91
17040,17.4
17041,19.17
17042,16.09
17043,18.04
17044,18.89
17045,12.2
17046,9.97
17047,13.26
17048,18.22
17049,17.63
17050,17.66
17051,17.9
17052,12.8
17053,13.15
17054,14.02
17055,14.93
17056,15.45
17057,14.65
17058,21.5
17059,21.27
17060,10.51
17061,16.26
17062,14.42
17063,14.8
17064,17.18
17065,19.19
17066,13.38
17067,11.17
17068,19.8
17069,17.0
17070,17.69
17071,17.13
17072,16.55
17073,10.76
17074,9.34
17075,14.64
17076,19.4
17077,18.33
17078,17.7
17079,21.03
17080,13.56
17081,17.57
17082,16.93
17083,16.18
17084,14.42
17085,18.67
17086,18.98
17087,15.74
17088,11.29
17089,13.56
17090,15.83
17091,17.37
17092,16.62
17093,15.86
17094,16.67
17095,12.75
17096,10.87
17097,17.89
17098,16.53
17099,16.34
17100,10.59
17101,14.08
17102,17.3
17103,14.06
17104,27.17
17105,14.38
17106,14.02
17107,17.27
17108,16.17
17109,14.85
17110,14.75
17111,17.37
17112,14.89
17113,16.8
17114,0.0
17115,16.69
17116,13.81
17117,15.06
17118,13.96
17119,17.33
17120,17.16
17121,18.0
17122,18.18
17123,21.35
17124,60.28
17125,79.7
17126,55.85
