$10/1/1995-12/31/2016 Sacramento River (proportional estimate),
,
JDAY,QIN
16710,0.0
16711,32.11
16712,23.28
16713,21.17
16714,26.01
16715,27.38
16716,16.14
16717,19.69
16718,31.96
16719,21.76
16720,29.69
16721,29.75
16722,25.47
16723,21.84
16724,21.55
16725,23.44
16726,29.7
16727,23.82
16728,21.21
16729,26.19
16730,24.75
16731,23.13
16732,27.27
16733,22.14
16734,26.05
16735,25.6
16736,23.56
16737,34.53
16738,23.6
16739,31.7
16740,23.5
16741,28.57
16742,24.94
16743,25.95
16744,19.32
16745,16.96
16746,23.77
16747,25.87
16748,26.36
16749,0.0
16750,27.21
16751,25.09
16752,21.08
16753,20.99
16754,23.7
16755,24.87
16756,22.04
16757,24.43
16758,21.74
16759,19.93
16760,27.09
16761,22.58
16762,27.91
16763,15.68
16764,26.8
16765,20.14
16766,16.57
16767,23.33
16768,21.83
16769,15.95
16770,21.38
16771,28.4
16772,22.88
16773,27.02
16774,29.93
16775,28.7
16776,33.38
16777,26.78
16778,28.13
16779,32.49
16780,42.04
16781,78.62
16782,177.74
16783,86.88
16784,85.01
16785,158.13
16786,88.23
16787,63.37
16788,51.64
16789,33.95
16790,40.79
16791,45.54
16792,33.29
16793,36.47
16794,35.36
16795,29.63
16796,29.84
16797,29.47
16798,24.53
16799,43.8
16800,38.13
16801,36.99
16802,40.0
16803,42.16
16804,35.6
16805,30.48
16806,35.02
16807,25.41
16808,33.22
16809,28.95
16810,37.33
16811,41.33
16812,31.46
16813,47.4
16814,39.45
16815,33.31
16816,39.56
16817,86.01
16818,90.36
16819,82.37
16820,51.82
16821,90.06
16822,88.06
16823,65.08
16824,60.02
16825,81.56
16826,85.74
16827,67.4
16828,78.97
16829,72.73
16830,68.57
16831,56.82
16832,48.44
16833,65.55
16834,56.36
16835,69.1
16836,156.34
16837,285.46
16838,196.92
16839,186.89
16840,157.72
16841,139.92
16842,131.57
16843,115.04
16844,104.51
16845,96.97
16846,84.38
16847,79.86
16848,89.25
16849,241.5
16850,319.0
16851,349.87
16852,377.07
16853,422.04
16854,268.95
16855,212.3
16856,178.81
16857,139.75
16858,130.43
16859,115.84
16860,125.56
16861,149.33
16862,123.61
16863,114.87
16864,115.89
16865,195.78
16866,191.03
16867,157.12
16868,140.27
16869,119.56
16870,120.22
16871,120.9
16872,151.53
16873,141.44
16874,127.0
16875,120.43
16876,105.13
16877,0.0
16878,94.25
16879,84.32
16880,87.19
16881,84.22
16882,73.73
16883,69.8
16884,77.98
16885,75.6
16886,66.31
16887,58.56
16888,74.2
16889,62.98
16890,60.44
16891,62.91
16892,63.68
16893,92.68
16894,82.73
16895,77.21
16896,76.51
16897,74.33
16898,73.79
16899,63.29
16900,67.49
16901,70.99
16902,63.7
16903,59.34
16904,63.87
16905,60.09
16906,68.47
16907,72.1
16908,75.7
16909,71.49
16910,66.67
16911,73.45
16912,70.41
16913,67.62
16914,67.21
16915,63.87
16916,89.98
16917,74.0
16918,73.59
16919,63.48
16920,69.75
16921,61.7
16922,65.34
16923,61.35
16924,55.1
16925,59.46
16926,57.0
16927,53.18
16928,49.08
16929,51.08
16930,50.86
16931,48.41
16932,49.75
16933,46.76
16934,46.75
16935,46.58
16936,43.59
16937,47.69
16938,102.74
16939,213.34
16940,237.08
16941,149.95
16942,109.31
16943,121.14
16944,104.47
16945,92.11
16946,88.4
16947,89.94
16948,75.89
16949,73.81
16950,75.03
16951,73.02
16952,62.27
16953,0.0
16954,60.34
16955,54.5
16956,54.31
16957,54.02
16958,47.4
16959,67.37
16960,49.46
16961,36.38
16962,30.08
16963,34.07
16964,47.2
16965,45.74
16966,37.53
16967,41.5
16968,50.04
16969,36.28
16970,35.82
16971,30.3
16972,28.2
16973,30.52
16974,44.58
16975,20.75
16976,33.17
16977,27.83
16978,33.4
16979,35.21
16980,36.65
16981,30.29
16982,29.18
16983,21.51
16984,19.29
16985,38.24
16986,30.56
16987,33.99
16988,29.56
16989,27.58
16990,26.4
16991,25.7
16992,33.59
16993,35.08
16994,31.24
16995,22.08
16996,27.6
16997,14.12
16998,21.15
16999,26.83
17000,30.45
17001,34.52
17002,19.55
17003,29.86
17004,16.62
17005,22.08
17006,30.15
17007,30.18
17008,20.99
17009,31.35
17010,15.26
17011,14.58
17012,27.88
17013,27.68
17014,26.22
17015,27.85
17016,25.79
17017,16.27
17018,21.64
17019,27.33
17020,30.42
17021,26.5
17022,33.45
17023,34.4
17024,30.55
17025,9.29
17026,26.22
17027,28.16
17028,26.65
17029,23.5
17030,23.3
17031,18.6
17032,16.66
17033,33.07
17034,25.73
17035,38.59
17036,26.35
17037,32.09
17038,15.65
17039,20.21
17040,27.25
17041,30.02
17042,25.19
17043,28.24
17044,29.58
17045,19.1
17046,15.62
17047,20.76
17048,28.53
17049,27.61
17050,27.65
17051,28.02
17052,20.04
17053,20.59
17054,21.95
17055,23.38
17056,24.19
17057,22.93
17058,33.67
17059,33.3
17060,16.46
17061,25.46
17062,22.58
17063,23.17
17064,26.9
17065,30.05
17066,20.94
17067,17.49
17068,31.0
17069,26.62
17070,27.69
17071,26.82
17072,25.91
17073,16.85
17074,14.63
17075,22.93
17076,30.37
17077,28.69
17078,27.71
17079,32.92
17080,21.22
17081,27.5
17082,26.51
17083,25.33
17084,22.58
17085,29.23
17086,29.72
17087,24.64
17088,17.67
17089,21.24
17090,24.79
17091,27.19
17092,26.03
17093,24.83
17094,26.1
17095,19.97
17096,17.01
17097,28.01
17098,25.87
17099,25.59
17100,16.59
17101,22.04
17102,27.09
17103,22.01
17104,42.54
17105,22.52
17106,21.95
17107,27.04
17108,25.32
17109,23.25
17110,23.09
17111,27.2
17112,23.32
17113,26.3
17114,0.0
17115,26.14
17116,21.62
17117,23.58
17118,21.86
17119,27.14
17120,26.86
17121,28.18
17122,28.46
17123,33.42
17124,94.37
17125,124.79
17126,87.44
