$1995 Shasta Res Branch 1 (pit usgs) inflow w usbr comp infl - daily frac,
,
JDAY,QIN
1,88.71
2,49.88
3,110.37
4,135.79
5,112.7
6,229.76
7,281.22
8,408.13
9,459.97
10,591.91
11,676.98
12,900.99
13,1166.62
14,999.12
15,755.17
16,623.25
17,504.41
18,405.47
19,337.18
20,302.46
21,265.79
22,348.38
23,409.91
24,323.26
25,311.26
26,337.57
27,333.98
28,336.41
29,339.22
30,372.75
31,525.42
32,568.76
33,468.09
34,448.53
35,377.7
36,357.75
37,330.07
38,305
39,295.8
40,286.4
41,284.41
42,272.87
43,252.85
44,277.53
45,260.27
46,251.46
47,216.25
48,227.49
49,220.32
50,226.3
51,169.41
52,194.11
53,186.14
54,210.31
55,210.64
56,204.7
57,171.46
58,173.18
59,190.71
60,205.15
61,341.14
62,358.85
63,334.66
64,359.41
65,315.75
66,299.41
67,411.68
68,951.56
69,906.49
70,978.25
71,973.33
72,1030.3
73,1212
74,970.32
75,720.05
76,565.65
77,571.01
78,506.51
79,692.2
80,700.23
81,799.24
82,714.47
83,597.47
84,536.2
85,478.52
86,446.59
87,410.26
88,399.94
89,382.55
90,368.61
91,362
92,355.31
93,324.39
94,313.44
95,326.78
96,552.62
97,575.75
98,560.75
99,505.6
100,466.75
101,401.86
102,384.08
103,380.8
104,367.39
105,358.51
106,342.34
107,326.92
108,327.3
109,318.65
110,324.1
111,303.28
112,300.75
113,281.6
114,270.19
115,274.55
116,265.15
117,290.85
118,300.32
119,499.39
120,532.61
121,792.01
122,728.31
123,755.52
124,697.83
125,620.91
126,581.04
127,518.7
128,465.35
129,443.28
130,435.59
131,413
132,399.63
133,385.67
134,360.1
135,356.29
136,337.16
137,318.19
138,291.43
139,269.35
140,281.51
141,244.53
142,253.27
143,261.19
144,230.07
145,225.32
146,227.6
147,201.37
148,198.09
149,217.25
150,179.91
151,199.12
152,175.81
153,186.42
154,202.04
155,140.01
156,154.98
157,175.24
158,170.38
159,193.08
160,167.2
161,150.49
162,132.32
163,164.95
164,155.19
165,242.93
166,176.42
167,194.17
168,187.56
169,157.97
170,182.89
171,180.61
172,187.63
173,171.15
174,192.59
175,163.98
176,176.14
177,157.61
178,174.37
179,153.22
180,167.42
181,185.85
182,73.74
183,46.55
184,126.68
185,135.29
186,131.7
187,123.46
188,162.53
189,95.81
190,29.18
191,114.31
192,130.84
193,110.72
194,123.99
195,113.73
196,120.07
197,82.49
198,117.49
199,138.93
200,131.69
201,154.52
202,146.13
203,138.11
204,137.18
205,65.04
206,81.79
207,102.68
208,91.91
209,74.22
210,150.68
211,157.68
212,121.77
213,76.15
214,52.08
215,72.89
216,111.09
217,111.97
218,85.86
219,74.66
220,54.12
221,92.8
222,72.46
223,108.12
224,59.24
225,78.74
226,83.7
227,94.4
228,95.39
229,108.05
230,119.36
231,76.04
232,75.14
233,111.43
234,137.98
235,30.5
236,98.88
237,116.65
238,54.09
239,49.57
240,99.92
241,116.54
242,121.95
243,76.74
244,97.23
245,57.97
246,65.68
247,71.12
248,126.73
249,106.9
250,78.58
251,111.11
252,41.52
253,52.9
254,109.45
255,63.57
256,67.35
257,96.6
258,110.83
259,54.97
260,69.82
261,90.46
262,82.39
263,110.7
264,112.98
265,98.15
266,71.96
267,27.96
268,82.86
269,133.09
270,112.45
271,86.73
272,93.46
273,79.6
274,64.06
275,125.51
276,83.95
277,75.85
278,100.09
279,105.66
280,53.66
281,69.45
282,128.1
283,82.07
284,115.7
285,118.36
286,96.56
287,77.11
288,79.18
289,87.31
290,116.87
291,90.87
292,76.82
293,100.1
294,94.13
295,86.64
296,105.93
297,83.38
298,100.94
299,100.42
300,90.63
301,140.44
302,87.51
303,125.3
304,89.22
305,113.03
306,96.83
307,102.02
308,70.26
309,60.11
310,92.33
311,102.38
312,102.79
313,88.17
314,107.77
315,97.03
316,78.64
317,78.46
318,90.74
319,95.92
320,85.64
321,95.74
322,82.37
323,73.75
324,106.89
325,89.03
326,110.05
327,56.28
328,107.31
329,75.86
330,60.98
331,93.06
332,82.3
333,59.42
334,84.87
335,111.79
336,87.85
337,102.29
338,114.62
339,107.59
340,132.97
341,105.12
342,110.78
343,131.89
344,168.53
345,244.5
346,304.8
347,205.83
348,263.53
349,362.22
350,286.91
351,215.25
352,177.27
353,100.86
354,148.9
355,175.27
356,121.28
357,139.61
358,133.39
359,109.88
360,113.36
361,106.03
362,88.15
363,167.47
364,138.75
365,132.61
366,151.99
