$1995 Shasta Res Branch 2 (sqw usgs) inflow w usbr comp infl - daily frac,
,
JDAY,QIN
1,0.38
2,0.46
3,0.43
4,0.34
5,0.74
6,0.6
7,11.49
8,99.97
9,260.02
10,156.66
11,151.77
12,180.07
13,152.69
14,208.74
15,78.17
16,38.9
17,19.6
18,12.62
19,8.24
20,5.2
21,3.3
22,4.36
23,20.37
24,26.25
25,22.52
26,20.83
27,25.18
28,24.46
29,22.65
30,32.89
31,58.78
32,65.98
33,42.51
34,26.68
35,18.75
36,13.22
37,9.54
38,7.45
39,5.67
40,3.71
41,2.22
42,1.08
43,0.54
44,0.52
45,0.52
46,0.49
47,0.51
48,0.49
49,0.5
50,0.48
51,0.49
52,0.48
53,0.48
54,0.47
55,0.48
56,0.46
57,0.47
58,0.46
59,0.48
60,0.5
61,0.67
62,22.42
63,11.39
64,5.54
65,2.44
66,0.54
67,4.65
68,158.82
69,172.93
70,203.92
71,122.2
72,101.64
73,192.76
74,160.12
75,68.64
76,37.81
77,35.69
78,28.22
79,52.16
80,53.06
81,43.89
82,34.17
83,23.65
84,17.72
85,11.39
86,9.38
87,8.2
88,7.54
89,6.84
90,6.24
91,6.13
92,5.33
93,4.15
94,3.19
95,3.25
96,18.91
97,148.7
98,90.42
99,43.42
100,27.67
101,22.17
102,16.42
103,16.87
104,15.08
105,10.41
106,6.75
107,4.35
108,5.22
109,1.62
110,1.31
111,0.48
112,0.49
113,0.48
114,0.47
115,0.48
116,0.46
117,0.5
118,0.52
119,10.18
120,12.99
121,22.65
122,24.59
123,10.2
124,10.74
125,7.37
126,2.73
127,1.5
128,0.72
129,0.49
130,0.47
131,0.46
132,0.48
133,0.47
134,0.45
135,0.48
136,0.44
137,0.46
138,0.46
139,0.46
140,0.45
141,0.47
142,0.48
143,0.46
144,0.47
145,0.45
146,0.46
147,0.49
148,0.47
149,0.48
150,0.46
151,0.45
152,0.44
153,0.45
154,0.45
155,0.47
156,0.45
157,0.43
158,0.47
159,0.44
160,0.43
161,0.42
162,0.49
163,0.43
164,0.48
165,0.74
166,0.54
167,0.43
168,0.47
169,0.51
170,0.44
171,0.46
172,0.45
173,0.46
174,0.46
175,0.45
176,0.45
177,0.49
178,0.43
179,0.47
180,0.48
181,0.45
182,0.54
183,0.45
184,0.43
185,0.45
186,0.45
187,0.44
188,0.46
189,0.52
190,0.57
191,0.45
192,0.46
193,0.4
194,0.42
195,0.4
196,0.44
197,0.51
198,0.43
199,0.54
200,0.45
201,0.49
202,0.48
203,0.45
204,0.48
205,0.44
206,0.39
207,0.43
208,0.44
209,0.4
210,0.41
211,0.39
212,0.44
213,0.43
214,0.47
215,0.41
216,0.45
217,0.41
218,0.46
219,0.4
220,0.32
221,0.45
222,0.52
223,0.5
224,0.52
225,0.42
226,0.47
227,0.41
228,0.41
229,0.47
230,0.48
231,0.44
232,0.5
233,0.4
234,0.77
235,0.14
236,0.44
237,0.44
238,0.49
239,0.42
240,0.42
241,0.46
242,0.45
243,0.39
244,0.42
245,0.41
246,0.42
247,0.41
248,0.44
249,0.45
250,0.39
251,0.43
252,0.47
253,0.47
254,0.52
255,0.24
256,0.38
257,0.39
258,0.45
259,0.43
260,0.43
261,0.48
262,0.39
263,0.41
264,0.4
265,0.4
266,0.54
267,0.45
268,0.46
269,0.45
270,0.48
271,0.44
272,0.41
273,0.45
274,0.43
275,0.44
276,0.46
277,0.4
278,0.35
279,0.44
280,0.39
281,0.47
282,0.44
283,0.41
284,0.45
285,0.42
286,0.39
287,0.46
288,0.43
289,0.47
290,0.45
291,0.42
292,0.4
293,0.44
294,0.42
295,0.41
296,0.42
297,0.42
298,0.43
299,0.41
300,0.43
301,0.43
302,0.49
303,0.44
304,0.43
305,0.46
306,0.45
307,0.39
308,0.41
309,0.42
310,0.39
311,0.41
312,0.45
313,0.45
314,0.43
315,0.44
316,0.46
317,0.44
318,0.44
319,0.45
320,0.42
321,0.43
322,0.44
323,0.43
324,0.43
325,0.37
326,0.43
327,0.38
328,0.4
329,0.42
330,0.38
331,0.37
332,0.45
333,0.34
334,0.36
335,0.42
336,0.39
337,0.52
338,0.47
339,0.5
340,0.45
341,0.44
342,0.46
343,0.46
344,0.55
345,0.87
346,31.26
347,8.16
348,1.04
349,29.82
350,4.16
351,0.5
352,0.49
353,0.51
354,0.46
355,0.47
356,0.47
357,0.44
358,0.47
359,0.43
360,0.43
361,0.52
362,0.45
363,0.53
364,0.48
365,0.5
366,0.46
