$1995 Shasta Res Branch 3 (mccloud usgs) inflow w usbr comp infl - daily frac,
,
JDAY,QIN
1,7.38
2,8.48
3,7.94
4,7.3
5,15.99
6,15.32
7,86.26
8,352.78
9,817.94
10,506.75
11,496.14
12,578.25
13,496.81
14,654.98
15,267.9
16,151.06
17,93.58
18,72.5
19,59.2
20,49.9
21,45.95
22,59.12
23,111.79
24,125.3
25,109.32
26,103.18
27,119.91
28,118.44
29,108.36
30,141.57
31,219
32,236.38
33,164.02
34,115.34
35,91.93
36,74.3
37,62.35
38,57.53
39,52.12
40,45.43
41,40.87
42,37.32
43,37.86
44,36.31
45,32.52
46,28.84
47,28.27
48,25.85
49,25.08
50,23.47
51,23.08
52,22.31
53,21.89
54,21.12
55,20.94
56,19.92
57,19.82
58,18.72
59,19.07
60,20.48
61,35.8
62,110.78
63,72.64
64,53.19
65,43.06
66,37.3
67,63.08
68,521.33
69,552.84
70,641.98
71,399.9
72,341.69
73,612.21
74,510.69
75,237.85
76,143.09
77,140.53
78,116.47
79,192.11
80,194.59
81,171.73
82,140.58
83,107.69
84,89.25
85,70.52
86,64.31
87,60.48
88,58.24
89,56.15
90,54.41
91,53.44
92,50.42
93,46.63
94,43.27
95,45.29
96,97.52
97,479.15
98,305.09
99,164.32
100,117.21
101,101.34
102,82.44
103,83.78
104,77.31
105,64.47
106,53.66
107,47.04
108,50.09
109,38.51
110,38.21
111,32.67
112,31.14
113,28.95
114,27.68
115,26.91
116,25.11
117,28.45
118,29.09
119,68.86
120,74.29
121,105.6
122,107.87
123,65
124,65.8
125,55.78
126,41.69
127,37.84
128,35.47
129,33.25
130,29.65
131,27.71
132,27.4
133,25.13
134,21.85
135,22.3
136,20.94
137,20.93
138,20.16
139,19.86
140,18.96
141,19.44
142,19.34
143,18.3
144,18.42
145,17.23
146,17.29
147,18.22
148,17.36
149,17.18
150,16.47
151,9.59
152,15.31
153,15.26
154,15.55
155,15.87
156,15.13
157,14.05
158,15.37
159,14.33
160,13.8
161,13.26
162,15.33
163,13.4
164,14.7
165,29.26
166,36.07
167,18.91
168,18.69
169,19.54
170,16.1
171,15.96
172,15.14
173,15.36
174,14.79
175,14.48
176,14.05
177,15.37
178,13.54
179,14.63
180,14.55
181,13.74
182,16.39
183,13.75
184,12.84
185,13.29
186,13.26
187,12.7
188,13.31
189,14.82
190,16.25
191,12.83
192,13.05
193,11.23
194,11.65
195,10.97
196,11.98
197,13.72
198,11.66
199,14.61
200,12.33
201,13.08
202,12.75
203,11.87
204,12.45
205,11.27
206,10.15
207,10.95
208,10.99
209,10.17
210,10.2
211,9.63
212,10.88
213,10.55
214,11.32
215,9.95
216,10.81
217,9.88
218,10.99
219,9.61
220,7.59
221,10.63
222,12.15
223,11.54
224,12.06
225,9.61
226,10.8
227,9.25
228,9.26
229,10.52
230,10.72
231,9.85
232,11.05
233,8.71
234,16.81
235,3.05
236,9.68
237,9.51
238,10.49
239,8.89
240,8.91
241,9.87
242,9.61
243,8.22
244,9.07
245,8.87
246,9.12
247,8.87
248,9.42
249,9.75
250,8.43
251,9.22
252,10.1
253,10.05
254,11.05
255,5.03
256,8.01
257,8.09
258,9.38
259,8.93
260,8.96
261,9.87
262,8.13
263,8.4
264,8.19
265,8.16
266,10.92
267,9.13
268,9.32
269,9.17
270,9.84
271,9.21
272,8.52
273,9.18
274,8.76
275,8.92
276,9.38
277,8.03
278,7.11
279,9.03
280,7.95
281,9.5
282,9.01
283,8.43
284,9.3
285,8.77
286,8.14
287,9.57
288,8.8
289,9.64
290,9.28
291,8.61
292,8.16
293,8.95
294,8.49
295,8.39
296,8.48
297,8.48
298,8.71
299,8.41
300,8.55
301,8.56
302,9.83
303,8.82
304,8.66
305,9.26
306,8.94
307,7.89
308,8.3
309,8.47
310,7.87
311,8.17
312,8.94
313,9.15
314,8.67
315,8.68
316,9.13
317,8.63
318,8.66
319,8.96
320,8.51
321,8.68
322,8.9
323,8.67
324,8.67
325,7.49
326,8.76
327,7.53
328,8.05
329,8.57
330,7.81
331,7.41
332,9.04
333,6.8
334,7.33
335,9.7
336,8.26
337,11.2
338,11.49
339,12.57
340,10.39
341,9.46
342,9.56
343,9.62
344,12.58
345,40.52
346,145.41
347,62.38
348,44.53
349,133.4
350,47.7
351,28.08
352,21.45
353,18.92
354,15.32
355,14.25
356,13.48
357,11.87
358,12.25
359,10.87
360,10.63
361,12.94
362,10.89
363,13.98
364,13.52
365,13.36
366,11.62
