$1995 Shasta Res Branch 4 (sacto usgs) inflow w usbr comp infl - daily frac,
,
JDAY,QIN
1,6.31
2,7.25
3,6.91
4,9.5
5,20.67
6,21.85
7,197.52
8,721.22
9,1578.13
10,992.2
11,612.06
12,667.9
13,714.16
14,717.89
15,302.07
16,186.27
17,132.54
18,102.74
19,85.06
20,71.82
21,67.15
22,104.24
23,242.73
24,305.56
25,267.45
26,203.11
27,192.75
28,179.24
29,183.16
30,318.63
31,490.09
32,532.45
33,344.89
34,224.62
35,176.38
36,141.38
37,118.69
38,109.52
39,100.79
40,86.49
41,77.72
42,71.97
43,72.85
44,68.07
45,62.15
46,55.59
47,54.91
48,50.84
49,49.29
50,41
51,41.13
52,45.46
53,46.94
54,48.8
55,48.85
56,49.56
57,49.93
58,46.65
59,47.91
60,50.37
61,86.62
62,128.16
63,86.71
64,71.52
65,59.16
66,51.94
67,110.26
68,825.02
69,959.34
70,676.37
71,356.13
72,406.48
73,831.44
74,510.69
75,270.96
76,180.7
77,249.26
78,203.25
79,310.93
80,249.14
81,239.36
82,184.22
83,143.83
84,120.56
85,108.3
86,99.68
87,93.37
88,89.11
89,84.58
90,75.13
91,72.05
92,72.42
93,68.1
94,70.02
95,76.64
96,133.69
97,425.05
98,273.73
99,172.05
100,129.31
101,111.12
102,122.84
103,216.23
104,144.4
105,115.78
106,97.76
107,87.74
108,80.89
109,72.09
110,73.4
111,63.09
112,59.89
113,58.67
114,60.99
115,65.61
116,66.9
117,83.15
118,82.57
119,124.09
120,102.67
121,213.47
122,169.37
123,129.32
124,110.66
125,99.28
126,86.66
127,80.25
128,78.75
129,79.2
130,69.88
131,64.11
132,63.3
133,59.1
134,53.26
135,57.58
136,56.79
137,64.25
138,68
139,71.62
140,73.67
141,79.94
142,80.2
143,78.17
144,76.69
145,68.85
146,69.04
147,73.2
148,71.37
149,71.15
150,68.44
151,66.27
152,62.83
153,61.74
154,63.82
155,61.61
156,54.49
157,43.88
158,43.3
159,37.37
160,34.42
161,33.35
162,39.3
163,35.6
164,38.64
165,82.12
166,94.28
167,49.39
168,46.03
169,46.98
170,37.23
171,35.39
172,31.52
173,32.07
174,31.84
175,31.78
176,31.19
177,33.87
178,29.16
179,29.82
180,29.39
181,24.93
182,28.49
183,24.57
184,21.67
185,21.42
186,20.6
187,19.42
188,19.78
189,21.71
190,23.41
191,18.72
192,18.34
193,15.35
194,16.27
195,14.6
196,15.44
197,17.24
198,14.1
199,17.36
200,14.46
201,15.13
202,14.58
203,13.57
204,13.94
205,12.52
206,10.91
207,11.7
208,11.66
209,10.49
210,10.44
211,9.66
212,10.82
213,10.43
214,11.07
215,9.65
216,10.33
217,9.34
218,10.32
219,9.02
220,7.19
221,9.94
222,11.39
223,10.95
224,11.36
225,9.02
226,10.14
227,8.68
228,8.66
229,9.81
230,10.02
231,9.17
232,10.29
233,8.07
234,15.48
235,2.8
236,8.85
237,8.81
238,9.74
239,8.22
240,8.24
241,9.13
242,8.83
243,7.57
244,8.14
245,7.89
246,8.1
247,7.85
248,8.31
249,8.6
250,7.39
251,8.05
252,8.81
253,8.77
254,9.66
255,4.38
256,7.01
257,7.04
258,8.18
259,7.79
260,7.87
261,8.6
262,7.03
263,7.28
264,7.08
265,7.09
266,9.45
267,7.96
268,8.07
269,7.98
270,8.59
271,7.99
272,7.44
273,7.93
274,7.61
275,7.69
276,8
277,6.77
278,6.06
279,7.7
280,6.77
281,8.1
282,7.66
283,7.16
284,7.88
285,7.45
286,6.81
287,7.99
288,7.32
289,8.01
290,7.78
291,7.25
292,6.8
293,7.46
294,7.07
295,6.99
296,7.15
297,7.14
298,7.42
299,7.16
300,7.33
301,7.28
302,8.33
303,7.47
304,7.4
305,7.94
306,7.72
307,6.73
308,7.05
309,7.25
310,6.74
311,7.05
312,7.72
313,7.88
314,7.52
315,7.9
316,8.02
317,7.55
318,7.58
319,7.69
320,7.29
321,7.5
322,7.83
323,7.55
324,7.48
325,6.5
326,7.66
327,6.55
328,6.95
329,7.28
330,6.85
331,6.4
332,7.78
333,5.81
334,6.22
335,9.33
336,7.72
337,10.09
338,11.74
339,11.98
340,10.48
341,8.75
342,8.25
343,8.15
344,12.66
345,77.45
346,339.99
347,125.14
348,83.79
349,205.4
350,68.79
351,48.24
352,39.47
353,34.64
354,22.66
355,19.46
356,18.21
357,15.82
358,15.92
359,14.17
360,13.55
361,16.32
362,13.86
363,19.27
364,21.5
365,24.47
366,19.99
