$2/1/1990-8/30/2024 McCloud River temp-C (DLT temp),
,
JDAY,TIN
14642,3.8
14643,3.89
14644,3.98
14645,4.07
14646,4.16
14647,4.25
14648,4.34
14649,4.43
14650,4.53
14651,4.62
14652,4.71
14653,4.8
14654,4.89
14655,4.99
14656,5.08
14657,5.17
14658,5.26
14659,5.35
14660,5.44
14661,5.54
14662,5.63
14663,5.72
14664,5.81
14665,5.9
14666,5.99
14667,6.08
14668,6.16
14669,6.25
14670,6.34
14671,6.44
14672,6.53
14673,6.63
14674,6.74
14675,6.85
14676,6.97
14677,7.09
14678,7.21
14679,7.33
14680,7.46
14681,7.59
14682,7.72
14683,7.85
14684,7.98
14685,8.11
14686,8.24
14687,8.37
14688,8.5
14689,8.63
14690,8.76
14691,8.9
14692,9.04
14693,9.18
14694,9.33
14695,9.48
14696,9.63
14697,9.79
14698,9.94
14699,10.1
14700,10.26
14701,10.41
14702,10.57
14703,10.72
14704,10.87
14705,11.02
14706,11.16
14707,11.31
14708,11.45
14709,11.59
14710,11.72
14711,11.86
14712,11.99
14713,12.12
14714,12.25
14715,12.37
14716,12.49
14717,12.62
14718,12.73
14719,12.85
14720,12.96
14721,13.07
14722,13.18
14723,13.27
14724,13.37
14725,13.45
14726,13.52
14727,13.59
14728,13.65
14729,13.69
14730,13.73
14731,13.76
14732,13.78
14733,13.79
14734,13.79
14735,13.79
14736,13.78
14737,13.76
14738,13.74
14739,13.72
14740,13.69
14741,13.66
14742,13.63
14743,13.61
14744,13.58
14745,13.56
14746,13.55
14747,13.53
14748,13.52
14749,13.52
14750,13.52
14751,13.52
14752,13.52
14753,13.53
14754,13.54
14755,13.55
14756,13.57
14757,13.58
14758,13.6
14759,13.62
14760,13.64
14761,13.66
14762,13.69
14763,13.71
14764,13.75
14765,13.78
14766,13.82
14767,13.87
14768,13.93
14769,13.99
14770,14.07
14771,14.16
14772,14.26
14773,14.37
14774,14.48
14775,14.61
14776,14.75
14777,14.89
14778,15.04
14779,15.19
14780,15.36
14781,15.52
14782,15.69
14783,15.86
14784,16.03
14785,16.21
14786,16.39
14787,16.58
14788,16.76
14789,16.95
14790,17.14
14791,17.32
14792,17.51
14793,17.69
14794,17.87
14795,18.05
14796,18.23
14797,18.4
14798,18.57
14799,18.73
14800,18.9
14801,19.06
14802,19.22
14803,19.38
14804,19.53
14805,19.68
14806,19.84
14807,19.98
14808,20.13
14809,20.27
14810,20.4
14811,20.53
14812,20.65
14813,20.76
14814,20.87
14815,20.96
14816,21.04
14817,21.12
14818,21.18
14819,21.23
14820,21.26
14821,21.29
14822,21.29
14823,21.29
14824,21.27
14825,21.23
14826,21.18
14827,21.11
14828,21.03
14829,20.94
14830,20.84
14831,20.74
14832,20.63
14833,20.52
14834,20.4
14835,20.29
14836,20.17
14837,20.06
14838,19.96
14839,19.86
14840,19.76
14841,19.67
14842,19.58
14843,19.49
14844,19.4
14845,19.31
14846,19.22
14847,19.13
14848,19.04
14849,18.94
14850,18.85
14851,18.75
14852,18.66
14853,18.56
14854,18.47
14855,18.38
14856,18.3
14857,18.21
14858,18.13
14859,18.06
14860,17.99
14861,17.93
14862,17.87
14863,17.81
14864,17.75
14865,17.7
14866,17.65
14867,17.6
14868,17.54
14869,17.48
14870,17.41
14871,17.33
14872,17.24
14873,17.13
14874,17.01
14875,16.88
14876,16.74
14877,16.58
14878,16.42
14879,16.25
14880,16.08
14881,15.9
14882,15.73
14883,15.55
14884,15.37
14885,15.2
14886,15.02
14887,14.85
14888,14.68
14889,14.51
14890,14.34
14891,14.17
14892,13.99
14893,13.81
14894,13.63
14895,13.45
14896,13.26
14897,13.07
14898,12.88
14899,12.68
14900,12.49
14901,12.29
14902,12.09
14903,11.9
14904,11.71
14905,11.52
14906,11.33
14907,11.15
14908,10.98
14909,10.8
14910,10.63
14911,10.47
14912,10.31
14913,10.15
14914,9.99
14915,9.83
14916,9.68
14917,9.52
14918,9.36
14919,9.2
14920,9.04
14921,8.88
14922,8.71
14923,8.54
14924,8.37
14925,8.2
14926,8.04
14927,7.87
14928,7.7
14929,7.53
14930,7.37
14931,7.2
14932,7.04
14933,6.88
14934,6.73
14935,6.58
14936,6.43
14937,6.29
14938,6.15
14939,6.02
14940,5.88
14941,5.75
14942,5.62
14943,5.48
14944,5.35
14945,5.21
14946,5.07
14947,4.94
14948,4.8
14949,4.66
14950,4.52
14951,4.38
14952,4.24
14953,4.11
14954,3.99
14955,3.87
14956,3.76
14957,3.66
14958,3.56
14959,3.48
14960,3.41
14961,3.34
14962,3.29
14963,3.23
14964,3.19
14965,3.15
14966,3.12
14967,3.1
14968,3.09
14969,3.08
14970,3.07
14971,3.07
14972,3.07
14973,3.08
14974,3.08
14975,3.08
14976,3.08
14977,3.08
14978,3.07
14979,3.07
14980,3.08
14981,3.09
14982,3.1
14983,3.12
14984,3.15
14985,3.19
14986,3.24
14987,3.3
14988,3.37
14989,3.45
14990,3.54
14991,3.64
14992,3.75
14993,3.86
14994,3.97
14995,4.08
14996,4.2
14997,4.31
14998,4.43
14999,4.54
15000,4.65
15001,4.76
15002,4.86
15003,4.97
15004,5.06
15005,5.16
15006,5.25
15007,5.34
15008,5.43
15009,5.52
15010,5.61
15011,5.7
15012,5.79
15013,5.88
15014,5.98
15015,6.07
15016,6.16
15017,6.25
15018,6.34
15019,6.43
15020,6.52
15021,6.6
15022,6.68
15023,6.75
15024,6.82
15025,6.87
15026,6.92
15027,6.96
15028,6.99
15029,7.01
15030,7.03
15031,7.03
15032,7.03
15033,7.03
15034,7.02
15035,7.01
15036,7.0
15037,6.98
15038,6.97
15039,6.95
15040,6.94
15041,6.93
15042,6.92
15043,6.92
15044,6.91
15045,6.91
15046,6.91
15047,6.92
15048,6.92
15049,6.93
15050,6.94
15051,6.95
15052,6.97
15053,6.99
15054,7.01
15055,7.03
15056,7.06
15057,7.09
15058,7.13
15059,7.17
15060,7.21
15061,7.26
15062,7.32
15063,7.38
15064,7.44
15065,7.51
15066,7.58
15067,7.66
15068,7.74
15069,7.82
15070,7.91
15071,8.0
15072,8.08
15073,8.17
15074,8.26
15075,8.35
15076,8.44
15077,8.52
15078,8.61
15079,8.69
15080,8.77
15081,8.85
15082,8.93
15083,9.01
15084,9.08
15085,9.16
15086,9.23
15087,9.3
15088,9.38
15089,9.45
15090,9.53
15091,9.6
15092,9.68
15093,9.77
15094,9.85
15095,9.94
15096,10.04
15097,10.13
15098,10.23
15099,10.32
15100,10.42
15101,10.52
15102,10.63
15103,10.73
15104,10.84
15105,10.96
15106,11.07
15107,11.19
15108,11.32
15109,11.44
15110,11.58
