$1995 Shasta Reservoir branch 4 inflow temperature                                    ,
,
JDAY,TIN
1,4.13
2,4.98
3,5.36
4,5.05
5,5.1
6,5.59
7,5.85
8,7.48
9,8.12
10,7.98
11,7.22
12,7.75
13,7.7
14,7.39
15,6.78
16,6.16
17,5.42
18,5.61
19,6.06
20,6.54
21,7.01
22,6.83
23,6.39
24,7.38
25,7.78
26,7.65
27,7.69
28,7.8
29,8.11
30,8.2
31,8.37
32,8.15
33,7.94
34,8.06
35,7.98
36,7.73
37,7.72
38,7.87
39,7.94
40,7.14
41,7.2
42,7.28
43,7.6
44,6.93
45,5.62
46,5.26
47,5.53
48,6.12
49,7.24
50,7.5
51,7.85
52,7.56
53,7.92
54,7.42
55,7.3
56,7.71
57,8.11
58,8.28
59,8.57
60,8.42
61,8.05
62,7.72
63,7.23
64,7.05
65,6.46
66,6.53
67,7.18
68,8.53
69,9.25
70,9.35
71,9.38
72,9.19
73,9.54
74,8.73
75,8.52
76,9.61
77,9.54
78,8.87
79,9.08
80,8.29
81,7.54
82,7.63
83,8.09
84,8.1
85,8
86,8.22
87,8.38
88,7.84
89,7.99
90,8.9
91,9.8
92,9.28
93,9.56
94,9.74
95,9.51
96,9.6
97,9.29
98,7.81
99,8.07
100,8.7
101,10.15
102,9.89
103,8.6
104,8.15
105,7.47
106,8.14
107,8.46
108,8.75
109,8.25
110,9.04
111,8.7
112,9.78
113,10.55
114,10.95
115,11.09
116,10.71
117,10.13
118,9.37
119,9.88
120,9.47
121,10.4
122,9.9
123,10.28
124,10.31
125,10.18
126,10.05
127,10.51
128,10.99
129,9.94
130,9.92
131,10.46
132,9.26
133,9.59
134,10.77
135,10.7
136,11.11
137,12
138,12.08
139,12.21
140,11.95
141,11.95
142,12.2
143,12.32
144,12.16
145,12.13
146,12.35
147,13
148,12.94
149,13.06
150,12.85
151,13.28
152,13.34
153,13.72
154,13.86
155,13.75
156,12.87
157,11.75
158,11.83
159,12.09
160,13.31
161,13.56
162,13.97
163,14.06
164,14.03
165,13.15
166,11.98
167,12.63
168,12.5
169,12.46
170,12.22
171,12.91
172,13.99
173,15.06
174,15.7
175,16.5
176,17.29
177,17.47
178,17.42
179,17.63
180,17.43
181,17.3
182,16.64
183,17.59
184,17.95
185,17.76
186,18
187,18.29
188,17.77
189,17.85
190,17.72
191,16.29
192,16.2
193,15.32
194,15.03
195,15.96
196,18.71
197,18.74
198,18.73
199,18.78
200,18.77
201,18.79
202,18.79
203,19.12
204,18.72
205,18.5
206,18.76
207,18.13
208,18.77
209,18.75
210,18.73
211,18.7
212,18.73
213,18.7
214,18.03
215,19.14
216,20.43
217,19.87
218,19.96
219,18.55
220,18.49
221,18.5
222,16.65
223,15.99
224,17.7
225,17.87
226,17.81
227,14.13
228,13.08
229,18.38
230,17.61
231,17.81
232,18.47
233,19.09
234,19.26
235,19.68
236,19.17
237,18.21
238,17.62
239,17.37
240,17.29
241,17.25
242,17.03
243,16.98
244,16.96
245,16.98
246,16.88
247,16.68
248,16.79
249,17.18
250,17.68
251,17.76
252,17.67
253,17.71
254,18.01
255,18.45
256,18.46
257,18.4
258,18.23
259,17.78
260,17.27
261,17.3
262,17.65
263,17.97
264,17.72
265,17.08
266,16.84
267,16.96
268,17
269,16.42
270,16.39
271,16.36
272,15.33
273,15.04
274,15.18
275,15.16
276,15.32
277,14.56
278,13.66
279,13.19
280,13.39
281,13.64
282,13.78
283,14.03
284,13.78
285,12.9
286,12.45
287,12.09
288,12.09
289,12.48
290,12.78
291,12.82
292,12.64
293,12.29
294,12.04
295,10.89
296,10.19
297,9.9
298,10.57
299,12.44
300,13.47
301,14
302,13.91
303,13.81
304,13.74
305,13.66
306,12.58
307,11.46
308,10.46
309,10.38
310,10.57
311,11.51
312,12.56
313,12.97
314,12.67
315,11.8
316,12.34
317,12.01
318,10.98
319,10.75
320,11.3
321,11.5
322,11.85
323,10.99
324,9.97
325,10.04
326,10.11
327,10.32
328,10.02
329,10.01
330,9.56
331,8.22
332,7.91
333,8.59
334,9.09
335,9.72
336,9.24
337,7.99
338,8.23
339,9.34
340,10.19
341,10.43
342,10.09
343,9.77
344,9.25
345,9.61
346,10
347,9.56
348,9.13
349,9.22
350,8.55
351,7.98
352,8.36
353,8.22
354,7.6
355,6.74
356,6.4
357,6.19
358,5.54
359,5.33
360,5.52
361,6.03
362,6.54
363,7
364,7.13
365,7.92
366,4.13
