1995 Shasta Reservoir branch 1 outflow (revised per USBR)                                               ,,,,,
,,,,,
JDAY,QOUT,QOUT,QOUT,QOUT,QOUT
1,0,0,0,0,102.79
2,0,0,0,0,98.45
3,0,0,0,0,100.72
4,0,0,0,0,73.2
5,0,0,0,0,90.3
6,0,0,0,0,87.95
7,0,0,0,0,37.79
8,0,0,0,0,6.6
9,0,0,0,0,7.65
10,0,0,0,0,52.3
11,0,0,0,0,92.75
12,0,1.19,0,0,53.21
13,0,0,0,0,90.62
14,0,0,0,0,99.82
15,0,0,0,0,246.48
16,0,0,0,0,273.01
17,0,0,0,0,342.1
18,0,58.33,0,0,458.11
19,0,365.83,0,0,511.46
20,0,362.96,0,0,517.56
21,0,206.56,0,0,513.87
22,0,160.56,0,0,513.8
23,0,0,0,0,267.55
24,0,0,0,0,147.53
25,0,0,0,0,216.41
26,0,0,0,0,297.92
27,0,36.7,0,0,351.53
28,0,279.95,0,0,499.16
29,0,146.63,0,0,496.11
30,0,135.8,0,0,495.85
31,0,0,0,0,452.4
32,0,265.07,0,0,476.97
33,0,368.71,0,0,494.49
34,0,507.09,0,0,497.1
35,0,522.58,0,0,497.08
36,0,505.37,0,0,477.59
37,0,585.93,0,0,435.84
38,0,539.58,0,0,508.54
39,0,417.54,0,0,509.4
40,0,301.82,0,0,505.82
41,0,144.37,0,0,505.27
42,0,18.81,0,0,496.49
43,0,21.91,0,0,477.73
44,0,1.76,0,0,401.53
45,0,0,0,0,313.75
46,0,0,0,0,298.15
47,0,0,0,0,233.9
48,0,0,0,0,221.26
49,0,0,0,0,197.74
50,0,0,0,0,162.01
51,0,0,0,0,150.28
52,0,0,0,0,147.08
53,0,0,0,0,118.52
54,0,0,0,0,140.25
55,0,0,0,0,129.55
56,0,0,0,0,147.62
57,0,0,0,0,132.27
58,0,0,0,0,115.08
59,0,0,0,0,130.51
60,0,0,0,0,131.06
61,0,0,0,0,122.12
62,0,0,0,0,118.09
63,0,0,0,0,43.45
64,0,0,0,0,115.85
65,0,0,0,0,121.34
66,0,0,0,0,133.06
67,0,0,0,0,126.16
68,0,0,0,0,63.85
69,0,0,0,0,248.14
70,230.27,387.49,69.09,0,473.43
71,230.27,688.5,69.09,0,438.74
72,230.27,665.36,69.09,0,472.22
73,230.27,493,69.09,0,468.53
74,278.44,784.07,69.09,0,468.22
75,392.05,784.05,276.75,0,465.93
76,392.05,784.06,285.89,0,469.8
77,392.05,784.05,238.81,0,482.68
78,392.05,784.05,112.17,0,481.56
79,230.27,453.06,69.09,0,479.18
80,230.27,493.9,69.09,0,478.74
81,230.27,463.67,69.09,0,479.35
82,230.27,468.01,69.09,0,479.15
83,230.27,461.96,69.09,0,479.98
84,230.27,217.3,69.09,0,477.64
85,230.27,87.42,69.09,0,476.77
86,230.27,168.35,69.09,0,478.72
87,230.27,0,54.27,0,477.45
88,194.99,0,0,0,475.95
89,82.85,0,0,0,474.36
90,0,0,0,0,473.43
91,0,0,0,0,447.17
92,0,0,0,0,448.65
93,0,0,0,0,361.99
94,0,0,0,0,298.32
95,0,0,13.79,0,286.79
96,0,0,0,0,260.94
97,0,0,14.32,0,357.64
98,0,0,234.65,0,385.79
99,0,0,227.76,0,469.52
100,0,0,239.09,0,397.71
101,0,0,255.91,0,468.75
102,0,0,493.9,0,435.98
103,0,0,521.21,0,439.39
104,0,0,381.22,0,417.88
105,0,0,252.1,0,471.46
106,0,0,176.79,0,470.38
107,0,0,36.25,0,469.41
108,0,0,0,0,467.45
109,0,0,0,0,403.2
110,0,0,0,0,337.92
111,0,0,0,0,280.62
112,0,0,0,0,201.86
113,0,0,0,0,162.62
114,0,0,0,0,112.05
115,0,0,0,0,107.43
116,0,0,0,0,116.72
117,0,0,0,0,213.96
118,0,0,120.07,0,465.32
119,0,0,224.64,0,461.79
120,0,0,203.51,0,466.77
121,0,0,132.61,0,464.59
122,0,0,192.84,0,463.91
123,0,0,272.04,0,464
124,0,0,342.23,0,465.32
125,0,0,370.33,0,466
126,0,0,383.32,0,467.4
127,0,0,346.99,0,466.15
128,0,0,388.88,0,467.38
129,0,0,268.53,0,433.27
130,0,0,119.75,0,464.3
131,0,0,118.04,0,431.66
132,0,0,47.32,0,463.66
133,0,0,0,0,462.33
134,0,0,0,0,403.32
135,0,0,0,0,343.75
136,0,0,0,0,277.84
137,0,0,0,0,192.76
138,14.72,0,0,0,137.7
139,45.19,0,0,0,144.92
140,56.83,0,0,0,260.68
141,56.83,0,0,0,169.27
142,52.05,0,0,0,174.25
143,85.24,0,0,0,182.73
144,129.78,0,0,0,130.35
145,133.62,0,0,0,108.56
146,85.58,0,0,0,146.75
147,61.43,0,0,0,174.22
148,108.51,0,0,0,149.94
149,159.52,0,0,0,138.3
150,169.89,0,0,0,115.99
151,142.03,0,0,0,133.4
152,113.85,0,0,0,140.54
153,99.7,0,0,0,114.79
154,30.1,0,0,0,206.49
155,0,0,0,0,263.22
156,14.78,0,0,0,255.53
157,69.65,0,0,0,200.96
158,49.01,0,0,0,196.99
159,13.88,0,0,0,218.98
160,0,0,0,0,248.81
161,0,0,0,0,230.43
162,5.08,0,0,0,256.14
163,0,0,0,0,259.44
164,0,0,0,0,249.96
165,0,0,0,0,244.43
166,0,0,0,0,225.22
167,0,0,0,0,225.82
168,0,0,0,0,199.25
169,0,0,0,0,183.86
170,0,0,0,0,162.61
171,25.26,0,0,0,211.27
172,56.96,0,0,0,231.26
173,93.44,0,0,0,199.64
174,167.75,0,0,0,154.27
175,255.58,0,0,0,61.69
176,301.12,0,0,0,6.77
177,312.31,0,0,0,5.65
178,261.31,0,0,0,58.62
179,148.99,0,0,0,151.23
180,197.6,0,0,0,156.9
181,198.22,0,0,0,144.98
182,198.53,0,0,0,144.17
183,198.32,0,0,0,122.39
184,198.13,0,0,0,133.28
185,198.01,0,0,0,142.1
186,198.08,0,0,0,141.19
187,172.29,0,0,0,116.42
188,134.19,0,0,0,186.49
189,92.74,0,0,0,220.49
190,49.05,0,0,0,268.44
191,10.38,0,0,0,303.34
192,2.19,0,0,0,359.65
193,41.55,0,0,0,270.9
194,0,0,0,0,306.93
195,0,0,0,0,329.68
196,108.6,0,0,0,212.89
197,102.81,0,0,0,231.83
198,0,0,0,0,328.22
199,22.69,0,0,0,333.11
200,38.61,0,0,0,264.92
201,65.31,0,0,0,266.41
202,76.86,0,0,0,268.56
203,85.02,0,0,0,265.68
204,84.95,0,0,0,265.35
205,255.17,0,0,0,89.6
206,241.02,0,0,0,97.4
207,237.57,0,0,0,76.96
208,169.68,0,0,0,156.23
209,249.07,0,0,0,91.21
210,298.46,0,0,0,18.26
211,310.9,0,0,0,0.03
212,238.34,0,0,0,72.8
213,141.58,0,0,0,168.68
214,141.58,0,0,0,201.79
215,141.61,0,0,0,197
216,245.51,0,0,0,76.26
217,166.28,0,0,0,161.41
218,83.6,0,0,0,227.19
219,190.97,0,0,0,157.64
220,251.4,0,0,0,75.78
221,170.95,0,0,0,136.66
222,74.61,0,0,0,241.16
223,59.39,0,0,0,253.45
224,72.4,0,0,0,262.01
225,84.44,0,0,0,263.97
226,68.22,0,0,0,253.53
227,25.66,0,0,0,244.6
228,17.33,0,0,0,260.83
229,57.89,0,0,0,264.3
230,141.58,0,0,0,198.93
231,141.58,0,0,0,193.21
232,137.17,0,0,0,212.89
233,69.38,0,0,0,257.23
234,56.63,0,0,0,265.53
235,56.61,0,0,0,262.84
236,54.7,0,0,0,263.04
237,33.92,0,0,0,265.42
238,19.79,0,0,0,260.93
239,19.82,0,0,0,249.41
240,19.71,0,0,0,245.99
241,20.13,0,0,0,253.44
242,59.06,0,0,0,212
243,9.46,0,0,0,273.06
244,0,0,0,0,227.13
245,0,0,0,0,193.91
246,0,0,0,0,240.51
247,0,0,0,0,248.39
248,92.8,0,0,0,163.31
249,198.29,0,0,0,42.11
250,226.54,0,0,0,3.22
251,154.19,0,0,0,85.27
252,113.61,0,0,0,130.25
253,113.47,0,0,0,141.05
254,113.47,0,0,0,141.05
255,142.07,0,0,0,51.4
256,223.88,0,0,0,54.72
257,227.27,0,0,0,28.4
258,226.85,0,0,0,4.51
259,192.3,0,0,0,50.35
260,170.89,0,0,0,69.26
261,209.01,0,0,0,26.16
262,226.54,0,0,0,13.51
263,226.01,0,0,0,5.64
264,216.15,0,0,0,7.13
265,152.24,0,0,0,52.45
266,83.53,0,0,0,113.69
267,84.81,0,0,0,102
268,83.44,0,0,0,127.78
269,134.59,0,0,0,49.58
270,169.41,0,0,0,8.83
271,154.36,0,0,0,13.65
272,140.07,0,0,0,60.05
273,141.27,0,0,0,42.5
274,141.24,0,0,0,46.21
275,124.87,0,0,0,31.04
276,113.27,0,0,0,18.49
277,113.27,0,0,0,7.77
278,83.2,0,0,0,17.1
279,84.95,0,0,0,31.21
280,83.19,0,0,0,35.55
281,83.18,0,0,0,40.85
282,85.15,0,0,0,43.49
283,83.2,0,0,0,38.06
284,88.06,0,0,0,38.67
285,82.9,0,0,0,28.9
286,83.47,0,0,0,18.45
287,83.18,0,0,0,25.26
288,83.19,0,0,0,29.1
289,83.17,0,0,0,25.58
290,83.17,0,0,0,34.65
291,83.17,0,0,0,37.24
292,83.16,0,0,0,25.59
293,83.17,0,0,0,10.58
294,83.18,0,0,0,26.94
295,83.17,0,0,0,42.46
296,40.43,0,0,0,71.61
297,0,0,0,0,145.8
298,0,0,0,0,147.34
299,0,0,0,0,146.23
300,0,0,0,0,136.77
301,18.52,0,0,0,121.62
302,31.35,0,0,0,111.26
303,42.87,0,0,0,109.11
304,56.85,0,0,0,88.63
305,71.06,0,0,0,62.93
306,69.94,0,0,0,40.69
307,30.21,0,0,0,116.64
308,0,0,0,0,112.54
309,0,0,0,0,116.01
310,0,0,0,0,150.19
311,0,0,0,0,154.27
312,0,0,0,0,126.49
313,0,0,0,0,112.25
314,0,0,0,0,150.76
315,0,0,0,0,150.31
316,0,0,0,0,132.53
317,0,0,0,0,141.23
318,0,0,0,0,120.62
319,0,0,0,0,126.2
320,0,0,0,0,128.24
321,0,0,0,0,148.61
322,0,0,0,0,142.2
323,0,0,0,0,146.15
324,0,0,0,0,133.32
325,0,0,0,0,136.18
326,0,0,0,0,140.03
327,0,0,0,0,129.78
328,0,0,0,0,148.93
329,0,0,0,0,134.76
330,0,0,0,0,131.76
331,0,0,0,0,130.09
332,0,0,0,0,128.93
333,0,0,0,0,134.36
334,0,0,0,0,134.67
335,0,0,0,0,134.51
336,0,0,0,0,140.11
337,0,0,0,0,127.37
338,0,0,0,0,115.48
339,0,0,0,0,126.12
340,0,0,0,0,141.22
341,0,0,0,0,140.1
342,0,0,0,0,155.14
343,0,0,0,0,146.86
344,0,0,0,0,138.86
345,0,0,0,0,141.05
346,0,0,0,0,73.45
347,0,0,0,0,69.21
348,0,0,0,0,99.04
349,0,0,0,0,91.8
350,0,0,0,0,85.73
351,0,0,0,0,135.61
352,0,0,0,0,133.21
353,0,0,0,0,130.99
354,0,0,0,0,125.83
355,0,0,0,0,137.68
356,0,0,0,0,136.33
357,0,0,0,0,133.57
358,0,0,0,0,131.27
359,0,0,0,0,135.35
360,0,0,0,0,137.96
361,0,0,0,0,135.81
362,0,0,0,0,130.44
363,0,0,0,0,132.88
364,0,0,0,0,116.09
365,0,0,0,0,115.95
366,0,0,0,0,135.95
