$2/1/1990-8/29/2024 SHA outflow (historical),,,,,
,,,,,
JDAY,QOUT,QOUT,QOUT,QOUT,QOUT
14642,0.0,0.0,78.2,0.0,0.0
14643,0.0,0.0,93.4,0.0,0.0
14644,0.0,0.0,86.2,0.0,0.0
14645,0.0,0.0,88.3,0.0,0.0
14646,0.0,0.0,91.2,0.0,0.0
14647,0.0,0.0,90.0,0.0,0.0
14648,0.0,0.0,80.4,0.0,0.0
14649,0.0,0.0,90.7,0.0,0.0
14650,0.0,0.0,89.5,0.0,0.0
14651,0.0,0.0,91.1,0.0,0.0
14652,0.0,0.0,89.5,0.0,0.0
14653,0.0,0.0,91.0,0.0,0.0
14654,0.0,0.0,90.4,0.0,0.0
14655,0.0,0.0,87.5,0.0,0.0
14656,0.0,0.0,75.4,0.0,0.0
14657,0.0,0.0,90.3,0.0,0.0
14658,0.0,0.0,92.3,0.0,0.0
14659,0.0,0.0,94.7,0.0,0.0
14660,0.0,0.0,94.8,0.0,0.0
14661,0.0,0.0,97.9,0.0,0.0
14662,0.0,0.0,92.5,0.0,0.0
14663,0.0,0.0,76.2,0.0,0.0
14664,0.0,0.0,75.7,0.0,0.0
14665,0.0,0.0,76.2,0.0,0.0
14666,0.0,0.0,76.9,0.0,0.0
14667,0.0,0.0,79.0,0.0,0.0
14668,0.0,0.0,81.4,0.0,0.0
14669,0.0,0.0,79.6,0.0,0.0
14670,0.0,0.0,80.7,0.0,0.0
14671,0.0,0.0,79.6,0.0,0.0
14672,0.0,0.0,41.7,0.0,0.0
14673,0.0,0.0,67.3,0.0,0.0
14674,0.0,0.0,79.0,0.0,0.0
14675,0.0,0.0,75.6,0.0,0.0
14676,0.0,0.0,75.5,0.0,0.0
14677,0.0,0.0,72.9,0.0,0.0
14678,0.0,0.0,76.2,0.0,0.0
14679,0.0,0.0,85.6,0.0,0.0
14680,0.0,0.0,72.6,0.0,0.0
14681,0.0,0.0,76.2,0.0,0.0
14682,0.0,0.0,70.8,0.0,0.0
14683,0.0,0.0,78.3,0.0,0.0
14684,0.0,0.0,74.9,0.0,0.0
14685,0.0,0.0,58.1,0.0,0.0
14686,0.0,0.0,74.8,0.0,0.0
14687,0.0,0.0,82.0,0.0,0.0
14688,0.0,0.0,71.2,0.0,0.0
14689,0.0,0.0,93.8,0.0,0.0
14690,0.0,0.0,89.0,0.0,0.0
14691,0.0,0.0,88.0,0.0,0.0
14692,0.0,0.0,108.1,0.0,0.0
14693,0.0,0.0,121.9,0.0,0.0
14694,0.0,0.0,116.4,0.0,0.0
14695,0.0,0.0,130.0,0.0,0.0
14696,0.0,0.0,135.7,0.0,0.0
14697,0.0,0.0,126.0,0.0,0.0
14698,0.0,0.0,132.3,0.0,0.0
14699,0.0,0.0,112.5,0.0,0.0
14700,0.0,0.0,148.9,0.0,0.0
14701,0.0,0.0,168.8,0.0,0.0
14702,0.0,0.0,168.8,0.0,0.0
14703,0.0,0.0,166.7,0.0,0.0
14704,0.0,0.0,162.9,0.0,0.0
14705,0.0,0.0,159.7,0.0,0.0
14706,0.0,0.0,156.2,0.0,0.0
14707,0.0,0.0,191.4,0.0,0.0
14708,0.0,0.0,191.4,0.0,0.0
14709,0.0,0.0,206.2,0.0,0.0
14710,0.0,0.0,200.4,0.0,0.0
14711,0.0,0.0,201.5,0.0,0.0
14712,0.0,0.0,228.8,0.0,0.0
14713,0.0,0.0,225.4,0.0,0.0
14714,0.0,0.0,244.2,0.0,0.0
14715,0.0,0.0,238.6,0.0,0.0
14716,0.0,0.0,241.0,0.0,0.0
14717,0.0,0.0,233.7,0.0,0.0
14718,0.0,0.0,248.0,0.0,0.0
14719,0.0,0.0,233.5,0.0,0.0
14720,0.0,0.0,249.8,0.0,0.0
14721,0.0,0.0,239.5,0.0,0.0
14722,0.0,0.0,260.6,0.0,0.0
14723,0.0,0.0,259.1,0.0,0.0
14724,0.0,0.0,261.8,0.0,0.0
14725,0.0,0.0,264.0,0.0,0.0
14726,0.0,0.0,261.3,0.0,0.0
14727,0.0,0.0,249.2,0.0,0.0
14728,0.0,0.0,258.0,0.0,0.0
14729,0.0,0.0,259.1,0.0,0.0
14730,0.0,0.0,262.0,0.0,0.0
14731,0.0,0.0,260.8,0.0,0.0
14732,0.0,0.0,257.8,0.0,0.0
14733,0.0,0.0,258.1,0.0,0.0
14734,0.0,0.0,278.8,0.0,0.0
14735,0.0,0.0,262.5,0.0,0.0
14736,0.0,0.0,279.2,0.0,0.0
14737,0.0,0.0,283.5,0.0,0.0
14738,0.0,0.0,289.6,0.0,0.0
14739,0.0,0.0,286.2,0.0,0.0
14740,0.0,0.0,275.5,0.0,0.0
14741,0.0,0.0,296.3,0.0,0.0
14742,0.0,0.0,294.9,0.0,0.0
14743,0.0,0.0,288.1,0.0,0.0
14744,0.0,0.0,292.2,0.0,0.0
14745,0.0,0.0,283.3,0.0,0.0
14746,0.0,0.0,293.4,0.0,0.0
14747,0.0,0.0,259.8,0.0,0.0
14748,0.0,0.0,236.7,0.0,0.0
14749,0.0,0.0,225.2,0.0,0.0
14750,0.0,0.0,284.0,0.0,0.0
14751,0.0,0.0,284.5,0.0,0.0
14752,0.0,0.0,259.6,0.0,0.0
14753,0.0,0.0,254.4,0.0,0.0
14754,0.0,0.0,231.2,0.0,0.0
14755,0.0,0.0,208.1,0.0,0.0
14756,0.0,0.0,201.0,0.0,0.0
14757,0.0,0.0,213.0,0.0,0.0
14758,0.0,0.0,125.2,0.0,0.0
14759,0.0,0.0,26.6,0.0,0.0
14760,0.0,0.0,38.9,0.0,0.0
14761,0.0,0.0,16.0,0.0,0.0
14762,0.0,0.0,76.9,0.0,0.0
14763,0.0,0.0,96.8,0.0,0.0
14764,0.0,0.0,113.6,0.0,0.0
14765,0.0,0.0,109.9,0.0,0.0
14766,0.0,0.0,113.1,0.0,0.0
14767,0.0,0.0,112.1,0.0,0.0
14768,0.0,0.0,126.0,0.0,0.0
14769,0.0,0.0,153.2,0.0,0.0
14770,0.0,0.0,179.9,0.0,0.0
14771,0.0,0.0,192.1,0.0,0.0
14772,0.0,0.0,207.3,0.0,0.0
14773,0.0,0.0,220.6,0.0,0.0
14774,0.0,0.0,240.2,0.0,0.0
14775,0.0,0.0,236.3,0.0,0.0
14776,0.0,0.0,230.5,0.0,0.0
14777,0.0,0.0,253.9,0.0,0.0
14778,0.0,0.0,215.7,0.0,0.0
14779,0.0,0.0,265.7,0.0,0.0
14780,0.0,0.0,290.3,0.0,0.0
14781,0.0,0.0,254.2,0.0,0.0
14782,0.0,0.0,301.5,0.0,0.0
14783,0.0,0.0,244.2,0.0,0.0
14784,0.0,0.0,244.2,0.0,0.0
14785,0.0,0.0,263.3,0.0,0.0
14786,0.0,0.0,263.3,0.0,0.0
14787,0.0,0.0,280.8,0.0,0.0
14788,0.0,0.0,266.0,0.0,0.0
14789,0.0,0.0,273.9,0.0,0.0
14790,0.0,0.0,268.0,0.0,0.0
14791,0.0,0.0,286.2,0.0,0.0
14792,0.0,0.0,281.2,0.0,0.0
14793,0.0,0.0,281.2,0.0,0.0
14794,0.0,0.0,250.9,0.0,0.0
14795,0.0,0.0,232.4,0.0,0.0
14796,0.0,0.0,232.4,0.0,0.0
14797,0.0,0.0,237.1,0.0,0.0
14798,0.0,0.0,202.3,0.0,0.0
14799,0.0,0.0,210.9,0.0,0.0
14800,0.0,0.0,201.0,0.0,0.0
14801,0.0,199.7,0.0,0.0,0.0
14802,0.0,198.1,0.0,0.0,0.0
14803,0.0,210.0,0.0,0.0,0.0
14804,0.0,244.4,0.0,0.0,0.0
14805,0.0,262.3,0.0,0.0,0.0
14806,0.0,278.2,0.0,0.0,0.0
14807,0.0,262.0,0.0,0.0,0.0
14808,0.0,185.8,0.0,0.0,0.0
14809,0.0,209.9,0.0,0.0,0.0
14810,0.0,203.1,0.0,0.0,0.0
14811,0.0,221.4,0.0,0.0,0.0
14812,0.0,210.2,0.0,0.0,0.0
14813,0.0,257.6,0.0,0.0,0.0
14814,0.0,249.9,0.0,0.0,0.0
14815,0.0,261.8,0.0,0.0,0.0
14816,0.0,260.5,0.0,0.0,0.0
14817,0.0,215.6,0.0,0.0,0.0
14818,0.0,215.1,0.0,0.0,0.0
14819,0.0,183.1,0.0,0.0,0.0
14820,0.0,219.9,0.0,0.0,0.0
14821,0.0,199.1,0.0,0.0,0.0
14822,0.0,236.0,0.0,0.0,0.0
14823,0.0,223.4,0.0,0.0,0.0
14824,0.0,242.3,0.0,0.0,0.0
14825,0.0,237.1,0.0,0.0,0.0
14826,0.0,263.2,0.0,0.0,0.0
14827,0.0,255.9,0.0,0.0,0.0
14828,0.0,242.9,0.0,0.0,0.0
14829,0.0,257.0,0.0,0.0,0.0
14830,0.0,271.2,0.0,0.0,0.0
14831,0.0,262.7,0.0,0.0,0.0
14832,0.0,275.1,0.0,0.0,0.0
14833,0.0,258.0,0.0,0.0,0.0
14834,0.0,272.4,0.0,0.0,0.0
14835,0.0,264.9,0.0,0.0,0.0
14836,0.0,269.1,0.0,0.0,0.0
14837,0.0,258.0,0.0,0.0,0.0
14838,0.0,307.7,0.0,0.0,0.0
14839,0.0,274.7,0.0,0.0,0.0
14840,0.0,257.4,0.0,0.0,0.0
14841,0.0,290.4,0.0,0.0,0.0
14842,0.0,291.2,0.0,0.0,0.0
14843,0.0,289.8,0.0,0.0,0.0
14844,0.0,273.8,0.0,0.0,0.0
14845,0.0,288.1,0.0,0.0,0.0
14846,0.0,277.6,0.0,0.0,0.0
14847,0.0,262.3,0.0,0.0,0.0
14848,0.0,246.5,0.0,0.0,0.0
14849,0.0,254.5,0.0,0.0,0.0
14850,0.0,244.6,0.0,0.0,0.0
14851,0.0,240.1,0.0,0.0,0.0
14852,0.0,231.3,0.0,0.0,0.0
14853,0.0,222.0,0.0,0.0,0.0
14854,0.0,213.9,0.0,0.0,0.0
14855,0.0,182.8,0.0,0.0,0.0
14856,0.0,180.5,0.0,0.0,0.0
14857,0.0,189.2,0.0,0.0,0.0
14858,0.0,191.5,0.0,0.0,0.0
14859,0.0,154.8,0.0,0.0,0.0
14860,0.0,152.7,0.0,0.0,0.0
14861,0.0,137.2,0.0,0.0,0.0
14862,0.0,137.2,0.0,0.0,0.0
14863,0.0,135.6,0.0,0.0,0.0
14864,0.0,132.8,0.0,0.0,0.0
14865,0.0,123.1,0.0,0.0,0.0
14866,0.0,148.6,0.0,0.0,0.0
14867,0.0,113.2,0.0,0.0,0.0
14868,0.0,98.2,0.0,0.0,0.0
14869,0.0,101.8,0.0,0.0,0.0
14870,0.0,101.8,0.0,0.0,0.0
14871,0.0,102.0,0.0,0.0,0.0
14872,0.0,103.5,0.0,0.0,0.0
14873,0.0,133.1,0.0,0.0,0.0
14874,0.0,128.1,0.0,0.0,0.0
14875,0.0,86.9,0.0,0.0,0.0
14876,0.0,78.7,0.0,0.0,0.0
14877,0.0,80.4,0.0,0.0,0.0
14878,0.0,80.7,0.0,0.0,0.0
14879,0.0,91.2,0.0,0.0,0.0
14880,0.0,78.4,0.0,0.0,0.0
14881,0.0,79.2,0.0,0.0,0.0
14882,0.0,70.6,0.0,0.0,0.0
14883,0.0,53.1,0.0,0.0,0.0
14884,26.8,26.8,0.0,0.0,0.0
14885,28.5,28.5,0.0,0.0,0.0
14886,30.7,30.7,0.0,0.0,0.0
14887,34.4,34.4,0.0,0.0,0.0
14888,37.5,37.5,0.0,0.0,0.0
14889,39.3,39.3,0.0,0.0,0.0
14890,41.5,41.5,0.0,0.0,0.0
14891,45.3,45.3,0.0,0.0,0.0
14892,44.0,44.0,0.0,0.0,0.0
14893,43.0,43.0,0.0,0.0,0.0
14894,49.6,49.6,0.0,0.0,0.0
14895,49.2,49.2,0.0,0.0,0.0
14896,55.6,55.6,0.0,0.0,0.0
14897,55.2,55.2,0.0,0.0,0.0
14898,54.6,54.6,0.0,0.0,0.0
14899,26.5,26.5,0.0,0.0,0.0
14900,27.1,27.1,0.0,0.0,0.0
14901,22.8,22.8,0.0,0.0,0.0
14902,21.6,21.6,0.0,0.0,0.0
14903,31.0,31.0,0.0,0.0,0.0
14904,34.0,34.0,0.0,0.0,0.0
14905,33.5,33.5,0.0,0.0,0.0
14906,33.4,33.4,0.0,0.0,0.0
14907,32.7,32.7,0.0,0.0,0.0
14908,34.2,34.2,0.0,0.0,0.0
14909,33.1,33.1,0.0,0.0,0.0
14910,33.2,33.2,0.0,0.0,0.0
14911,35.2,35.2,0.0,0.0,0.0
14912,33.5,33.5,0.0,0.0,0.0
14913,33.6,33.6,0.0,0.0,0.0
14914,33.1,33.1,0.0,0.0,0.0
14915,33.2,33.2,0.0,0.0,0.0
14916,40.7,40.7,0.0,0.0,0.0
14917,48.4,48.4,0.0,0.0,0.0
14918,54.0,54.0,0.0,0.0,0.0
14919,45.3,45.3,0.0,0.0,0.0
14920,44.7,44.7,0.0,0.0,0.0
14921,48.2,48.2,0.0,0.0,0.0
14922,41.6,41.6,0.0,0.0,0.0
14923,41.6,41.6,0.0,0.0,0.0
14924,41.6,41.6,0.0,0.0,0.0
14925,41.6,41.6,0.0,0.0,0.0
14926,35.6,35.6,0.0,0.0,0.0
14927,44.4,44.4,0.0,0.0,0.0
14928,48.5,48.5,0.0,0.0,0.0
14929,58.0,58.0,0.0,0.0,0.0
14930,58.0,58.0,0.0,0.0,0.0
14931,58.0,58.0,0.0,0.0,0.0
14932,47.0,47.0,0.0,0.0,0.0
14933,39.1,39.1,0.0,0.0,0.0
14934,53.9,53.9,0.0,0.0,0.0
14935,53.9,53.9,0.0,0.0,0.0
14936,53.9,53.9,0.0,0.0,0.0
14937,53.9,53.9,0.0,0.0,0.0
14938,53.9,53.9,0.0,0.0,0.0
14939,54.9,54.9,0.0,0.0,0.0
14940,53.7,53.7,0.0,0.0,0.0
14941,54.5,54.5,0.0,0.0,0.0
14942,55.0,55.0,0.0,0.0,0.0
14943,55.6,55.6,0.0,0.0,0.0
14944,55.6,55.6,0.0,0.0,0.0
14945,55.6,55.6,0.0,0.0,0.0
14946,49.5,49.5,0.0,0.0,0.0
14947,53.5,53.5,0.0,0.0,0.0
14948,53.1,53.1,0.0,0.0,0.0
14949,53.3,53.3,0.0,0.0,0.0
14950,54.3,54.3,0.0,0.0,0.0
14951,54.3,54.3,0.0,0.0,0.0
14952,54.3,54.3,0.0,0.0,0.0
14953,53.2,53.2,0.0,0.0,0.0
14954,54.3,54.3,0.0,0.0,0.0
14955,55.7,55.7,0.0,0.0,0.0
14956,55.7,55.7,0.0,0.0,0.0
14957,55.7,55.7,0.0,0.0,0.0
14958,55.7,55.7,0.0,0.0,0.0
14959,55.7,55.7,0.0,0.0,0.0
14960,47.6,47.6,0.0,0.0,0.0
14961,50.9,50.9,0.0,0.0,0.0
14962,50.4,50.4,0.0,0.0,0.0
14963,51.7,51.7,0.0,0.0,0.0
14964,65.8,65.8,0.0,0.0,0.0
14965,65.8,65.8,0.0,0.0,0.0
14966,65.8,65.8,0.0,0.0,0.0
14967,65.8,65.8,0.0,0.0,0.0
14968,65.8,65.8,0.0,0.0,0.0
14969,60.9,60.9,0.0,0.0,0.0
14970,60.9,60.9,0.0,0.0,0.0
