$2/1/1990-8/29/2024 SHA outflow (historical),,,,,
,,,,,
JDAY,QOUT,QOUT,QOUT,QOUT,QOUT
14642,74.19,0.0,0.0,0.0,0.0
14643,89.4,0.0,0.0,0.0,0.0
14644,82.15,0.0,0.0,0.0,0.0
14645,84.24,0.0,0.0,0.0,0.0
14646,87.22,0.0,0.0,0.0,0.0
14647,86.0,0.0,0.0,0.0,0.0
14648,76.37,0.0,0.0,0.0,0.0
14649,86.65,0.0,0.0,0.0,0.0
14650,85.46,0.0,0.0,0.0,0.0
14651,87.02,0.0,0.0,0.0,0.0
14652,85.46,0.0,0.0,0.0,0.0
14653,86.93,0.0,0.0,0.0,0.0
14654,86.39,0.0,0.0,0.0,0.0
14655,83.45,0.0,0.0,0.0,0.0
14656,71.36,0.0,0.0,0.0,0.0
14657,86.25,0.0,0.0,0.0,0.0
14658,88.24,0.0,0.0,0.0,0.0
14659,90.67,0.0,0.0,0.0,0.0
14660,90.78,0.0,0.0,0.0,0.0
14661,93.87,0.0,0.0,0.0,0.0
14662,88.46,0.0,0.0,0.0,0.0
14663,72.18,0.0,0.0,0.0,0.0
14664,71.64,0.0,0.0,0.0,0.0
14665,72.18,0.0,0.0,0.0,0.0
14666,72.86,0.0,0.0,0.0,0.0
14667,75.01,0.0,0.0,0.0,0.0
14668,77.33,0.0,0.0,0.0,0.0
14669,75.52,0.0,0.0,0.0,0.0
14670,76.65,0.0,0.0,0.0,0.0
14671,75.55,0.0,0.0,0.0,0.0
14672,37.69,0.0,0.0,0.0,0.0
14673,63.32,0.0,0.0,0.0,0.0
14674,74.95,0.0,0.0,0.0,0.0
14675,71.56,0.0,0.0,0.0,0.0
14676,71.5,0.0,0.0,0.0,0.0
14677,68.84,0.0,0.0,0.0,0.0
14678,72.18,0.0,0.0,0.0,0.0
14679,81.52,0.0,0.0,0.0,0.0
14680,68.58,0.0,0.0,0.0,0.0
14681,72.15,0.0,0.0,0.0,0.0
14682,66.77,0.0,0.0,0.0,0.0
14683,74.3,0.0,0.0,0.0,0.0
14684,70.82,0.0,0.0,0.0,0.0
14685,54.09,0.0,0.0,0.0,0.0
14686,70.74,0.0,0.0,0.0,0.0
14687,78.01,0.0,0.0,0.0,0.0
14688,67.2,0.0,0.0,0.0,0.0
14689,89.74,0.0,0.0,0.0,0.0
14690,84.92,0.0,0.0,0.0,0.0
14691,83.93,0.0,0.0,0.0,0.0
14692,104.09,0.0,0.0,0.0,0.0
14693,117.91,0.0,0.0,0.0,0.0
14694,112.39,0.0,0.0,0.0,0.0
14695,126.01,0.0,0.0,0.0,0.0
14696,131.7,0.0,0.0,0.0,0.0
14697,121.96,0.0,0.0,0.0,0.0
14698,128.22,0.0,0.0,0.0,0.0
14699,108.45,0.0,0.0,0.0,0.0
14700,144.87,0.0,0.0,0.0,0.0
14701,164.75,0.0,0.0,0.0,0.0
14702,164.75,0.0,0.0,0.0,0.0
14703,162.68,0.0,0.0,0.0,0.0
14704,158.86,0.0,0.0,0.0,0.0
14705,155.63,0.0,0.0,0.0,0.0
14706,152.12,0.0,0.0,0.0,0.0
14707,187.37,0.0,0.0,0.0,0.0
14708,187.37,0.0,0.0,0.0,0.0
14709,202.21,0.0,0.0,0.0,0.0
14710,196.41,0.0,0.0,0.0,0.0
14711,197.51,0.0,0.0,0.0,0.0
14712,224.75,0.0,0.0,0.0,0.0
14713,221.41,0.0,0.0,0.0,0.0
14714,240.21,0.0,0.0,0.0,0.0
14715,234.61,0.0,0.0,0.0,0.0
14716,236.93,0.0,0.0,0.0,0.0
14717,229.62,0.0,0.0,0.0,0.0
14718,243.98,0.0,0.0,0.0,0.0
14719,229.45,0.0,0.0,0.0,0.0
14720,245.76,0.0,0.0,0.0,0.0
14721,235.48,0.0,0.0,0.0,0.0
14722,256.58,0.0,0.0,0.0,0.0
14723,255.11,0.0,0.0,0.0,0.0
14724,257.8,0.0,0.0,0.0,0.0
14725,259.92,0.0,0.0,0.0,0.0
14726,257.32,0.0,0.0,0.0,0.0
14727,245.2,0.0,0.0,0.0,0.0
14728,253.97,0.0,0.0,0.0,0.0
14729,255.02,0.0,0.0,0.0,0.0
14730,257.99,0.0,0.0,0.0,0.0
14731,256.72,0.0,0.0,0.0,0.0
14732,253.72,0.0,0.0,0.0,0.0
14733,254.06,0.0,0.0,0.0,0.0
14734,274.73,0.0,0.0,0.0,0.0
14735,258.45,0.0,0.0,0.0,0.0
14736,275.18,0.0,0.0,0.0,0.0
14737,279.52,0.0,0.0,0.0,0.0
14738,285.55,0.0,0.0,0.0,0.0
14739,282.18,0.0,0.0,0.0,0.0
14740,271.42,0.0,0.0,0.0,0.0
14741,292.29,0.0,0.0,0.0,0.0
14742,290.87,0.0,0.0,0.0,0.0
14743,284.07,0.0,0.0,0.0,0.0
14744,288.18,0.0,0.0,0.0,0.0
14745,279.29,0.0,0.0,0.0,0.0
14746,289.37,0.0,0.0,0.0,0.0
14747,255.76,0.0,0.0,0.0,0.0
14748,232.68,0.0,0.0,0.0,0.0
14749,221.13,0.0,0.0,0.0,0.0
14750,280.0,0.0,0.0,0.0,0.0
14751,280.51,0.0,0.0,0.0,0.0
14752,255.56,0.0,0.0,0.0,0.0
14753,250.32,0.0,0.0,0.0,0.0
14754,227.19,0.0,0.0,0.0,0.0
14755,204.05,0.0,0.0,0.0,0.0
14756,196.94,0.0,0.0,0.0,0.0
14757,209.01,0.0,0.0,0.0,0.0
14758,121.17,0.0,0.0,0.0,0.0
14759,22.57,0.0,0.0,0.0,0.0
14760,34.83,0.0,0.0,0.0,0.0
14761,11.95,0.0,0.0,0.0,0.0
14762,72.83,0.0,0.0,0.0,0.0
14763,92.79,0.0,0.0,0.0,0.0
14764,109.56,0.0,0.0,0.0,0.0
14765,105.88,0.0,0.0,0.0,0.0
14766,109.02,0.0,0.0,0.0,0.0
14767,108.03,0.0,0.0,0.0,0.0
14768,121.99,0.0,0.0,0.0,0.0
14769,149.2,0.0,0.0,0.0,0.0
14770,175.85,0.0,0.0,0.0,0.0
14771,188.11,0.0,0.0,0.0,0.0
14772,203.23,0.0,0.0,0.0,0.0
14773,216.54,0.0,0.0,0.0,0.0
14774,236.19,0.0,0.0,0.0,0.0
14775,232.25,0.0,0.0,0.0,0.0
14776,226.48,0.0,0.0,0.0,0.0
14777,249.9,0.0,0.0,0.0,0.0
14778,211.7,0.0,0.0,0.0,0.0
14779,261.7,0.0,0.0,0.0,0.0
14780,286.31,0.0,0.0,0.0,0.0
14781,250.21,0.0,0.0,0.0,0.0
14782,297.47,0.0,0.0,0.0,0.0
14783,240.21,0.0,0.0,0.0,0.0
14784,240.21,0.0,0.0,0.0,0.0
14785,259.27,0.0,0.0,0.0,0.0
14786,259.27,0.0,0.0,0.0,0.0
14787,276.8,0.0,0.0,0.0,0.0
14788,261.93,0.0,0.0,0.0,0.0
14789,269.86,0.0,0.0,0.0,0.0
14790,263.97,0.0,0.0,0.0,0.0
14791,282.15,0.0,0.0,0.0,0.0
14792,277.19,0.0,0.0,0.0,0.0
14793,277.19,0.0,0.0,0.0,0.0
14794,246.84,0.0,0.0,0.0,0.0
14795,228.35,0.0,0.0,0.0,0.0
14796,228.35,0.0,0.0,0.0,0.0
14797,233.05,0.0,0.0,0.0,0.0
14798,198.27,0.0,0.0,0.0,0.0
14799,206.88,0.0,0.0,0.0,0.0
14800,196.94,0.0,0.0,0.0,0.0
14801,195.64,0.0,0.0,0.0,0.0
14802,194.08,0.0,0.0,0.0,0.0
14803,206.01,0.0,0.0,0.0,0.0
14804,240.35,0.0,0.0,0.0,0.0
14805,258.22,0.0,0.0,0.0,0.0
14806,274.16,0.0,0.0,0.0,0.0
14807,257.94,0.0,0.0,0.0,0.0
14808,181.79,0.0,0.0,0.0,0.0
14809,205.84,0.0,0.0,0.0,0.0
14810,199.07,0.0,0.0,0.0,0.0
14811,217.39,0.0,0.0,0.0,0.0
14812,206.15,0.0,0.0,0.0,0.0
14813,253.61,0.0,0.0,0.0,0.0
14814,245.88,0.0,0.0,0.0,0.0
14815,257.77,0.0,0.0,0.0,0.0
14816,256.49,0.0,0.0,0.0,0.0
14817,211.53,0.0,0.0,0.0,0.0
14818,211.1,0.0,0.0,0.0,0.0
14819,179.05,0.0,0.0,0.0,0.0
14820,215.89,0.0,0.0,0.0,0.0
14821,195.07,0.0,0.0,0.0,0.0
14822,232.0,0.0,0.0,0.0,0.0
14823,219.37,0.0,0.0,0.0,0.0
14824,238.26,0.0,0.0,0.0,0.0
14825,233.05,0.0,0.0,0.0,0.0
14826,259.21,0.0,0.0,0.0,0.0
14827,251.88,0.0,0.0,0.0,0.0
14828,238.82,0.0,0.0,0.0,0.0
14829,252.93,0.0,0.0,0.0,0.0
14830,267.2,0.0,0.0,0.0,0.0
14831,258.7,0.0,0.0,0.0,0.0
14832,271.05,0.0,0.0,0.0,0.0
14833,254.0,0.0,0.0,0.0,0.0
14834,268.33,0.0,0.0,0.0,0.0
14835,260.88,0.0,0.0,0.0,0.0
14836,265.07,0.0,0.0,0.0,0.0
14837,254.0,0.0,0.0,0.0,0.0
14838,303.7,0.0,0.0,0.0,0.0
14839,270.65,0.0,0.0,0.0,0.0
14840,253.41,0.0,0.0,0.0,0.0
14841,286.37,0.0,0.0,0.0,0.0
14842,287.16,0.0,0.0,0.0,0.0
14843,285.72,0.0,0.0,0.0,0.0
14844,269.75,0.0,0.0,0.0,0.0
14845,284.05,0.0,0.0,0.0,0.0
14846,273.54,0.0,0.0,0.0,0.0
14847,258.31,0.0,0.0,0.0,0.0
14848,242.45,0.0,0.0,0.0,0.0
14849,250.49,0.0,0.0,0.0,0.0
14850,240.52,0.0,0.0,0.0,0.0
14851,236.05,0.0,0.0,0.0,0.0
14852,227.27,0.0,0.0,0.0,0.0
14853,217.93,0.0,0.0,0.0,0.0
14854,209.88,0.0,0.0,0.0,0.0
14855,178.74,0.0,0.0,0.0,0.0
14856,176.47,0.0,0.0,0.0,0.0
14857,185.14,0.0,0.0,0.0,0.0
14858,187.43,0.0,0.0,0.0,0.0
14859,150.79,0.0,0.0,0.0,0.0
14860,148.69,0.0,0.0,0.0,0.0
14861,133.17,0.0,0.0,0.0,0.0
