$2/1/1990-8/29/2024 SHA outflow (historical),,,,,
,,,,,
JDAY,QOUT,QOUT,QOUT,QOUT,QOUT
14642,78.2,0.0,0.0,0.0,0.0
14643,93.4,0.0,0.0,0.0,0.0
14644,86.2,0.0,0.0,0.0,0.0
14645,88.3,0.0,0.0,0.0,0.0
14646,91.2,0.0,0.0,0.0,0.0
14647,90.0,0.0,0.0,0.0,0.0
14648,80.4,0.0,0.0,0.0,0.0
14649,90.7,0.0,0.0,0.0,0.0
14650,89.5,0.0,0.0,0.0,0.0
14651,91.1,0.0,0.0,0.0,0.0
14652,89.5,0.0,0.0,0.0,0.0
14653,91.0,0.0,0.0,0.0,0.0
14654,90.4,0.0,0.0,0.0,0.0
14655,87.5,0.0,0.0,0.0,0.0
14656,75.4,0.0,0.0,0.0,0.0
14657,90.3,0.0,0.0,0.0,0.0
14658,92.3,0.0,0.0,0.0,0.0
14659,94.7,0.0,0.0,0.0,0.0
14660,94.8,0.0,0.0,0.0,0.0
14661,97.9,0.0,0.0,0.0,0.0
14662,92.5,0.0,0.0,0.0,0.0
14663,76.2,0.0,0.0,0.0,0.0
14664,75.7,0.0,0.0,0.0,0.0
14665,76.2,0.0,0.0,0.0,0.0
14666,76.9,0.0,0.0,0.0,0.0
14667,79.0,0.0,0.0,0.0,0.0
14668,81.4,0.0,0.0,0.0,0.0
14669,79.6,0.0,0.0,0.0,0.0
14670,80.7,0.0,0.0,0.0,0.0
14671,79.6,0.0,0.0,0.0,0.0
14672,41.7,0.0,0.0,0.0,0.0
14673,67.3,0.0,0.0,0.0,0.0
14674,79.0,0.0,0.0,0.0,0.0
14675,75.6,0.0,0.0,0.0,0.0
14676,75.5,0.0,0.0,0.0,0.0
14677,72.9,0.0,0.0,0.0,0.0
14678,76.2,0.0,0.0,0.0,0.0
14679,85.6,0.0,0.0,0.0,0.0
14680,72.6,0.0,0.0,0.0,0.0
14681,76.2,0.0,0.0,0.0,0.0
14682,70.8,0.0,0.0,0.0,0.0
14683,78.3,0.0,0.0,0.0,0.0
14684,74.9,0.0,0.0,0.0,0.0
14685,58.1,0.0,0.0,0.0,0.0
14686,74.8,0.0,0.0,0.0,0.0
14687,82.0,0.0,0.0,0.0,0.0
14688,71.2,0.0,0.0,0.0,0.0
14689,93.8,0.0,0.0,0.0,0.0
14690,89.0,0.0,0.0,0.0,0.0
14691,88.0,0.0,0.0,0.0,0.0
14692,108.1,0.0,0.0,0.0,0.0
14693,121.9,0.0,0.0,0.0,0.0
14694,116.4,0.0,0.0,0.0,0.0
14695,130.0,0.0,0.0,0.0,0.0
14696,135.7,0.0,0.0,0.0,0.0
14697,126.0,0.0,0.0,0.0,0.0
14698,132.3,0.0,0.0,0.0,0.0
14699,112.5,0.0,0.0,0.0,0.0
14700,148.9,0.0,0.0,0.0,0.0
14701,168.8,0.0,0.0,0.0,0.0
14702,168.8,0.0,0.0,0.0,0.0
14703,166.7,0.0,0.0,0.0,0.0
14704,162.9,0.0,0.0,0.0,0.0
14705,159.7,0.0,0.0,0.0,0.0
14706,156.2,0.0,0.0,0.0,0.0
14707,191.4,0.0,0.0,0.0,0.0
14708,191.4,0.0,0.0,0.0,0.0
14709,206.2,0.0,0.0,0.0,0.0
14710,200.4,0.0,0.0,0.0,0.0
14711,201.5,0.0,0.0,0.0,0.0
14712,228.8,0.0,0.0,0.0,0.0
14713,225.4,0.0,0.0,0.0,0.0
14714,244.2,0.0,0.0,0.0,0.0
14715,238.6,0.0,0.0,0.0,0.0
14716,241.0,0.0,0.0,0.0,0.0
14717,233.7,0.0,0.0,0.0,0.0
14718,248.0,0.0,0.0,0.0,0.0
14719,233.5,0.0,0.0,0.0,0.0
14720,249.8,0.0,0.0,0.0,0.0
14721,239.5,0.0,0.0,0.0,0.0
14722,260.6,0.0,0.0,0.0,0.0
14723,259.1,0.0,0.0,0.0,0.0
14724,261.8,0.0,0.0,0.0,0.0
14725,264.0,0.0,0.0,0.0,0.0
14726,261.3,0.0,0.0,0.0,0.0
14727,249.2,0.0,0.0,0.0,0.0
14728,258.0,0.0,0.0,0.0,0.0
14729,259.1,0.0,0.0,0.0,0.0
14730,262.0,0.0,0.0,0.0,0.0
14731,260.8,0.0,0.0,0.0,0.0
14732,257.8,0.0,0.0,0.0,0.0
14733,258.1,0.0,0.0,0.0,0.0
14734,278.8,0.0,0.0,0.0,0.0
14735,262.5,0.0,0.0,0.0,0.0
14736,279.2,0.0,0.0,0.0,0.0
14737,283.5,0.0,0.0,0.0,0.0
14738,289.6,0.0,0.0,0.0,0.0
14739,286.2,0.0,0.0,0.0,0.0
14740,275.5,0.0,0.0,0.0,0.0
14741,296.3,0.0,0.0,0.0,0.0
14742,294.9,0.0,0.0,0.0,0.0
14743,288.1,0.0,0.0,0.0,0.0
14744,292.2,0.0,0.0,0.0,0.0
14745,283.3,0.0,0.0,0.0,0.0
14746,293.4,0.0,0.0,0.0,0.0
14747,259.8,0.0,0.0,0.0,0.0
14748,236.7,0.0,0.0,0.0,0.0
14749,225.2,0.0,0.0,0.0,0.0
14750,284.0,0.0,0.0,0.0,0.0
14751,284.5,0.0,0.0,0.0,0.0
14752,259.6,0.0,0.0,0.0,0.0
14753,254.4,0.0,0.0,0.0,0.0
14754,231.2,0.0,0.0,0.0,0.0
14755,208.1,0.0,0.0,0.0,0.0
14756,201.0,0.0,0.0,0.0,0.0
14757,213.0,0.0,0.0,0.0,0.0
14758,125.2,0.0,0.0,0.0,0.0
14759,26.6,0.0,0.0,0.0,0.0
14760,38.9,0.0,0.0,0.0,0.0
14761,16.0,0.0,0.0,0.0,0.0
14762,76.9,0.0,0.0,0.0,0.0
14763,96.8,0.0,0.0,0.0,0.0
14764,113.6,0.0,0.0,0.0,0.0
14765,109.9,0.0,0.0,0.0,0.0
14766,113.1,0.0,0.0,0.0,0.0
14767,112.1,0.0,0.0,0.0,0.0
14768,126.0,0.0,0.0,0.0,0.0
14769,153.2,0.0,0.0,0.0,0.0
14770,179.9,0.0,0.0,0.0,0.0
14771,192.1,0.0,0.0,0.0,0.0
14772,207.3,0.0,0.0,0.0,0.0
14773,220.6,0.0,0.0,0.0,0.0
14774,240.2,0.0,0.0,0.0,0.0
14775,236.3,0.0,0.0,0.0,0.0
14776,230.5,0.0,0.0,0.0,0.0
14777,253.9,0.0,0.0,0.0,0.0
14778,215.7,0.0,0.0,0.0,0.0
14779,265.7,0.0,0.0,0.0,0.0
14780,290.3,0.0,0.0,0.0,0.0
14781,254.2,0.0,0.0,0.0,0.0
14782,301.5,0.0,0.0,0.0,0.0
14783,244.2,0.0,0.0,0.0,0.0
14784,244.2,0.0,0.0,0.0,0.0
14785,263.3,0.0,0.0,0.0,0.0
14786,263.3,0.0,0.0,0.0,0.0
14787,280.8,0.0,0.0,0.0,0.0
14788,266.0,0.0,0.0,0.0,0.0
14789,273.9,0.0,0.0,0.0,0.0
14790,268.0,0.0,0.0,0.0,0.0
14791,286.2,0.0,0.0,0.0,0.0
14792,281.2,0.0,0.0,0.0,0.0
14793,281.2,0.0,0.0,0.0,0.0
14794,250.9,0.0,0.0,0.0,0.0
14795,232.4,0.0,0.0,0.0,0.0
14796,232.4,0.0,0.0,0.0,0.0
14797,237.1,0.0,0.0,0.0,0.0
14798,202.3,0.0,0.0,0.0,0.0
14799,210.9,0.0,0.0,0.0,0.0
14800,201.0,0.0,0.0,0.0,0.0
14801,199.7,0.0,0.0,0.0,0.0
14802,198.1,0.0,0.0,0.0,0.0
14803,210.0,0.0,0.0,0.0,0.0
14804,244.4,0.0,0.0,0.0,0.0
14805,262.3,0.0,0.0,0.0,0.0
14806,278.2,0.0,0.0,0.0,0.0
14807,262.0,0.0,0.0,0.0,0.0
14808,185.8,0.0,0.0,0.0,0.0
14809,209.9,0.0,0.0,0.0,0.0
14810,203.1,0.0,0.0,0.0,0.0
14811,221.4,0.0,0.0,0.0,0.0
14812,210.2,0.0,0.0,0.0,0.0
14813,257.6,0.0,0.0,0.0,0.0
14814,249.9,0.0,0.0,0.0,0.0
14815,261.8,0.0,0.0,0.0,0.0
14816,260.5,0.0,0.0,0.0,0.0
14817,215.6,0.0,0.0,0.0,0.0
14818,215.1,0.0,0.0,0.0,0.0
14819,183.1,0.0,0.0,0.0,0.0
14820,219.9,0.0,0.0,0.0,0.0
14821,199.1,0.0,0.0,0.0,0.0
14822,236.0,0.0,0.0,0.0,0.0
14823,223.4,0.0,0.0,0.0,0.0
14824,242.3,0.0,0.0,0.0,0.0
14825,237.1,0.0,0.0,0.0,0.0
14826,263.2,0.0,0.0,0.0,0.0
14827,255.9,0.0,0.0,0.0,0.0
14828,242.9,0.0,0.0,0.0,0.0
14829,257.0,0.0,0.0,0.0,0.0
14830,271.2,0.0,0.0,0.0,0.0
14831,262.7,0.0,0.0,0.0,0.0
14832,275.1,0.0,0.0,0.0,0.0
14833,258.0,0.0,0.0,0.0,0.0
14834,272.4,0.0,0.0,0.0,0.0
14835,264.9,0.0,0.0,0.0,0.0
14836,269.1,0.0,0.0,0.0,0.0
14837,258.0,0.0,0.0,0.0,0.0
14838,307.7,0.0,0.0,0.0,0.0
14839,274.7,0.0,0.0,0.0,0.0
14840,257.4,0.0,0.0,0.0,0.0
14841,290.4,0.0,0.0,0.0,0.0
14842,291.2,0.0,0.0,0.0,0.0
14843,289.8,0.0,0.0,0.0,0.0
14844,273.8,0.0,0.0,0.0,0.0
14845,288.1,0.0,0.0,0.0,0.0
14846,277.6,0.0,0.0,0.0,0.0
14847,262.3,0.0,0.0,0.0,0.0
14848,246.5,0.0,0.0,0.0,0.0
14849,254.5,0.0,0.0,0.0,0.0
14850,244.6,0.0,0.0,0.0,0.0
14851,240.1,0.0,0.0,0.0,0.0
14852,231.3,0.0,0.0,0.0,0.0
14853,222.0,0.0,0.0,0.0,0.0
14854,213.9,0.0,0.0,0.0,0.0
14855,182.8,0.0,0.0,0.0,0.0
14856,180.5,0.0,0.0,0.0,0.0
14857,189.2,0.0,0.0,0.0,0.0
14858,191.5,0.0,0.0,0.0,0.0
14859,154.8,0.0,0.0,0.0,0.0
14860,152.7,0.0,0.0,0.0,0.0
14861,137.2,0.0,0.0,0.0,0.0
14862,137.2,0.0,0.0,0.0,0.0
14863,135.6,0.0,0.0,0.0,0.0
14864,132.8,0.0,0.0,0.0,0.0
14865,123.1,0.0,0.0,0.0,0.0
14866,148.6,0.0,0.0,0.0,0.0
14867,113.2,0.0,0.0,0.0,0.0
14868,98.2,0.0,0.0,0.0,0.0
14869,101.8,0.0,0.0,0.0,0.0
14870,101.8,0.0,0.0,0.0,0.0
14871,102.0,0.0,0.0,0.0,0.0
14872,103.5,0.0,0.0,0.0,0.0
14873,133.1,0.0,0.0,0.0,0.0
14874,128.1,0.0,0.0,0.0,0.0
14875,86.9,0.0,0.0,0.0,0.0
14876,78.7,0.0,0.0,0.0,0.0
14877,80.4,0.0,0.0,0.0,0.0
14878,80.7,0.0,0.0,0.0,0.0
14879,91.2,0.0,0.0,0.0,0.0
14880,78.4,0.0,0.0,0.0,0.0
14881,79.2,0.0,0.0,0.0,0.0
14882,70.6,0.0,0.0,0.0,0.0
14883,53.1,0.0,0.0,0.0,0.0
14884,53.6,0.0,0.0,0.0,0.0
14885,56.9,0.0,0.0,0.0,0.0
14886,61.4,0.0,0.0,0.0,0.0
14887,68.8,0.0,0.0,0.0,0.0
14888,75.0,0.0,0.0,0.0,0.0
14889,78.6,0.0,0.0,0.0,0.0
14890,82.9,0.0,0.0,0.0,0.0
14891,90.5,0.0,0.0,0.0,0.0
14892,88.1,0.0,0.0,0.0,0.0
14893,86.1,0.0,0.0,0.0,0.0
14894,99.2,0.0,0.0,0.0,0.0
14895,98.5,0.0,0.0,0.0,0.0
14896,111.2,0.0,0.0,0.0,0.0
14897,110.4,0.0,0.0,0.0,0.0
14898,109.2,0.0,0.0,0.0,0.0
14899,53.0,0.0,0.0,0.0,0.0
14900,54.3,0.0,0.0,0.0,0.0
14901,45.6,0.0,0.0,0.0,0.0
14902,43.3,0.0,0.0,0.0,0.0
14903,61.9,0.0,0.0,0.0,0.0
14904,68.0,0.0,0.0,0.0,0.0
14905,67.0,0.0,0.0,0.0,0.0
14906,66.9,0.0,0.0,0.0,0.0
14907,65.5,0.0,0.0,0.0,0.0
14908,68.4,0.0,0.0,0.0,0.0
14909,66.2,0.0,0.0,0.0,0.0
14910,66.4,0.0,0.0,0.0,0.0
14911,70.4,0.0,0.0,0.0,0.0
14912,67.0,0.0,0.0,0.0,0.0
14913,67.3,0.0,0.0,0.0,0.0
14914,66.2,0.0,0.0,0.0,0.0
14915,66.5,0.0,0.0,0.0,0.0
14916,81.3,0.0,0.0,0.0,0.0
14917,96.9,0.0,0.0,0.0,0.0
14918,108.0,0.0,0.0,0.0,0.0
14919,90.7,0.0,0.0,0.0,0.0
14920,89.4,0.0,0.0,0.0,0.0
14921,96.4,0.0,0.0,0.0,0.0
14922,83.2,0.0,0.0,0.0,0.0
14923,83.2,0.0,0.0,0.0,0.0
14924,83.2,0.0,0.0,0.0,0.0
14925,83.2,0.0,0.0,0.0,0.0
14926,71.3,0.0,0.0,0.0,0.0
14927,88.8,0.0,0.0,0.0,0.0
14928,97.1,0.0,0.0,0.0,0.0
14929,116.0,0.0,0.0,0.0,0.0
14930,116.0,0.0,0.0,0.0,0.0
14931,116.0,0.0,0.0,0.0,0.0
14932,94.0,0.0,0.0,0.0,0.0
14933,78.3,0.0,0.0,0.0,0.0
14934,107.8,0.0,0.0,0.0,0.0
14935,107.8,0.0,0.0,0.0,0.0
14936,107.8,0.0,0.0,0.0,0.0
14937,107.8,0.0,0.0,0.0,0.0
14938,107.8,0.0,0.0,0.0,0.0
14939,109.9,0.0,0.0,0.0,0.0
14940,107.3,0.0,0.0,0.0,0.0
14941,109.0,0.0,0.0,0.0,0.0
14942,110.0,0.0,0.0,0.0,0.0
14943,111.2,0.0,0.0,0.0,0.0
14944,111.2,0.0,0.0,0.0,0.0
14945,111.2,0.0,0.0,0.0,0.0
14946,99.0,0.0,0.0,0.0,0.0
14947,107.0,0.0,0.0,0.0,0.0
14948,106.1,0.0,0.0,0.0,0.0
14949,106.6,0.0,0.0,0.0,0.0
14950,108.6,0.0,0.0,0.0,0.0
14951,108.6,0.0,0.0,0.0,0.0
14952,108.6,0.0,0.0,0.0,0.0
14953,106.3,0.0,0.0,0.0,0.0
14954,108.6,0.0,0.0,0.0,0.0
14955,111.3,0.0,0.0,0.0,0.0
14956,111.3,0.0,0.0,0.0,0.0
14957,111.3,0.0,0.0,0.0,0.0
14958,111.3,0.0,0.0,0.0,0.0
14959,111.3,0.0,0.0,0.0,0.0
14960,95.3,0.0,0.0,0.0,0.0
14961,101.9,0.0,0.0,0.0,0.0
14962,100.9,0.0,0.0,0.0,0.0
14963,103.3,0.0,0.0,0.0,0.0
14964,131.5,0.0,0.0,0.0,0.0
14965,131.5,0.0,0.0,0.0,0.0
14966,131.5,0.0,0.0,0.0,0.0
14967,131.5,0.0,0.0,0.0,0.0
14968,131.5,0.0,0.0,0.0,0.0
14969,121.9,0.0,0.0,0.0,0.0
14970,121.7,0.0,0.0,0.0,0.0
14971,136.9,0.0,0.0,0.0,0.0
14972,136.9,0.0,0.0,0.0,0.0
14973,136.9,0.0,0.0,0.0,0.0
14974,136.9,0.0,0.0,0.0,0.0
14975,136.9,0.0,0.0,0.0,0.0
14976,129.9,0.0,0.0,0.0,0.0
14977,122.5,0.0,0.0,0.0,0.0
14978,129.6,0.0,0.0,0.0,0.0
14979,129.6,0.0,0.0,0.0,0.0
14980,129.6,0.0,0.0,0.0,0.0
14981,125.8,0.0,0.0,0.0,0.0
14982,129.7,0.0,0.0,0.0,0.0
14983,126.4,0.0,0.0,0.0,0.0
14984,129.2,0.0,0.0,0.0,0.0
14985,125.0,0.0,0.0,0.0,0.0
14986,125.0,0.0,0.0,0.0,0.0
14987,125.0,0.0,0.0,0.0,0.0
14988,125.0,0.0,0.0,0.0,0.0
14989,122.9,0.0,0.0,0.0,0.0
14990,123.9,0.0,0.0,0.0,0.0
14991,122.8,0.0,0.0,0.0,0.0
14992,120.9,0.0,0.0,0.0,0.0
14993,120.9,0.0,0.0,0.0,0.0
14994,120.9,0.0,0.0,0.0,0.0
14995,120.9,0.0,0.0,0.0,0.0
14996,129.4,0.0,0.0,0.0,0.0
14997,131.5,0.0,0.0,0.0,0.0
14998,115.0,0.0,0.0,0.0,0.0
14999,109.0,0.0,0.0,0.0,0.0
15000,109.0,0.0,0.0,0.0,0.0
15001,109.0,0.0,0.0,0.0,0.0
15002,126.0,0.0,0.0,0.0,0.0
15003,122.6,0.0,0.0,0.0,0.0
15004,138.3,0.0,0.0,0.0,0.0
15005,137.5,0.0,0.0,0.0,0.0
15006,148.5,0.0,0.0,0.0,0.0
15007,148.5,0.0,0.0,0.0,0.0
15008,148.5,0.0,0.0,0.0,0.0
15009,145.6,0.0,0.0,0.0,0.0
15010,151.7,0.0,0.0,0.0,0.0
15011,125.9,0.0,0.0,0.0,0.0
15012,99.4,0.0,0.0,0.0,0.0
15013,98.2,0.0,0.0,0.0,0.0
15014,98.2,0.0,0.0,0.0,0.0
15015,98.2,0.0,0.0,0.0,0.0
15016,90.6,0.0,0.0,0.0,0.0
15017,90.6,0.0,0.0,0.0,0.0
15018,90.6,0.0,0.0,0.0,0.0
15019,118.0,0.0,0.0,0.0,0.0
15020,110.7,0.0,0.0,0.0,0.0
15021,110.7,0.0,0.0,0.0,0.0
15022,110.7,0.0,0.0,0.0,0.0
