"JDAY","QOUT","QOUT.1","QOUT.2","QOUT.3","QOUT.4"
16710,3.25730588393824,0,0,0,0
16711,159.167305883938,0,0,0,0
16712,135.017305883938,0,0,0,0
16713,124.307305883938,0,0,0,0
16714,103.557305883938,0,0,0,0
16715,119.417305883938,0,0,0,0
16716,121.987305883938,0,0,0,0
16717,127.287305883938,0,0,0,0
16718,131.897305883938,0,0,0,0
16719,124.507305883938,0,0,0,0
16720,130.007305883938,0,0,0,0
16721,115.047305883938,0,0,0,0
16722,105.167305883938,0,0,0,0
16723,111.687305883938,0,0,0,0
16724,115.537305883938,0,0,0,0
16725,112.027305883938,0,0,0,0
16726,121.057305883938,0,0,0,0
16727,123.657305883938,0,0,0,0
16728,112.027305883938,0,0,0,0
16729,97.0173058839382,0,0,0,0
16730,113.377305883938,0,0,0,0
16731,128.897305883938,0,0,0,0
16732,115.307305883938,0,0,0,0
16733,149.057305883938,0,0,0,0
16734,150.587305883938,0,0,0,0
16735,149.487305883938,0,0,0,0
16736,140.027305883938,0,0,0,0
16737,143.397305883938,0,0,0,0
16738,145.857305883938,0,0,0,0
16739,155.237305883938,0,0,0,0
16740,148.747305883938,0,0,0,0
16741,137.257305883938,0,0,0,0
16742,113.867305883938,0,0,0,0
16743,150.107305883938,0,0,0,0
16744,115.787305883938,0,0,0,0
16745,119.267305883938,0,0,0,0
16746,153.447305883938,0,0,0,0
16747,157.527305883938,0,0,0,0
16748,129.747305883938,0,0,0,0
16749,129.747305883938,0,0,0,0
16750,154.017305883938,0,0,0,0
16751,153.567305883938,0,0,0,0
16752,135.777305883938,0,0,0,0
16753,144.477305883938,0,0,0,0
16754,123.887305883938,0,0,0,0
16755,129.467305883938,0,0,0,0
16756,131.507305883938,0,0,0,0
16757,151.867305883938,0,0,0,0
16758,145.467305883938,0,0,0,0
16759,149.397305883938,0,0,0,0
16760,136.577305883938,0,0,0,0
16761,139.437305883938,0,0,0,0
16762,143.287305883938,0,0,0,0
16763,133.037305883938,0,0,0,0
16764,152.177305883938,0,0,0,0
16765,138.017305883938,0,0,0,0
16766,135.017305883938,0,0,0,0
16767,133.347305883938,0,0,0,0
16768,132.187305883938,0,0,0,0
16769,137.617305883938,0,0,0,0
16770,137.927305883938,0,0,0,0
16771,137.767305883938,0,0,0,0
16772,143.367305883938,0,0,0,0
16773,130.627305883938,0,0,0,0
16774,118.737305883938,0,0,0,0
16775,129.377305883938,0,0,0,0
16776,144.477305883938,0,0,0,0
16777,143.337305883938,0,0,0,0
16778,158.407305883938,0,0,0,0
16779,150.107305883938,0,0,0,0
16780,142.127305883938,0,0,0,0
16781,144.307305883938,0,0,0,0
16782,76.7073058839382,0,0,0,0
16783,72.4673058839382,0,0,0,0
16784,102.277305883938,0,0,0,0
16785,95.0573058839382,0,0,0,0
16786,88.9773058839382,0,0,0,0
16787,138.867305883938,0,0,0,0
16788,136.457305883938,0,0,0,0
16789,134.247305883938,0,0,0,0
16790,129.097305883938,0,0,0,0
16791,140.937305883938,0,0,0,0
16792,139.577305883938,0,0,0,0
16793,136.827305883938,0,0,0,0
16794,134.537305883938,0,0,0,0
16795,138.607305883938,0,0,0,0
16796,142.607305883938,0,0,0,0
16797,139.067305883938,0,0,0,0
16798,133.687305883938,0,0,0,0
16799,136.117305883938,0,0,0,0
16800,119.357305883938,0,0,0,0
16801,119.217305883938,0,0,0,0
16802,139.207305883938,0,0,0,0
16803,142.347305883938,0,0,0,0
16804,139.317305883938,0,0,0,0
16805,136.687305883938,0,0,0,0
16806,126.887305883938,0,0,0,0
16807,127.567305883938,0,0,0,0
16808,125.447305883938,0,0,0,0
16809,119.097305883938,0,0,0,0
16810,120.007305883938,0,0,0,0
16811,104.007305883938,0,0,0,0
16812,107.777305883938,0,0,0,0
16813,117.747305883938,0,0,0,0
16814,126.437305883938,0,0,0,0
16815,118.587305883938,0,0,0,0
16816,123.967305883938,0,0,0,0
16817,103.327305883938,0,0,0,0
16818,76.8573058839382,0,0,0,0
16819,94.0673058839382,0,0,0,0
16820,92.1473058839382,0,0,0,0
16821,96.1973058839382,0,0,0,0
16822,78.4373058839383,0,0,0,0
16823,84.1573058839382,0,0,0,0
16824,99.3973058839382,0,0,0,0
16825,109.357305883938,0,0,0,0
16826,105.817305883938,0,0,0,0
16827,113.527305883938,0,0,0,0
16828,278.217305883938,0,0,0,0
16829,314.207305883938,0,0,0,0
16830,352.627305883938,0,0,0,0
16831,298.257305883938,0,0,0,0
16832,248.767305883938,0,0,0,0
16833,187.397305883938,0,0,0,0
16834,153.567305883938,0,0,0,0
16835,164.497305883938,0,0,0,0
16836,114.567305883938,0,0,0,0
16837,90.3273058839382,0,0,0,0
16838,205.437305883938,0,0,0,0
16839,238.227305883938,0,0,0,0
16840,259.067305883938,0,0,0,0
16841,213.287305883938,0,0,0,0
16842,446.447305883938,0,0,0,0
16843,487.477305883938,0,0,0,0
16844,541.527305883938,0,0,0,0
16845,783.467305883938,0,0,0,0
16846,859.647305883938,0,0,0,0
16847,838.377305883938,0,0,0,0
16848,678.817305883938,0,0,0,0
16849,690.757305883938,0,0,0,0
16850,770.667305883938,0,0,0,0
16851,882.377305883938,0,0,0,0
16852,854.687305883938,0,0,0,0
16853,935.047305883938,0,0,0,0
16854,395.697305883938,0,0,0,0
16855,1405.59730588394,0,0,0,0
16856,1475.61730588394,0,0,0,0
16857,1424.30730588394,0,0,0,0
16858,1476.32730588394,0,0,0,0
16859,1299.26730588394,0,0,0,0
16860,1187.09730588394,0,0,0,0
16861,928.167305883938,0,0,0,0
16862,988.997305883938,0,0,0,0
16863,963.937305883938,0,0,0,0
16864,849.057305883938,0,0,0,0
16865,880.257305883938,0,0,0,0
16866,720.887305883938,0,0,0,0
16867,576.187305883938,0,0,0,0
16868,608.137305883938,0,0,0,0
16869,579.957305883938,0,0,0,0
16870,581.907305883938,0,0,0,0
16871,491.557305883938,0,0,0,0
16872,419.037305883938,0,0,0,0
16873,388.087305883938,0,0,0,0
16874,445.287305883938,0,0,0,0
16875,450.097305883938,0,0,0,0
16876,393.377305883938,0,0,0,0
16877,3.25730588393824,0,0,0,0
16878,244.377305883938,0,0,0,0
16879,273.857305883938,0,0,0,0
16880,268.017305883938,0,0,0,0
16881,215.917305883938,0,0,0,0
16882,191.567305883938,0,0,0,0
16883,184.117305883938,0,0,0,0
16884,144.837305883938,0,0,0,0
16885,145.857305883938,0,0,0,0
16886,140.787305883938,0,0,0,0
16887,136.627305883938,0,0,0,0
16888,153.197305883938,0,0,0,0
16889,125.837305883938,0,0,0,0
16890,134.247305883938,0,0,0,0
16891,122.527305883938,0,0,0,0
16892,124.907305883938,0,0,0,0
16893,132.207305883938,0,0,0,0
16894,115.957305883938,0,0,0,0
16895,116.437305883938,0,0,0,0
16896,124.027305883938,0,0,0,0
16897,123.207305883938,0,0,0,0
16898,120.827305883938,0,0,0,0
16899,118.787305883938,0,0,0,0
16900,130.397305883938,0,0,0,0
16901,114.227305883938,0,0,0,0
16902,115.447305883938,0,0,0,0
16903,128.077305883938,0,0,0,0
16904,129.297305883938,0,0,0,0
16905,138.947305883938,0,0,0,0
16906,125.277305883938,0,0,0,0
16907,120.487305883938,0,0,0,0
16908,126.127305883938,0,0,0,0
16909,122.387305883938,0,0,0,0
16910,111.317305883938,0,0,0,0
16911,109.837305883938,0,0,0,0
16912,92.5973058839382,0,0,0,0
16913,95.2873058839382,0,0,0,0
16914,102.087305883938,0,0,0,0
16915,102.397305883938,0,0,0,0
16916,101.967305883938,0,0,0,0
16917,117.457305883938,0,0,0,0
16918,131.587305883938,0,0,0,0
16919,157.467305883938,0,0,0,0
16920,170.127305883938,0,0,0,0
16921,166.507305883938,0,0,0,0
16922,166.847305883938,0,0,0,0
16923,197.317305883938,0,0,0,0
16924,201.337305883938,0,0,0,0
16925,173.897305883938,0,0,0,0
16926,163.867305883938,0,0,0,0
16927,153.757305883938,0,0,0,0
16928,157.187305883938,0,0,0,0
16929,158.917305883938,0,0,0,0
16930,157.867305883938,0,0,0,0
16931,182.557305883938,0,0,0,0
16932,209.377305883938,0,0,0,0
16933,224.527305883938,0,0,0,0
16934,227.897305883938,0,0,0,0
16935,236.047305883938,0,0,0,0
16936,259.437305883938,0,0,0,0
16937,260.827305883938,0,0,0,0
16938,226.057305883938,0,0,0,0
16939,184.087305883938,0,0,0,0
16940,164.577305883938,0,0,0,0
16941,401.447305883938,0,0,0,0
16942,400.857305883938,0,0,0,0
16943,422.487305883938,0,0,0,0
16944,481.837305883938,0,0,0,0
16945,426.537305883938,0,0,0,0
16946,389.777305883938,0,0,0,0
16947,410.307305883938,0,0,0,0
16948,332.697305883938,0,0,0,0
16949,281.327305883938,0,0,0,0
16950,331.617305883938,0,0,0,0
16951,380.017305883938,0,0,0,0
16952,372.367305883938,0,0,0,0
16953,372.367305883938,0,0,0,0
16954,370.977305883938,0,0,0,0
16955,349.177305883938,0,0,0,0
16956,406.407305883938,0,0,0,0
16957,371.747305883938,0,0,0,0
16958,406.037305883938,0,0,0,0
16959,408.387305883938,0,0,0,0
16960,397.967305883938,0,0,0,0
16961,352.177305883938,0,0,0,0
16962,391.257305883938,0,0,0,0
16963,360.307305883938,0,0,0,0
16964,345.237305883938,0,0,0,0
16965,340.677305883938,0,0,0,0
16966,342.067305883938,0,0,0,0
16967,362.997305883938,0,0,0,0
16968,322.867305883938,0,0,0,0
16969,330.257305883938,0,0,0,0
16970,301.627305883938,0,0,0,0
16971,332.097305883938,0,0,0,0
16972,275.777305883938,0,0,0,0
16973,309.957305883938,0,0,0,0
16974,270.227305883938,0,0,0,0
16975,303.357305883938,0,0,0,0
16976,294.977305883938,0,0,0,0
16977,291.407305883938,0,0,0,0
16978,240.157305883938,0,0,0,0
16979,259.387305883938,0,0,0,0
16980,273.967305883938,0,0,0,0
16981,273.627305883938,0,0,0,0
16982,275.467305883938,0,0,0,0
16983,297.667305883938,0,0,0,0
16984,332.297305883938,0,0,0,0
16985,340.317305883938,0,0,0,0
16986,330.937305883938,0,0,0,0
16987,318.197305883938,0,0,0,0
16988,317.437305883938,0,0,0,0
16989,329.467305883938,0,0,0,0
16990,329.667305883938,0,0,0,0
16991,326.017305883938,0,0,0,0
16992,338.807305883938,0,0,0,0
16993,329.947305883938,0,0,0,0
16994,341.277305883938,0,0,0,0
16995,345.467305883938,0,0,0,0
16996,337.397305883938,0,0,0,0
16997,297.807305883938,0,0,0,0
16998,298.797305883938,0,0,0,0
16999,290.897305883938,0,0,0,0
17000,297.157305883938,0,0,0,0
17001,275.807305883938,0,0,0,0
17002,311.117305883938,0,0,0,0
17003,306.447305883938,0,0,0,0
17004,308.797305883938,0,0,0,0
17005,307.297305883938,0,0,0,0
17006,331.907305883938,0,0,0,0
17007,328.617305883938,0,0,0,0
17008,312.647305883938,0,0,0,0
17009,312.847305883938,0,0,0,0
17010,327.177305883938,0,0,0,0
17011,336.997305883938,0,0,0,0
