$10/1/1995-12/31/2016 SHA outflow (historical),,,,,
,,,,,
JDAY,QOUT,QOUT,QOUT,QOUT,QOUT
16710,1.6,1.6,0.0,0.0,0.0
16711,79.6,79.6,0.0,0.0,0.0
16712,67.5,67.5,0.0,0.0,0.0
16713,62.2,62.2,0.0,0.0,0.0
16714,51.8,51.8,0.0,0.0,0.0
16715,59.7,59.7,0.0,0.0,0.0
16716,61.0,61.0,0.0,0.0,0.0
16717,63.6,63.6,0.0,0.0,0.0
16718,65.9,65.9,0.0,0.0,0.0
16719,62.3,62.3,0.0,0.0,0.0
16720,65.0,65.0,0.0,0.0,0.0
16721,57.5,57.5,0.0,0.0,0.0
16722,52.6,52.6,0.0,0.0,0.0
16723,55.8,55.8,0.0,0.0,0.0
16724,57.8,57.8,0.0,0.0,0.0
16725,56.0,56.0,0.0,0.0,0.0
16726,60.5,60.5,0.0,0.0,0.0
16727,61.8,61.8,0.0,0.0,0.0
16728,56.0,56.0,0.0,0.0,0.0
16729,48.5,48.5,0.0,0.0,0.0
16730,56.7,56.7,0.0,0.0,0.0
16731,64.4,64.4,0.0,0.0,0.0
16732,57.7,57.7,0.0,0.0,0.0
16733,74.5,74.5,0.0,0.0,0.0
16734,75.3,75.3,0.0,0.0,0.0
16735,74.7,74.7,0.0,0.0,0.0
16736,70.0,70.0,0.0,0.0,0.0
16737,71.7,71.7,0.0,0.0,0.0
16738,72.9,72.9,0.0,0.0,0.0
16739,77.6,77.6,0.0,0.0,0.0
16740,74.4,74.4,0.0,0.0,0.0
16741,68.6,68.6,0.0,0.0,0.0
16742,56.9,56.9,0.0,0.0,0.0
16743,75.1,75.1,0.0,0.0,0.0
16744,57.9,57.9,0.0,0.0,0.0
16745,59.6,59.6,0.0,0.0,0.0
16746,76.7,76.7,0.0,0.0,0.0
16747,78.8,78.8,0.0,0.0,0.0
16748,64.9,64.9,0.0,0.0,0.0
16749,64.9,64.9,0.0,0.0,0.0
16750,77.0,77.0,0.0,0.0,0.0
16751,76.8,76.8,0.0,0.0,0.0
16752,67.9,67.9,0.0,0.0,0.0
16753,72.2,72.2,0.0,0.0,0.0
16754,61.9,61.9,0.0,0.0,0.0
