$10/1/1995-12/31/2016 SHA outflow (historical),,,,,
,,,,,
JDAY,QOUT,QOUT,QOUT,QOUT,QOUT
16710,0.0,0.0,0.0,0.0,0.0
16711,155.91,0.0,0.0,0.0,0.0
16712,131.76,0.0,0.0,0.0,0.0
16713,121.05,0.0,0.0,0.0,0.0
16714,100.3,0.0,0.0,0.0,0.0
16715,116.16,0.0,0.0,0.0,0.0
16716,118.73,0.0,0.0,0.0,0.0
16717,124.03,0.0,0.0,0.0,0.0
16718,128.64,0.0,0.0,0.0,0.0
16719,121.25,0.0,0.0,0.0,0.0
16720,126.75,0.0,0.0,0.0,0.0
16721,111.79,0.0,0.0,0.0,0.0
16722,101.91,0.0,0.0,0.0,0.0
16723,108.43,0.0,0.0,0.0,0.0
16724,112.28,0.0,0.0,0.0,0.0
16725,108.77,0.0,0.0,0.0,0.0
16726,117.8,0.0,0.0,0.0,0.0
16727,120.4,0.0,0.0,0.0,0.0
16728,108.77,0.0,0.0,0.0,0.0
16729,93.76,0.0,0.0,0.0,0.0
16730,110.12,0.0,0.0,0.0,0.0
16731,125.64,0.0,0.0,0.0,0.0
16732,112.05,0.0,0.0,0.0,0.0
16733,145.8,0.0,0.0,0.0,0.0
16734,147.33,0.0,0.0,0.0,0.0
16735,146.23,0.0,0.0,0.0,0.0
16736,136.77,0.0,0.0,0.0,0.0
16737,140.14,0.0,0.0,0.0,0.0
16738,142.6,0.0,0.0,0.0,0.0
16739,151.98,0.0,0.0,0.0,0.0
16740,145.49,0.0,0.0,0.0,0.0
16741,134.0,0.0,0.0,0.0,0.0
16742,110.61,0.0,0.0,0.0,0.0
16743,146.85,0.0,0.0,0.0,0.0
16744,112.53,0.0,0.0,0.0,0.0
16745,116.01,0.0,0.0,0.0,0.0
16746,150.19,0.0,0.0,0.0,0.0
16747,154.27,0.0,0.0,0.0,0.0
16748,126.49,0.0,0.0,0.0,0.0
16749,126.49,0.0,0.0,0.0,0.0
16750,150.76,0.0,0.0,0.0,0.0
16751,150.31,0.0,0.0,0.0,0.0
16752,132.52,0.0,0.0,0.0,0.0
16753,141.22,0.0,0.0,0.0,0.0
16754,120.63,0.0,0.0,0.0,0.0
16755,126.21,0.0,0.0,0.0,0.0
16756,128.25,0.0,0.0,0.0,0.0
16757,148.61,0.0,0.0,0.0,0.0
16758,142.21,0.0,0.0,0.0,0.0
16759,146.14,0.0,0.0,0.0,0.0
16760,133.32,0.0,0.0,0.0,0.0
16761,136.18,0.0,0.0,0.0,0.0
16762,140.03,0.0,0.0,0.0,0.0
16763,129.78,0.0,0.0,0.0,0.0
16764,148.92,0.0,0.0,0.0,0.0
16765,134.76,0.0,0.0,0.0,0.0
16766,131.76,0.0,0.0,0.0,0.0
16767,130.09,0.0,0.0,0.0,0.0
16768,128.93,0.0,0.0,0.0,0.0
16769,134.36,0.0,0.0,0.0,0.0
16770,134.67,0.0,0.0,0.0,0.0
16771,134.51,0.0,0.0,0.0,0.0
16772,140.11,0.0,0.0,0.0,0.0
16773,127.37,0.0,0.0,0.0,0.0
16774,115.48,0.0,0.0,0.0,0.0
16775,126.12,0.0,0.0,0.0,0.0
16776,141.22,0.0,0.0,0.0,0.0
16777,140.08,0.0,0.0,0.0,0.0
16778,155.15,0.0,0.0,0.0,0.0
16779,146.85,0.0,0.0,0.0,0.0
16780,138.87,0.0,0.0,0.0,0.0
16781,141.05,0.0,0.0,0.0,0.0
16782,73.45,0.0,0.0,0.0,0.0
16783,69.21,0.0,0.0,0.0,0.0
16784,99.02,0.0,0.0,0.0,0.0
16785,91.8,0.0,0.0,0.0,0.0
16786,85.72,0.0,0.0,0.0,0.0
16787,135.61,0.0,0.0,0.0,0.0
16788,133.2,0.0,0.0,0.0,0.0
16789,130.99,0.0,0.0,0.0,0.0
16790,125.84,0.0,0.0,0.0,0.0
16791,137.68,0.0,0.0,0.0,0.0
