$10/1/1995-12/31/2016 SHA outflow (historical),,,,,
,,,,,
JDAY,QOUT,QOUT,QOUT,QOUT,QOUT
16710,3.3,0.0,0.0,0.0,0.0
16711,159.2,0.0,0.0,0.0,0.0
16712,135.0,0.0,0.0,0.0,0.0
16713,124.3,0.0,0.0,0.0,0.0
16714,103.6,0.0,0.0,0.0,0.0
16715,119.4,0.0,0.0,0.0,0.0
16716,122.0,0.0,0.0,0.0,0.0
16717,127.3,0.0,0.0,0.0,0.0
16718,131.9,0.0,0.0,0.0,0.0
16719,124.5,0.0,0.0,0.0,0.0
16720,130.0,0.0,0.0,0.0,0.0
16721,115.0,0.0,0.0,0.0,0.0
16722,105.2,0.0,0.0,0.0,0.0
16723,111.7,0.0,0.0,0.0,0.0
16724,115.5,0.0,0.0,0.0,0.0
16725,112.0,0.0,0.0,0.0,0.0
16726,121.1,0.0,0.0,0.0,0.0
16727,123.7,0.0,0.0,0.0,0.0
16728,112.0,0.0,0.0,0.0,0.0
16729,97.0,0.0,0.0,0.0,0.0
16730,113.4,0.0,0.0,0.0,0.0
16731,128.9,0.0,0.0,0.0,0.0
16732,115.3,0.0,0.0,0.0,0.0
16733,149.1,0.0,0.0,0.0,0.0
16734,150.6,0.0,0.0,0.0,0.0
16735,149.5,0.0,0.0,0.0,0.0
16736,140.0,0.0,0.0,0.0,0.0
16737,143.4,0.0,0.0,0.0,0.0
16738,145.9,0.0,0.0,0.0,0.0
16739,155.2,0.0,0.0,0.0,0.0
16740,148.7,0.0,0.0,0.0,0.0
16741,137.3,0.0,0.0,0.0,0.0
16742,113.9,0.0,0.0,0.0,0.0
16743,150.1,0.0,0.0,0.0,0.0
16744,115.8,0.0,0.0,0.0,0.0
16745,119.3,0.0,0.0,0.0,0.0
16746,153.4,0.0,0.0,0.0,0.0
16747,157.5,0.0,0.0,0.0,0.0
16748,129.7,0.0,0.0,0.0,0.0
16749,129.7,0.0,0.0,0.0,0.0
16750,154.0,0.0,0.0,0.0,0.0
16751,153.6,0.0,0.0,0.0,0.0
16752,135.8,0.0,0.0,0.0,0.0
16753,144.5,0.0,0.0,0.0,0.0
16754,123.9,0.0,0.0,0.0,0.0
16755,129.5,0.0,0.0,0.0,0.0
16756,131.5,0.0,0.0,0.0,0.0
16757,151.9,0.0,0.0,0.0,0.0
16758,145.5,0.0,0.0,0.0,0.0
