JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,ICETH(m),Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),ReaerationCoeff(day-1),     MAC,
 14642.000,  3600.000,   297.200,     4.000,     0.001,     0.000,     0.000,     0.250,   121.640,  1455.700,     1.000,     0.000,     4.000,   -86.202,     0.000,   266.206,   325.096,    16.407,    10.906,     0.000,         0.000,
 14643.000,  2233.667,   297.261,     3.991,     0.001,     0.000,     0.000,     0.250,   121.701,  1455.700,     1.000,     0.000,     3.991,  -102.002,     0.000,   246.252,   325.055,    15.433,     7.766,     0.000,         0.000,
 14644.000,  2303.881,   297.317,     3.982,     0.001,     0.000,     0.000,     0.250,   121.757,  1455.700,     1.000,     0.000,     3.983,   -47.733,     0.000,   280.091,   325.058,     8.879,    -6.114,     0.000,         0.000,
 14645.000,  3600.000,   297.409,     3.982,     0.001,     0.000,     0.000,     0.250,   121.849,  1455.700,     1.000,     0.000,     3.980,  -109.648,     0.000,   240.737,   324.988,    15.493,     9.904,     0.000,         0.000,
 14646.000,  3600.000,   297.488,     3.982,     0.001,     0.000,     0.000,     0.250,   121.928,  1455.700,     1.000,     0.000,     3.975,  -110.713,     0.000,   248.688,   324.360,    25.098,     9.943,     0.000,         0.000,
 14647.000,  1448.747,   297.553,     3.982,     0.001,     0.000,     0.000,     0.250,   121.993,  1455.700,     1.000,     0.000,     3.960,   -83.974,     0.000,   257.031,   323.815,    14.222,     2.968,     0.000,         0.000,
 14648.000,  2862.683,   297.609,     3.982,     0.001,     0.000,     0.000,     0.250,   122.049,  1455.700,     1.000,     0.000,     3.976,  -139.728,     0.000,   227.809,   324.372,    28.656,    14.509,     0.000,         0.000,
 14649.000,  3600.000,   297.669,     3.982,     0.001,     0.000,     0.000,     0.250,   122.109,  1455.700,     1.000,     0.000,     3.979,   -75.524,     0.000,   273.007,   324.688,    22.045,     1.798,     0.000,         0.000,
 14650.000,  2673.645,   297.726,     3.981,     0.001,     0.000,     0.000,     0.250,   122.166,  1455.700,     1.000,     0.000,     3.979,   -49.360,     0.000,   275.065,   324.832,     5.848,    -6.256,     0.000,         0.000,
 14651.000,    38.823,   297.774,     3.980,     0.001,     0.000,     0.000,     0.250,   122.214,  1455.700,     1.000,     0.000,     3.986,   -59.127,     0.000,   261.374,   325.171,     5.819,   -10.490,     0.000,         0.000,
 14652.000,  2885.772,   297.811,     3.981,     0.001,     0.000,     0.000,     0.250,   122.251,  1455.700,     1.000,     0.000,     4.007,   -59.743,     0.000,   261.665,   325.459,    12.036,   -16.088,     0.000,         0.000,
 14653.000,  2741.199,   297.859,     3.982,     0.000,     0.000,     0.000,     0.250,   122.299,  1455.700,     1.000,     0.000,     4.045,   -74.842,     0.000,   258.657,   325.906,    18.747,   -11.153,     0.000,         0.000,
 14654.000,  2036.673,   297.908,     4.017,     0.000,     0.000,     0.000,     0.250,   122.348,  1455.700,     1.000,     0.000,     4.052,  -135.313,     0.000,   234.882,   325.615,    35.925,     8.655,     0.000,         0.000,
 14655.000,  2599.299,   297.954,     4.028,     0.001,     0.000,     0.000,     0.250,   122.394,  1455.700,     1.000,     0.000,     4.029,  -190.498,     0.000,   220.101,   325.293,    52.127,    33.179,     0.000,         0.000,
 14656.000,  2063.004,   298.000,     3.988,     0.001,     0.000,     0.000,     0.250,   122.440,  1455.700,     1.000,     0.000,     3.986,  -150.841,     0.000,   232.450,   325.027,    38.580,    19.684,     0.000,         0.000,
 14657.000,   141.243,   298.078,     3.983,     0.001,     0.000,     0.000,     0.250,   122.518,  1455.700,     1.000,     0.000,     3.969,   -99.915,     0.000,   263.888,   323.991,    26.470,    13.342,     0.000,         0.000,
 14658.000,  1714.818,   298.153,     3.982,     0.001,     0.000,     0.000,     0.250,   122.593,  1455.700,     1.000,     0.000,     3.974,  -111.823,     0.000,   249.406,   324.287,    19.233,    17.710,     0.000,         0.000,
