JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,ICETH(m),Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),ReaerationCoeff(day-1),     MAC,
 14642.000,  3600.000,   297.200,     4.000,     0.001,     0.000,     0.000,     0.250,   121.640,  1455.700,     1.000,     0.000,     4.000,   -86.202,     0.000,   266.206,   325.096,    16.407,    10.906,     0.000,         0.000,
 14643.000,  2233.736,   297.261,     3.991,     0.001,     0.000,     0.000,     0.250,   121.701,  1455.700,     1.000,     0.000,     3.991,  -102.003,     0.000,   246.252,   325.055,    15.433,     7.766,     0.000,         0.000,
 14644.000,  2312.366,   297.317,     3.982,     0.001,     0.000,     0.000,     0.250,   121.757,  1455.700,     1.000,     0.000,     3.983,   -47.683,     0.000,   280.131,   325.060,     8.876,    -6.123,     0.000,         0.000,
 14645.000,  2311.735,   297.411,     3.982,     0.001,     0.000,     0.000,     0.250,   121.851,  1455.700,     1.000,     0.000,     3.980,  -110.994,     0.000,   239.602,   324.791,    15.539,    10.266,     0.000,         0.000,
 14646.000,  3600.000,   297.489,     3.982,     0.001,     0.000,     0.000,     0.250,   121.929,  1455.700,     1.000,     0.000,     3.975,  -110.021,     0.000,   248.804,   324.120,    24.988,     9.716,     0.000,         0.000,
 14647.000,  2639.090,   297.553,     3.982,     0.001,     0.000,     0.000,     0.250,   121.993,  1455.700,     1.000,     0.000,     3.959,   -84.153,     0.000,   257.010,   323.854,    14.287,     3.023,     0.000,         0.000,
 14648.000,  2905.915,   297.610,     3.981,     0.001,     0.000,     0.000,     0.250,   122.050,  1455.700,     1.000,     0.000,     3.969,  -139.570,     0.000,   227.589,   324.135,    28.599,    14.425,     0.000,         0.000,
 14649.000,  1121.759,   297.669,     3.981,     0.001,     0.000,     0.000,     0.250,   122.109,  1455.700,     1.000,     0.000,     3.973,   -73.172,     0.000,   274.193,   324.428,    21.656,     1.282,     0.000,         0.000,
 14650.000,  1785.031,   297.727,     3.981,     0.001,     0.000,     0.000,     0.250,   122.167,  1455.700,     1.000,     0.000,     3.979,   -48.700,     0.000,   275.168,   324.750,     5.553,    -6.434,     0.000,         0.000,
 14651.000,  2538.122,   297.774,     3.981,     0.001,     0.000,     0.000,     0.250,   122.214,  1455.700,     1.000,     0.000,     3.986,   -59.110,     0.000,   261.659,   325.224,     5.864,   -10.319,     0.000,         0.000,
 14652.000,  3600.000,   297.812,     3.981,     0.001,     0.000,     0.000,     0.250,   122.252,  1455.700,     1.000,     0.000,     4.012,   -60.344,     0.000,   261.674,   325.672,    12.286,   -15.940,     0.000,         0.000,
 14653.000,  2938.549,   297.860,     3.982,     0.001,     0.000,     0.000,     0.250,   122.300,  1455.700,     1.000,     0.000,     4.053,   -74.702,     0.000,   258.625,   325.807,    18.720,   -11.200,     0.000,         0.000,
 14654.000,   678.865,   297.907,     4.041,     0.001,     0.000,     0.000,     0.250,   122.347,  1455.700,     1.000,     0.000,     4.050,  -136.403,     0.000,   234.543,   325.670,    36.224,     9.053,     0.000,         0.000,
 14655.000,  2185.081,   297.953,     4.022,     0.001,     0.000,     0.000,     0.250,   122.393,  1455.700,     1.000,     0.000,     4.028,  -190.931,     0.000,   220.034,   325.326,    52.263,    33.376,     0.000,         0.000,
 14656.000,  2485.995,   297.999,     3.989,     0.001,     0.000,     0.000,     0.250,   122.439,  1455.700,     1.000,     0.000,     3.990,  -151.242,     0.000,   232.299,   325.063,    38.681,    19.797,     0.000,         0.000,
 14657.000,  3600.000,   298.078,     3.984,     0.001,     0.000,     0.000,     0.250,   122.518,  1455.700,     1.000,     0.000,     3.967,  -103.045,     0.000,   262.321,   324.099,    27.503,    13.763,     0.000,         0.000,
 14658.000,  1984.258,   298.153,     3.984,     0.001,     0.000,     0.000,     0.250,   122.593,  1455.700,     1.000,     0.000,     3.977,  -112.476,     0.000,   249.387,   324.512,    19.422,    17.930,     0.000,         0.000,
 14659.000,  3600.000,   298.207,     3.982,     0.001,     0.000,     0.000,     0.250,   122.647,  1455.700,     1.000,     0.000,     3.976,  -143.015,     0.000,   228.290,   324.501,    25.154,    21.650,     0.000,         0.000,
 14660.000,  2291.747,   298.238,     3.982,     0.001,     0.000,     0.000,     0.250,   122.678,  1455.700,     1.000,     0.000,     3.943,  -152.891,     0.000,   224.255,   323.847,    34.112,    19.186,     0.000,         0.000,
 14661.000,  2366.032,   298.267,     3.970,     0.001,     0.000,     0.000,     0.250,   122.707,  1455.700,     1.000,     0.000,     3.906,  -110.234,     0.000,   251.288,   323.836,    28.371,     9.315,     0.000,         0.000,
 14662.000,  2332.352,   298.305,     3.920,     0.001,     0.000,     0.000,     0.250,   122.745,  1455.700,     1.000,     0.000,     3.890,   -72.694,     0.000,   255.050,   324.073,    12.882,    -9.211,     0.000,         0.000,
 14663.000,  2677.290,   298.352,     3.919,     0.001,     0.000,     0.000,     0.250,   122.792,  1455.700,     1.000,     0.000,     3.916,   -54.338,     0.000,   256.841,   324.257,    10.339,   -23.418,     0.000,         0.000,
 14664.000,    84.467,   298.431,     3.978,     0.001,     0.000,     0.000,     0.250,   122.871,  1455.700,     1.000,     0.000,     3.978,   -42.478,     0.000,   267.532,   324.991,    10.006,   -24.987,     0.000,         0.000,
 14665.000,  2179.428,   298.526,     3.987,     0.001,     0.000,     0.000,     0.250,   122.966,  1455.700,     1.000,     0.000,     4.122,     6.102,     0.000,   309.794,   327.280,     6.627,   -30.216,     0.000,         0.000,
 14666.000,    50.407,   298.612,     4.147,     0.001,     0.000,     0.000,     0.250,   123.052,  1465.700,     1.000,     0.000,     4.271,   -12.898,     0.000,   295.107,   328.189,     8.608,   -28.792,     0.000,         0.000,
 14667.000,  2541.008,   298.710,     4.288,     0.001,     0.000,     0.000,     0.250,   123.150,  1465.700,     1.000,     0.000,     4.393,   -33.431,     0.000,   277.102,   329.035,     9.164,   -27.666,     0.000,         0.000,
 14668.000,  2742.320,   298.821,     4.390,     0.001,     0.000,     0.000,     0.250,   123.261,  1465.700,     1.000,     0.000,     4.580,   -34.469,     0.000,   275.094,   330.490,     9.275,   -30.201,     0.000,         0.000,
 14669.000,  3102.390,   298.929,     4.399,     0.002,     0.000,     0.000,     0.250,   123.369,  1465.700,     1.000,     0.000,     4.724,   -35.951,     0.000,   275.127,   331.396,     8.136,   -28.454,     0.000,         0.000,
 14670.000,  3600.000,   299.039,     4.218,     0.002,     0.000,     0.000,     0.250,   123.479,  1465.700,     1.000,     0.000,     4.653,    12.367,     0.000,   315.021,   332.348,    -0.884,   -28.810,     0.000,         0.000,
 14671.000,  1471.973,   299.188,     4.229,     0.001,     0.000,     0.000,     0.250,   123.628,  1465.700,     1.000,     0.000,     4.532,    14.601,     0.000,   314.308,   333.271,   -11.083,   -22.481,     0.000,         0.000,
 14672.000,  1044.782,   299.452,     4.260,     0.001,     0.000,     0.000,     0.250,   123.892,  1465.700,     1.000,     0.000,     4.504,     1.283,     0.000,   298.205,   331.296,   -13.639,   -20.735,     0.000,         0.000,
 14673.000,  1211.957,   299.833,     4.295,     0.001,     0.000,     0.000,     0.250,   124.273,  1465.700,     1.000,     0.000,     4.508,   -20.689,     0.000,   290.280,   330.483,    -4.054,   -15.460,     0.000,         0.000,
 14674.000,  1423.556,   300.165,     4.293,     0.001,     0.000,     0.000,     0.250,   124.605,  1476.900,     1.000,     0.000,     4.475,   -79.534,     0.000,   258.766,   329.818,    10.020,    -1.538,     0.000,         0.000,
 14675.000,  1251.327,   300.433,     4.279,     0.002,     0.000,     0.000,     0.250,   124.873,  1476.900,     1.000,     0.000,     4.654,   -70.518,     0.000,   268.076,   332.118,    21.424,   -14.949,     0.000,         0.000,
 14676.000,  2773.353,   300.656,     4.199,     0.001,     0.000,     0.000,     0.250,   125.096,  1476.900,     1.000,     0.000,     4.656,   -32.117,     0.000,   295.143,   332.559,    13.821,   -19.121,     0.000,         0.000,
 14677.000,  3600.000,   300.853,     4.162,     0.001,     0.000,     0.000,     0.250,   125.293,  1476.900,     1.000,     0.000,     4.593,   -39.993,     0.000,   288.661,   332.553,     8.032,   -11.931,     0.000,         0.000,
 14678.000,   432.083,   301.029,     4.143,     0.001,     0.000,     0.000,     0.250,   125.469,  1476.900,     1.000,     0.000,     4.501,  -107.391,     0.000,   248.287,   332.588,    25.900,    -2.810,     0.000,         0.000,
 14679.000,  2987.238,   301.208,     4.128,     0.001,     0.000,     0.000,     0.250,   125.648,  1476.900,     1.000,     0.000,     4.357,   -29.696,     0.000,   296.740,   331.859,    12.799,   -18.222,     0.000,         0.000,
 14680.000,  1468.047,   301.385,     4.126,     0.001,     0.000,     0.000,     0.250,   125.825,  1476.900,     1.000,     0.000,     4.243,   -95.143,     0.000,   258.180,   327.750,    25.164,     0.410,     0.000,         0.000,
 14681.000,  3600.000,   301.551,     4.135,     0.001,     0.000,     0.000,     0.250,   125.991,  1476.900,     1.000,     0.000,     4.326,  -106.566,     0.000,   253.287,   328.107,    24.993,     6.754,     0.000,         0.000,
 14682.000,  2196.926,   301.693,     4.150,     0.001,     0.000,     0.000,     0.250,   126.133,  1491.100,     1.000,     0.000,     4.444,  -122.159,     0.000,   246.122,   329.739,    32.210,     6.332,     0.000,         0.000,
 14683.000,  1304.855,   301.827,     4.155,     0.001,     0.000,     0.000,     0.250,   126.267,  1491.100,     1.000,     0.000,     4.615,   -54.068,     0.000,   288.442,   330.434,    20.186,    -8.109,     0.000,         0.000,
 14684.000,  2079.444,   301.952,     4.143,     0.002,     0.000,     0.000,     0.250,   126.392,  1491.100,     1.000,     0.000,     4.843,   -58.086,     0.000,   276.313,   332.640,    11.914,   -10.155,     0.000,         0.000,
 14685.000,  1818.748,   302.081,     4.129,     0.001,     0.000,     0.000,     0.250,   126.521,  1491.100,     1.000,     0.000,     4.947,   -12.131,     0.000,   317.374,   334.731,    20.296,   -25.522,     0.000,         0.000,
 14686.000,  2255.186,   302.220,     4.127,     0.001,     0.000,     0.000,     0.250,   126.660,  1491.100,     1.000,     0.000,     5.215,    -4.914,     0.000,   309.244,   338.458,     2.413,   -26.714,     0.000,         0.000,
 14687.000,  1467.768,   302.339,     4.131,     0.001,     0.000,     0.000,     0.250,   126.779,  1491.100,     1.000,     0.000,     5.148,   -36.462,     0.000,   292.785,   342.099,     8.613,   -21.465,     0.000,         0.000,
 14688.000,   959.901,   302.457,     4.154,     0.002,     0.000,     0.000,     0.250,   126.897,  1491.100,     1.000,     0.000,     5.139,   -21.487,     0.000,   308.014,   345.018,     8.530,   -24.047,     0.000,         0.000,
 14689.000,  2243.974,   302.581,     4.152,     0.001,     0.000,     0.000,     0.250,   127.021,  1491.100,     1.000,     0.000,     5.042,   -60.223,     0.000,   284.595,   347.746,    14.845,   -17.773,     0.000,         0.000,
 14690.000,  1675.312,   302.671,     4.153,     0.002,     0.000,     0.000,     0.250,   127.111,  1491.100,     1.000,     0.000,     5.078,   -25.122,     0.000,   317.717,   350.101,    17.099,   -24.361,     0.000,         0.000,
 14691.000,  1309.721,   302.758,     4.160,     0.002,     0.000,     0.000,     0.250,   127.198,  1491.100,     1.000,     0.000,     5.109,   -15.633,     0.000,   329.980,   351.970,    15.530,   -21.888,     0.000,         0.000,
 14692.000,  1410.402,   302.851,     4.163,     0.002,     0.000,     0.000,     0.250,   127.291,  1491.100,     1.000,     0.000,     5.141,   -43.217,     0.000,   304.342,   351.482,    16.221,   -20.144,     0.000,         0.000,
 14693.000,  2183.604,   302.925,     4.171,     0.002,     0.000,     0.000,     0.250,   127.365,  1491.100,     1.000,     0.000,     5.361,   -84.972,     0.000,   290.584,   354.109,    41.654,   -20.207,     0.000,         0.000,
 14694.000,   456.962,   302.974,     4.165,     0.002,     0.000,     0.000,     0.250,   127.414,  1491.100,     1.000,     0.000,     5.442,   -73.318,     0.000,   291.825,   355.932,    26.551,   -17.339,     0.000,         0.000,
 14695.000,  1994.547,   303.012,     4.159,     0.002,     0.000,     0.000,     0.250,   127.452,  1491.100,     1.000,     0.000,     5.291,   -94.109,     0.000,   280.689,   356.792,    22.873,    -4.866,     0.000,         0.000,
 14696.000,   191.515,   303.029,     4.161,     0.002,     0.000,     0.000,     0.250,   127.469,  1491.100,     1.000,     0.000,     5.584,  -106.727,     0.000,   284.124,   358.520,    44.950,   -12.618,     0.000,         0.000,
 14697.000,   517.935,   303.043,     4.158,     0.003,     0.000,     0.000,     0.250,   127.483,  1491.100,     1.000,     0.000,     5.808,  -120.786,     0.000,   290.550,   360.594,    67.110,   -16.368,     0.000,         0.000,
 14698.000,  1569.482,   303.083,     4.155,     0.002,     0.000,     0.000,     0.250,   127.523,  1507.400,     1.000,     0.000,     5.780,  -126.933,     0.000,   285.396,   361.214,    60.750,    -9.636,     0.000,         0.000,
 14699.000,  1122.949,   303.128,     4.153,     0.002,     0.000,     0.000,     0.250,   127.568,  1507.400,     1.000,     0.000,     5.742,  -132.501,     0.000,   284.540,   362.138,    62.892,    -7.988,     0.000,         0.000,
 14700.000,  1830.171,   303.165,     4.158,     0.002,     0.000,     0.000,     0.250,   127.605,  1507.400,     1.000,     0.000,     5.689,  -121.310,     0.000,   285.304,   363.826,    49.240,    -6.452,     0.000,         0.000,
 14701.000,  1861.177,   303.161,     4.150,     0.002,     0.000,     0.000,     0.250,   127.601,  1507.400,     1.000,     0.000,     5.506,  -115.824,     0.000,   286.919,   363.718,    46.865,    -7.840,     0.000,         0.000,
 14702.000,  1845.884,   303.140,     4.156,     0.003,     0.000,     0.000,     0.250,   127.580,  1507.400,     1.000,     0.000,     5.732,  -119.166,     0.000,   287.063,   365.462,    47.133,    -6.366,     0.000,         0.000,
 14703.000,  1320.219,   303.109,     4.174,     0.003,     0.000,     0.000,     0.250,   127.549,  1507.400,     1.000,     0.000,     6.064,   -95.902,     0.000,   309.850,   367.604,    60.576,   -22.428,     0.000,         0.000,
 14704.000,  1202.267,   303.073,     4.188,     0.003,     0.000,     0.000,     0.250,   127.513,  1507.400,     1.000,     0.000,     6.168,   -70.796,     0.000,   327.738,   370.117,    46.173,   -17.755,     0.000,         0.000,
 14705.000,  1343.880,   303.053,     4.172,     0.003,     0.000,     0.000,     0.250,   127.493,  1491.100,     1.000,     0.000,     5.960,   -73.463,     0.000,   324.709,   371.941,    37.130,   -10.899,     0.000,         0.000,
 14706.000,  1180.256,   303.031,     4.150,     0.002,     0.000,     0.000,     0.250,   127.471,  1491.100,     1.000,     0.000,     5.773,   -60.925,     0.000,   331.690,   372.709,    28.996,    -9.090,     0.000,         0.000,
 14707.000,  1684.436,   303.008,     4.158,     0.003,     0.000,     0.000,     0.250,   127.448,  1491.100,     1.000,     0.000,     5.769,   -53.023,     0.000,   331.898,   369.460,    24.425,    -8.964,     0.000,         0.000,
 14708.000,  1762.754,   302.958,     4.178,     0.003,     0.000,     0.000,     0.250,   127.398,  1491.100,     1.000,     0.000,     5.884,   -82.285,     0.000,   317.850,   365.150,    32.470,     2.516,     0.000,         0.000,
 14709.000,   321.173,   302.909,     4.181,     0.003,     0.000,     0.000,     0.250,   127.349,  1491.100,     1.000,     0.000,     6.417,  -131.041,     0.000,   284.467,   368.546,    41.636,     5.325,     0.000,         0.000,
 14710.000,  1264.599,   302.835,     4.155,     0.003,     0.000,     0.000,     0.250,   127.275,  1491.100,     1.000,     0.000,     6.103,   -71.944,     0.000,   343.520,   371.439,    52.659,    -8.634,     0.000,         0.000,
 14711.000,  1290.638,   302.762,     4.164,     0.003,     0.000,     0.000,     0.250,   127.202,  1491.100,     1.000,     0.000,     5.990,   -74.333,     0.000,   330.561,   372.670,    43.318,   -11.094,     0.000,         0.000,
 14712.000,  1564.498,   302.689,     4.170,     0.003,     0.000,     0.000,     0.250,   127.129,  1491.100,     1.000,     0.000,     6.023,   -76.578,     0.000,   340.115,   373.523,    56.793,   -13.622,     0.000,         0.000,
 14713.000,    60.341,   302.585,     4.195,     0.004,     0.000,     0.000,     0.250,   127.025,  1491.100,     1.000,     0.000,     6.434,   -68.056,     0.000,   343.967,   375.457,    60.382,   -23.817,     0.000,         0.000,
 14714.000,  1415.246,   302.485,     4.214,     0.004,     0.000,     0.000,     0.250,   126.925,  1491.100,     1.000,     0.000,     6.499,   -74.243,     0.000,   338.876,   379.274,    56.384,   -22.539,     0.000,         0.000,
 14715.000,  1410.160,   302.365,     4.213,     0.004,     0.000,     0.000,     0.250,   126.805,  1491.100,     1.000,     0.000,     6.469,   -85.195,     0.000,   341.838,   380.844,    61.149,   -14.960,     0.000,         0.000,
 14716.000,  1341.972,   302.254,     4.204,     0.004,     0.000,     0.000,     0.250,   126.694,  1491.100,     1.000,     0.000,     6.360,   -78.435,     0.000,   349.308,   380.128,    59.071,   -11.455,     0.000,         0.000,
 14717.000,  1540.189,   302.142,     4.204,     0.004,     0.000,     0.000,     0.250,   126.582,  1491.100,     1.000,     0.000,     6.324,   -79.298,     0.000,   332.766,   374.832,    34.204,     3.028,     0.000,         0.000,
 14718.000,  1368.880,   302.027,     4.195,     0.004,     0.000,     0.000,     0.250,   126.467,  1491.100,     1.000,     0.000,     6.591,   -73.386,     0.000,   325.621,   374.980,    24.567,    -0.540,     0.000,         0.000,
 14719.000,  1489.996,   301.888,     4.171,     0.004,     0.000,     0.000,     0.250,   126.328,  1491.100,     1.000,     0.000,     6.500,   -63.124,     0.000,   340.823,   377.101,    32.753,    -5.907,     0.000,         0.000,
 14720.000,   981.497,   301.770,     4.192,     0.004,     0.000,     0.000,     0.250,   126.210,  1491.100,     1.000,     0.000,     6.502,  -101.790,     0.000,   316.320,   378.089,    37.590,     2.431,     0.000,         0.000,
 14721.000,  1141.694,   301.638,     4.201,     0.004,     0.000,     0.000,     0.250,   126.078,  1491.100,     1.000,     0.000,     6.523,  -115.846,     0.000,   310.491,   379.385,    51.762,    -4.810,     0.000,         0.000,
 14722.000,   738.148,   301.523,     4.220,     0.004,     0.000,     0.000,     0.250,   125.963,  1476.900,     1.000,     0.000,     6.602,   -99.665,     0.000,   329.173,   378.071,    52.992,    -2.225,     0.000,         0.000,
 14723.000,  1466.196,   301.397,     4.229,     0.004,     0.000,     0.000,     0.250,   125.837,  1476.900,     1.000,     0.000,     6.700,  -100.923,     0.000,   315.801,   374.717,    31.380,    10.626,     0.000,         0.000,
 14724.000,  1443.037,   301.270,     4.224,     0.004,     0.000,     0.000,     0.250,   125.710,  1476.900,     1.000,     0.000,     6.716,  -179.408,     0.000,   277.234,   374.704,    68.911,    13.028,     0.000,         0.000,
 14725.000,   927.300,   301.125,     4.216,     0.004,     0.000,     0.000,     0.250,   125.565,  1476.900,     1.000,     0.000,     6.797,  -148.429,     0.000,   297.630,   379.934,    67.555,    -1.429,     0.000,         0.000,
 14726.000,  1330.235,   300.974,     4.226,     0.004,     0.000,     0.000,     0.250,   125.414,  1476.900,     1.000,     0.000,     7.002,  -138.429,     0.000,   312.378,   383.568,    70.585,    -3.347,     0.000,         0.000,
 14727.000,  1300.890,   300.822,     4.241,     0.005,     0.000,     0.000,     0.250,   125.262,  1476.900,     1.000,     0.000,     7.101,   -99.699,     0.000,   341.039,   385.100,    65.418,    -9.780,     0.000,         0.000,
 14728.000,  1308.042,   300.679,     4.238,     0.004,     0.000,     0.000,     0.250,   125.119,  1476.900,     1.000,     0.000,     7.082,   -98.681,     0.000,   342.405,   385.370,    63.679,    -7.963,     0.000,         0.000,
 14729.000,  1299.884,   300.528,     4.239,     0.005,     0.000,     0.000,     0.250,   124.968,  1476.900,     1.000,     0.000,     7.228,  -251.256,     0.000,   279.502,   384.277,   125.159,    21.323,     0.000,         0.000,
