JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,ICETH(m),Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),ReaerationCoeff(day-1),     MAC,
 14642.000,  3600.000,   309.001,     4.000,     0.001,     0.000,     0.000,     0.250,   133.441,  1553.500,     1.000,     0.000,     4.000,   -86.202,     0.000,   266.206,   325.096,    16.407,    10.906,     0.000,         0.000,
 14643.000,  1817.735,   309.054,     3.993,     0.001,     0.000,     0.000,     0.250,   133.494,  1553.500,     1.000,     0.000,     3.993,  -101.970,     0.000,   246.309,   325.064,    15.435,     7.780,     0.000,         0.000,
 14644.000,  1923.512,   309.105,     3.984,     0.001,     0.000,     0.000,     0.250,   133.545,  1569.300,     1.000,     0.000,     3.985,   -47.166,     0.000,   280.502,   325.067,     8.830,    -6.228,     0.000,         0.000,
 14645.000,  2221.159,   309.183,     3.983,     0.001,     0.000,     0.000,     0.250,   133.623,  1569.300,     1.000,     0.000,     3.982,  -110.702,     0.000,   239.903,   324.867,    15.547,    10.192,     0.000,         0.000,
 14646.000,  3600.000,   309.250,     3.982,     0.001,     0.000,     0.000,     0.250,   133.690,  1569.300,     1.000,     0.000,     3.978,  -110.676,     0.000,   248.698,   324.348,    25.096,     9.931,     0.000,         0.000,
 14647.000,  2039.155,   309.305,     3.982,     0.001,     0.000,     0.000,     0.250,   133.745,  1569.300,     1.000,     0.000,     3.964,   -83.843,     0.000,   256.930,   323.655,    14.228,     2.890,     0.000,         0.000,
 14648.000,  3600.000,   309.356,     3.982,     0.001,     0.000,     0.000,     0.250,   133.796,  1569.300,     1.000,     0.000,     3.976,  -139.374,     0.000,   227.765,   324.209,    28.547,    14.383,     0.000,         0.000,
 14649.000,  1476.713,   309.407,     3.982,     0.001,     0.000,     0.000,     0.250,   133.847,  1569.300,     1.000,     0.000,     3.980,   -74.340,     0.000,   273.884,   324.681,    21.932,     1.610,     0.000,         0.000,
 14650.000,  2594.887,   309.458,     3.982,     0.001,     0.000,     0.000,     0.250,   133.898,  1569.300,     1.000,     0.000,     3.980,   -49.228,     0.000,   275.112,   324.856,     5.765,    -6.280,     0.000,         0.000,
 14651.000,  3600.000,   309.500,     3.982,     0.001,     0.000,     0.000,     0.250,   133.940,  1569.300,     1.000,     0.000,     3.988,   -58.905,     0.000,   261.714,   325.162,     5.811,   -10.353,     0.000,         0.000,
 14652.000,  2668.276,   309.535,     3.982,     0.001,     0.000,     0.000,     0.250,   133.975,  1569.300,     1.000,     0.000,     4.014,   -60.098,     0.000,   261.686,   325.592,    12.284,   -16.091,     0.000,         0.000,
 14653.000,   852.720,   309.579,     3.982,     0.001,     0.000,     0.000,     0.250,   134.019,  1569.300,     1.000,     0.000,     4.042,   -75.003,     0.000,   258.571,   325.821,    18.847,   -11.094,     0.000,         0.000,
 14654.000,  2053.831,   309.620,     4.014,     0.001,     0.000,     0.000,     0.250,   134.060,  1569.300,     1.000,     0.000,     4.052,  -135.908,     0.000,   234.763,   325.704,    36.098,     8.869,     0.000,         0.000,
 14655.000,  1938.954,   309.660,     4.033,     0.001,     0.000,     0.000,     0.250,   134.100,  1569.300,     1.000,     0.000,     4.036,  -190.656,     0.000,   220.138,   325.391,    52.187,    33.217,     0.000,         0.000,
 14656.000,   226.459,   309.702,     3.996,     0.001,     0.000,     0.000,     0.250,   134.142,  1569.300,     1.000,     0.000,     3.992,  -150.272,     0.000,   232.726,   325.018,    38.448,    19.532,     0.000,         0.000,
 14657.000,   135.594,   309.769,     3.982,     0.001,     0.000,     0.000,     0.250,   134.209,  1569.300,     1.000,     0.000,     3.969,  -100.706,     0.000,   263.898,   324.214,    26.741,    13.648,     0.000,         0.000,
 14658.000,  3278.494,   309.833,     3.982,     0.001,     0.000,     0.000,     0.250,   134.273,  1569.300,     1.000,     0.000,     3.975,  -112.010,     0.000,   249.652,   324.458,    19.426,    17.778,     0.000,         0.000,
 14659.000,  3007.553,   309.881,     3.980,     0.001,     0.000,     0.000,     0.250,   134.321,  1569.300,     1.000,     0.000,     3.970,  -142.080,     0.000,   228.060,   324.037,    24.838,    21.265,     0.000,         0.000,
 14660.000,  2169.926,   309.907,     3.980,     0.001,     0.000,     0.000,     0.250,   134.347,  1569.300,     1.000,     0.000,     3.938,  -153.058,     0.000,   224.214,   323.937,    34.029,    19.306,     0.000,         0.000,
 14661.000,  2764.910,   309.938,     3.972,     0.001,     0.000,     0.000,     0.250,   134.378,  1569.300,     1.000,     0.000,     3.910,  -110.275,     0.000,   251.647,   324.010,    28.491,     9.421,     0.000,         0.000,
 14662.000,  3600.000,   309.969,     3.910,     0.001,     0.000,     0.000,     0.250,   134.409,  1569.300,     1.000,     0.000,     3.909,   -74.763,     0.000,   254.659,   324.263,    13.618,    -8.459,     0.000,         0.000,
 14663.000,  3024.280,   310.015,     3.936,     0.001,     0.000,     0.000,     0.250,   134.455,  1569.300,     1.000,     0.000,     3.934,   -55.420,     0.000,   256.814,   324.591,    10.671,   -23.027,     0.000,         0.000,
 14664.000,  3600.000,   310.080,     3.973,     0.001,     0.000,     0.000,     0.250,   134.520,  1569.300,     1.000,     0.000,     3.972,   -42.631,     0.000,   267.147,   324.885,     9.930,   -25.037,     0.000,         0.000,
 14665.000,   802.946,   310.164,     3.983,     0.001,     0.000,     0.000,     0.250,   134.604,  1569.300,     1.000,     0.000,     4.014,    10.297,     0.000,   310.730,   326.232,     5.570,   -31.370,     0.000,         0.000,
 14666.000,  1697.238,   310.237,     3.983,     0.001,     0.000,     0.000,     0.250,   134.677,  1569.300,     1.000,     0.000,     4.195,   -11.048,     0.000,   295.291,   327.630,     8.066,   -29.356,     0.000,         0.000,
 14667.000,  1763.755,   310.322,     4.277,     0.001,     0.000,     0.000,     0.250,   134.762,  1569.300,     1.000,     0.000,     4.400,   -33.122,     0.000,   276.959,   328.879,     9.016,   -27.814,     0.000,         0.000,
 14668.000,  1880.140,   310.418,     4.310,     0.002,     0.000,     0.000,     0.250,   134.858,  1569.300,     1.000,     0.000,     4.612,   -35.035,     0.000,   275.114,   330.717,     9.474,   -30.043,     0.000,         0.000,
 14669.000,  2292.962,   310.511,     4.205,     0.002,     0.000,     0.000,     0.250,   134.951,  1569.300,     1.000,     0.000,     4.639,   -35.968,     0.000,   275.135,   331.412,     8.120,   -28.429,     0.000,         0.000,
 14670.000,  3361.084,   310.605,     4.130,     0.001,     0.000,     0.000,     0.250,   135.045,  1585.300,     1.000,     0.000,     4.585,    11.879,     0.000,   314.786,   332.425,    -0.783,   -28.734,     0.000,         0.000,
 14671.000,  1640.590,   310.730,     4.135,     0.001,     0.000,     0.000,     0.250,   135.170,  1585.300,     1.000,     0.000,     4.474,    15.295,     0.000,   314.331,   333.019,   -11.219,   -22.763,     0.000,         0.000,
 14672.000,  1250.409,   310.948,     4.162,     0.001,     0.000,     0.000,     0.250,   135.388,  1585.300,     1.000,     0.000,     4.471,     3.281,     0.000,   298.178,   330.688,   -14.347,   -21.444,     0.000,         0.000,
 14673.000,  1468.648,   311.262,     4.169,     0.001,     0.000,     0.000,     0.250,   135.702,  1585.300,     1.000,     0.000,     4.453,   -20.010,     0.000,   290.292,   330.261,    -4.277,   -15.682,     0.000,         0.000,
 14674.000,  2237.721,   311.538,     4.155,     0.001,     0.000,     0.000,     0.250,   135.978,  1585.300,     1.000,     0.000,     4.402,   -78.768,     0.000,   259.052,   329.747,     9.824,    -1.750,     0.000,         0.000,
 14675.000,  2023.855,   311.767,     4.153,     0.001,     0.000,     0.000,     0.250,   136.207,  1585.300,     1.000,     0.000,     4.534,   -68.067,     0.000,   268.089,   331.317,    20.623,   -15.785,     0.000,         0.000,
 14676.000,   520.747,   311.957,     4.136,     0.001,     0.000,     0.000,     0.250,   136.397,  1585.300,     1.000,     0.000,     4.588,   -30.869,     0.000,   295.672,   332.374,    13.541,   -19.374,     0.000,         0.000,
 14677.000,   573.948,   312.124,     4.114,     0.001,     0.000,     0.000,     0.250,   136.564,  1601.600,     1.000,     0.000,     4.511,   -40.828,     0.000,   288.535,   332.785,     8.149,   -11.571,     0.000,         0.000,
 14678.000,   748.509,   312.271,     4.103,     0.001,     0.000,     0.000,     0.250,   136.711,  1601.600,     1.000,     0.000,     4.435,  -106.835,     0.000,   248.311,   332.413,    25.718,    -2.986,     0.000,         0.000,
 14679.000,   636.030,   312.421,     4.092,     0.001,     0.000,     0.000,     0.250,   136.861,  1601.600,     1.000,     0.000,     4.365,   -25.484,     0.000,   298.875,   331.554,    11.932,   -19.127,     0.000,         0.000,
 14680.000,   745.588,   312.569,     4.088,     0.001,     0.000,     0.000,     0.250,   137.009,  1601.600,     1.000,     0.000,     4.200,   -95.262,     0.000,   257.794,   327.533,    25.101,     0.423,     0.000,         0.000,
 14681.000,   857.974,   312.708,     4.092,     0.001,     0.000,     0.000,     0.250,   137.148,  1601.600,     1.000,     0.000,     4.216,  -104.801,     0.000,   253.212,   327.428,    24.373,     6.211,     0.000,         0.000,
 14682.000,   337.403,   312.829,     4.108,     0.001,     0.000,     0.000,     0.250,   137.269,  1601.600,     1.000,     0.000,     4.327,  -119.516,     0.000,   246.066,   328.793,    31.388,     5.401,     0.000,         0.000,
 14683.000,   977.921,   312.946,     4.140,     0.001,     0.000,     0.000,     0.250,   137.386,  1601.600,     1.000,     0.000,     4.540,   -51.880,     0.000,   288.648,   329.766,    19.537,    -8.776,     0.000,         0.000,
 14684.000,   772.153,   313.054,     4.126,     0.002,     0.000,     0.000,     0.250,   137.494,  1601.600,     1.000,     0.000,     4.755,   -57.032,     0.000,   276.226,   332.287,    11.488,   -10.516,     0.000,         0.000,
 14685.000,   469.270,   313.166,     4.109,     0.001,     0.000,     0.000,     0.250,   137.606,  1601.600,     1.000,     0.000,     4.867,    -9.189,     0.000,   317.997,   334.020,    19.660,   -26.495,     0.000,         0.000,
 14686.000,  1155.970,   313.286,     4.107,     0.001,     0.000,     0.000,     0.250,   137.726,  1601.600,     1.000,     0.000,     5.102,    -3.273,     0.000,   309.146,   338.001,     1.631,   -27.213,     0.000,         0.000,
 14687.000,  1126.499,   313.389,     4.109,     0.001,     0.000,     0.000,     0.250,   137.829,  1601.600,     1.000,     0.000,     5.025,   -35.555,     0.000,   292.814,   341.800,     8.305,   -21.736,     0.000,         0.000,
 14688.000,   880.622,   313.493,     4.121,     0.001,     0.000,     0.000,     0.250,   137.933,  1601.600,     1.000,     0.000,     5.059,   -22.587,     0.000,   308.105,   345.440,     8.953,   -23.702,     0.000,         0.000,
