JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,ICETH(m),Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),ReaerationCoeff(day-1),     MAC,
 16710.000,  3600.000,   309.000,     4.000,     0.000,     0.000,     0.000,     0.250,   133.440,  1553.500,     1.000,     0.000,     4.000,    73.662,     0.000,   327.897,   325.096,     7.517,   -78.378,     0.000,         0.000,
 16711.000,  1113.672,   309.064,     4.395,     0.000,     0.000,     0.000,     0.250,   133.504,  1569.300,     1.000,     0.000,     4.265,    57.196,     0.000,   332.855,   330.773,    35.711,   -90.824,     0.000,         0.000,
 16712.000,  2163.012,   309.034,     4.488,     0.002,     0.000,     0.000,     0.250,   133.474,  1553.500,     1.000,     0.000,     4.557,    62.180,     0.000,   339.655,   334.030,    15.236,   -71.792,     0.000,         0.000,
 16713.000,   745.210,   309.007,     4.520,     0.001,     0.000,     0.000,     0.250,   133.447,  1553.500,     1.000,     0.000,     4.678,   -11.985,     0.000,   304.962,   337.596,    38.515,   -59.163,     0.000,         0.000,
 16714.000,   687.833,   308.992,     4.393,     0.001,     0.000,     0.000,     0.250,   133.432,  1553.500,     1.000,     0.000,     4.717,     8.090,     0.000,   331.197,   334.588,    55.660,   -67.141,     0.000,         0.000,
 16715.000,  1021.018,   309.010,     5.552,     0.000,     0.000,     0.000,     0.250,   133.450,  1553.500,     1.000,     0.000,     4.765,    -4.694,     0.000,   317.940,   333.465,    37.874,   -48.706,     0.000,         0.000,
 16716.000,   643.434,   308.993,     5.541,     0.000,     0.000,     0.000,     0.250,   133.433,  1553.500,     1.000,     0.000,     4.941,   -13.583,     0.000,   308.827,   337.647,    29.971,   -45.208,     0.000,         0.000,
 16717.000,  1635.216,   308.958,     4.780,     0.001,     0.000,     0.000,     0.250,   133.398,  1553.500,     1.000,     0.000,     4.951,   -21.175,     0.000,   310.964,   341.154,    33.101,   -42.116,     0.000,         0.000,
 16718.000,  1683.203,   308.947,     4.651,     0.001,     0.000,     0.000,     0.250,   133.387,  1553.500,     1.000,     0.000,     4.860,   -32.422,     0.000,   313.514,   346.137,    36.284,   -36.485,     0.000,         0.000,
 16719.000,  1008.775,   308.941,     4.404,     0.001,     0.000,     0.000,     0.250,   133.381,  1553.500,     1.000,     0.000,     4.706,   -14.937,     0.000,   317.547,   346.781,    29.608,   -43.905,     0.000,         0.000,
